Выборы Президента Российской Федерации																																																																																
Дата голосования: 18.03.2018																																																																																
																																																																																
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №21																																																																																
																																																																																
Сводная таблица итогов голосования																																																																																
																																																																																
	Число участковых избирательных комиссий	69																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	69																																																																														
																																																																																
		Сумма	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894									
1	"Число избирателей, включенных в список избирателей"	139464	2231	1818	1967	2123	2093	2317	1990	2081	1944	2538	2219	2379	2205	2436	2270	2174	2357	1409	2528	2480	2388	2150	1947	2325	2319	2190	2219	2190	2200	2193	2114	2276	2255	2130	2334	2099	1867	1935	2004	2331	2046	2033	1952	1948	2098	1924	1756	2176	2471	2142	1138	1762	1667	1670	1484	1368	1985	1815	1953	1947	2278	2305	1896	1782	1719	1989	1305	392	1438									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121100	2000	1500	1500	2000	1500	2000	2000	2000	1500	2500	2000	2000	2000	2000	2000	2000	2000	1000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	1500	2000	2000	2000	1500	1500	2000	1500	1500	2000	2500	2000	1000	1500	1500	1500	1100	1000	1500	1500	1500	1500	2000	2000	1500	1500	1500	1500	1000	500	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	79717	1230	1058	1165	1204	1242	1366	1140	1247	1174	1505	1366	1246	1367	1508	1390	1316	1252	801	1452	1475	1392	1207	1058	1278	1287	1221	1144	1183	1244	1282	1255	1319	1240	1217	1233	1230	1145	1059	1178	1318	1130	1071	1087	1138	1168	1059	904	1197	1299	1098	708	1039	996	942	772	774	1135	981	1007	1038	1332	1308	1095	1078	1060	1118	751	0	1438									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1910	15	19	20	27	20	20	27	13	17	15	28	26	18	19	20	25	33	19	26	30	28	20	16	15	21	23	29	34	31	27	20	22	15	35	24	38	15	24	20	15	31	36	20	17	16	17	11	24	14	13	26	30	41	35	30	60	15	21	26	10	21	12	30	15	17	11	17	385	0									
6	Число погашенных избирательных бюллетеней	39473	755	423	315	769	238	614	833	740	309	980	606	728	615	473	590	659	715	180	522	495	580	773	426	707	692	756	827	783	725	691	725	659	745	748	743	732	340	417	302	667	839	893	393	345	816	424	585	779	1187	889	266	431	463	523	298	166	350	498	467	452	647	680	375	407	423	371	232	115	562									
