Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Староуткинская поселковая								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №2602					
1	"Число избирателей, внесенных в списки избирателей"	2628	2628					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2500	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	33	33					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1151	1151					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	224	224					
6	Число погашенных избирательных бюллетеней	1092	1092					
7	Число избирательных бюллетеней в переносных ящиках для голосования	257	257					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1151	1151					
9	Число недействительных избирательных бюллетеней	8	8					
10	Число действительных избирательных бюллетеней	1400	1400					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	48	48					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	9	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	24	24					
14	Число погашенных неиспользованных открепительных удостоверений	39	39					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	2					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	17	17					
		1.21%	1.21%					
19	2.Всероссийская политическая партия «Гражданская Сила»	9	9					
		0.64%	0.64%					
20	3.Политическая партия «Демократическая партия России»	0	0					
		0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	72	72					
		5.11%	5.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	5					
		0.36%	0.36%					
23	6.Политическая партия «Партия социальной справедливости»	1	1					
		0.07%	0.07%					
24	7.Политическая партия «Либерально-демократическая партия России»	93	93					
		6.61%	6.61%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	77	77					
		5.47%	5.47%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	14	14					
		0.99%	0.99%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1106	1106					
		78.55%	78.55%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	6	6					
		0.43%	0.43%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
