Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    ТИК Чернушинского МР																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341					
1	"Число избирателей, внесенных в списки избирателей"	41465	2054	1600	1136	1634	1429	806	1703	846	1699	1723	1203	1919	1445	1317	1947	2470	730	1188	1798	279	468	304	709	850	842	501	685	663	283	278	304	1138	755	873	961	731	323	590	295	561	425					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	38025	1900	1430	1000	1500	1350	700	1550	750	1550	1650	1150	1750	1305	1250	1800	2450	680	1000	1650	200	400	280	600	800	800	450	600	600	250	250	280	1100	700	800	900	700	300	500	250	500	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20524	796	765	475	749	563	389	985	438	842	1000	680	908	780	720	1012	1376	368	614	915	176	254	174	229	398	339	226	242	360	124	162	185	526	403	351	571	358	205	281	142	234	209					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2015	47	37	22	13	36	13	39	4	54	37	22	37	20	28	61	27	14	19	75	5	75	16	214	62	154	80	146	37	41	10	22	54	36	130	93	26	6	37	23	85	58					
6	Число погашенных избирательных бюллетеней	15486	1057	628	503	738	751	298	526	308	654	613	448	805	505	502	727	1047	298	367	660	19	71	90	157	340	307	144	212	203	85	78	73	520	261	319	236	316	89	182	85	181	83					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2014	47	37	22	13	36	13	39	4	54	37	22	36	20	28	61	27	14	19	75	5	75	16	214	62	154	80	146	37	41	10	22	54	36	130	93	26	6	37	23	85	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20517	796	765	475	748	563	389	985	438	842	999	680	907	780	720	1008	1376	368	614	915	176	254	174	229	398	339	226	242	360	124	162	185	526	403	351	571	358	205	281	142	234	209					
9	Число недействительных избирательных бюллетеней	209	6	6	6	9	4	3	12	2	13	5	9	16	7	14	8	13	0	3	5	0	4	3	4	6	3	1	0	0	0	2	3	3	1	13	14	3	0	4	1	2	1					
10	Число действительных избирательных бюллетеней	22322	837	796	491	752	595	399	1012	440	883	1031	693	927	793	734	1061	1390	382	630	985	181	325	187	439	454	490	305	388	397	165	170	204	577	438	468	650	381	211	314	164	317	266					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	930	30	30	20	30	20	20	30	20	30	30	20	30	20	20	30	40	20	20	30	10	20	20	20	20	30	20	20	20	10	10	20	30	20	30	30	20	20	20	10	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	426	6	11	11	16	11	6	27	10	17	19	12	16	14	5	30	34	3	7	15	0	6	1	8	11	28	5	6	9	4	7	5	6	19	7	6	6	2	3	3	10	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	252	7	11	6	9	10	8	12	12	4	19	13	7	12	10	11	15	4	2	21	6	3	2	2	0	12	0	5	2	2	2	1	3	3	3	0	1	0	4	2	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	504	24	19	9	14	9	14	3	10	13	11	8	14	6	15	0	6	17	13	15	10	14	19	12	9	2	15	14	11	6	3	15	24	1	23	24	14	18	17	7	10	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
