Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Шебалинская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10597	286	205	486	426	601	531	132	108	283	1538	388	266	62	2029	1871	223	478	171	119	200	194									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10700	290	203	505	425	601	535	135	108	281	1535	430	265	60	2060	1870	225	486	166	115	208	197									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4375	197	153	256	216	250	207	65	54	97	598	199	151	46	581	611	104	207	50	82	149	102									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	402	11	7	12	7	24	32	7	4	66	54	23	10	4	36	44	18	37	0	2	4	0									
6	Число погашенных избирательных бюллетеней	5923	82	43	237	202	327	296	63	50	118	883	208	104	10	1443	1215	103	242	116	31	55	95									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	402	11	7	12	7	24	32	7	4	66	54	23	10	4	36	44	18	37	0	2	4	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4375	197	153	256	216	250	207	65	54	97	598	199	151	46	581	611	104	207	50	82	149	102									
9	Число недействительных избирательных бюллетеней	61	1	0	1	4	1	4	0	2	4	10	3	0	1	7	9	3	9	1	1	0	0									
10	Число действительных избирательных бюллетеней	4716	207	160	267	219	273	235	72	56	159	642	219	161	49	610	646	119	235	49	83	153	102									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	6	6	12	10	10	10	3	3	5	23	5	4	3	30	25	5	10	3	3	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	96	1	0	12	7	1	2	3	2	0	3	0	0	0	19	21	5	6	0	0	10	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	86	0	2	4	5	3	2	2	2	3	4	3	2	2	8	28	4	1	3	4	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	94	5	6	0	3	9	8	0	1	5	20	5	4	3	11	4	0	4	3	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	1	0	1	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0									
