Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Новотроицкая городская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877					
1	"Число избирателей, внесенных в списки избирателей"	84802	1088	976	1540	2061	1782	1621	1635	1608	1630	1681	1742	1759	1788	1434	1715	1703	1855	1648	1797	1696	1674	2211	1770	1543	1705	1544	1790	2385	1674	1898	1651	1792	2301	2190	1752	1623	1412	1193	704	2054	992	1718	1334	1108	845	1288	1090	1440	272	569	1960	1488	1370	1703					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	84162	1050	960	1520	2050	1780	1600	1620	1590	1590	1650	1740	1730	1790	1430	1710	1690	1825	1650	1770	1670	1660	2200	1750	1560	1710	1550	1780	2390	1670	1890	1650	1790	2290	2170	1740	1640	1410	1210	685	2060	1000	1670	1290	1080	850	1240	1070	1420	253	550	1969	1460	1380	1710					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45277	547	483	797	1037	742	875	967	892	938	902	861	840	924	808	930	994	948	999	1005	962	936	1287	999	828	984	818	1042	1452	962	988	963	991	1282	885	864	860	687	540	340	1121	500	802	634	531	436	798	555	738	142	306	1083	838	668	966					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1183	12	17	19	38	26	28	24	21	32	42	20	12	30	24	22	21	31	20	23	20	24	26	21	17	17	13	21	22	24	10	7	13	13	30	26	33	18	23	22	24	13	15	33	31	16	36	26	35	15	19	23	17	9	9					
6	Число погашенных избирательных бюллетеней	37702	491	460	704	975	1012	697	629	677	620	706	859	878	836	598	758	675	846	631	742	688	700	887	730	715	709	719	717	916	684	892	680	786	995	1255	850	747	705	647	323	915	487	853	623	518	398	406	489	647	96	225	863	605	703	735					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1183	12	17	19	38	26	28	24	21	32	42	20	12	30	24	22	21	31	20	23	20	24	26	21	17	17	13	21	22	24	10	7	13	13	30	26	33	18	23	22	24	13	15	33	31	16	36	26	35	15	19	23	17	9	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45269	547	483	797	1037	742	875	967	892	938	902	861	837	924	808	930	994	948	999	1005	962	936	1287	999	828	984	818	1042	1452	962	988	960	991	1282	885	864	860	687	540	340	1121	500	802	634	531	436	798	555	738	142	306	1083	838	668	964					
9	Число недействительных избирательных бюллетеней	408	3	2	8	6	8	10	3	11	10	15	7	10	8	9	7	9	20	5	14	8	6	18	15	15	7	10	9	0	10	4	8	11	12	7	8	7	3	5	2	9	0	5	4	7	2	6	5	6	1	0	14	7	4	8					
10	Число действительных избирательных бюллетеней	46044	556	498	808	1069	760	893	988	902	960	929	874	839	946	823	945	1006	959	1014	1014	974	954	1295	1005	830	994	821	1054	1474	976	994	959	993	1283	908	882	886	702	558	360	1136	513	812	663	555	450	828	576	767	156	325	1092	848	673	965					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	695	8	7	12	16	14	12	12	12	12	13	13	13	14	11	13	13	14	13	14	13	13	17	14	12	13	12	14	18	13	15	13	14	20	20	15	15	13	11	6	20	9	15	12	10	8	11	10	13	3	6	17	14	13	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	132	0	3	2	5	2	2	5	3	0	0	2	5	5	0	4	3	3	10	7	1	2	1	1	0	1	2	4	6	3	1	4	4	3	2	1	3	0	5	0	3	0	6	0	0	2	1	5	1	0	4	1	2	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	69	0	0	0	0	4	0	3	3	5	2	2	2	2	0	1	1	0	2	0	0	3	1	1	2	0	1	3	4	1	1	2	0	0	2	0	3	0	1	0	0	0	1	0	1	1	2	3	2	3	1	3	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	563	8	4	10	11	12	10	7	9	12	13	11	8	9	11	9	10	11	3	7	12	11	16	13	12	12	10	10	12	10	14	9	10	17	18	14	12	13	6	6	17	9	9	12	10	6	10	5	12	3	2	16	12	12	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	1.Политическая партия «Аграрная партия России»	1255	10	14	25	14	33	26	38	19	29	32	26	27	30	23	29	35	26	31	33	38	31	44	29	22	40	22	23	33	31	23	18	25	28	15	11	12	16	9	8	26	12	18	20	11	8	34	25	22	2	9	33	21	13	23					
		2.70%	1.79%	2.80%	3.06%	1.30%	4.30%	2.88%	3.83%	2.08%	2.99%	3.39%	2.95%	3.18%	3.14%	2.76%	3.05%	3.45%	2.66%	3.04%	3.21%	3.87%	3.23%	3.35%	2.84%	2.60%	3.99%	2.65%	2.16%	2.24%	3.14%	2.30%	1.86%	2.49%	2.16%	1.64%	1.24%	1.34%	2.27%	1.60%	2.21%	2.27%	2.34%	2.20%	2.99%	1.96%	1.77%	4.08%	4.30%	2.85%	1.27%	2.77%	2.98%	2.46%	1.92%	2.36%					
19	2.Всероссийская политическая партия «Гражданская Сила»	425	7	6	6	13	9	6	18	12	13	9	2	6	13	2	9	10	4	9	9	8	4	11	10	12	16	7	13	11	8	10	10	10	17	2	11	9	3	2	0	5	4	10	9	2	1	2	4	7	1	2	19	7	4	11					
