Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    район Братеево																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	61544	2246	2795	2488	2278	2784	2774	2277	2464	2450	2396	2019	2257	2215	1606	2833	2331	2267	2430	1974	2321	2726	2704	2337	2679	2221	1672									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49600	1800	2200	2000	1800	2200	2200	1800	2000	2000	2000	1600	1800	1800	1300	2300	1900	1800	2000	1600	1900	2200	2200	1900	2100	1800	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20379	770	977	794	702	870	792	789	784	750	975	627	728	748	556	958	834	721	826	591	686	1313	934	694	799	680	481									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	410	27	17	18	29	20	3	8	19	15	7	5	3	8	6	21	10	17	17	16	16	22	21	22	36	21	6									
6	Число погашенных избирательных бюллетеней	28811	1003	1206	1188	1069	1310	1405	1003	1197	1235	1018	968	1069	1044	738	1321	1056	1062	1157	993	1198	865	1245	1184	1265	1099	913									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	410	27	17	18	29	20	3	8	19	15	7	5	3	8	6	21	10	17	17	16	16	22	21	22	36	21	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20317	770	977	790	700	869	788	789	784	750	966	627	728	748	556	958	831	721	826	591	686	1313	934	693	763	678	481									
9	Число недействительных избирательных бюллетеней	320	9	14	16	15	14	19	8	18	11	11	6	8	7	6	10	10	9	19	7	22	10	20	16	14	10	11									
10	Число действительных избирательных бюллетеней	20407	788	980	792	714	875	772	789	785	754	962	626	723	749	556	969	831	729	824	600	680	1325	935	699	785	689	476									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	455	20	25	20	25	15	30	15	10	20	20	10	10	25	15	25	25	15	15	10	25	20	10	10	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	328	15	23	16	19	10	24	10	8	8	17	10	6	18	4	20	18	13	10	8	17	16	5	3	16	5	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	282	11	18	6	35	16	10	14	19	9	10	2	8	5	12	14	9	1	10	10	9	8	6	10	5	8	17									
14	Число погашенных неиспользованных открепительных удостоверений	127	5	2	4	6	5	6	5	2	12	3	0	4	7	11	5	7	2	5	2	8	4	5	7	4	5	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	1	4	4	3	4	2	1	3	1	3	1	0	5	1	5	7	3	1	3	1	4	1	1	1	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	571	11	36	23	26	26	23	22	25	12	22	15	34	17	20	36	29	28	22	11	17	23	24	25	17	12	15									
		2.75%	1.38%	3.62%	2.85%	3.57%	2.92%	2.91%	2.76%	3.11%	1.57%	2.26%	2.37%	4.65%	2.25%	3.56%	3.68%	3.45%	3.79%	2.61%	1.81%	2.42%	1.72%	2.51%	3.50%	2.13%	1.72%	3.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	373	12	15	16	11	15	11	12	7	14	25	9	15	10	3	15	18	18	15	11	12	21	19	13	22	23	11									
		1.80%	1.51%	1.51%	1.98%	1.51%	1.69%	1.39%	1.51%	0.87%	1.83%	2.57%	1.42%	2.05%	1.32%	0.53%	1.53%	2.14%	2.44%	1.78%	1.81%	1.71%	1.57%	1.99%	1.82%	2.75%	3.29%	2.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	632	15	26	24	15	37	35	18	24	21	35	10	25	28	11	36	21	30	31	15	23	33	23	23	33	29	11									
