Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519					
1	"Число избирателей, внесенных в списки избирателей"	121490	1094	1896	1920	1588	1547	1486	1968	2007	2608	1648	1558	1418	1113	1296	2234	2049	1473	2143	1494	1028	1427	1484	1409	937	2423	2261	1363	1260	1239	541	1357	1250	1484	1889	1039	1118	1453	1958	997	214	220	1902	2107	1997	2136	2273	1916	2298	2463	2610	1519	1555	2107	1784	1901	2115	2002	1907	1667	1593	172	1751	1777	1845	1366	2099	2052	1911	940	2222	2208	2161	2243					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	116256	1000	1700	1750	1500	1500	1400	1900	1900	2900	1550	1400	1300	1000	1200	2100	1950	1400	2050	1350	950	1350	1400	1300	850	2400	2150	1300	1150	1150	500	1300	1200	1400	1800	950	1050	1350	1850	950	214	220	1800	2000	1950	2000	2150	1850	2200	2350	2500	1450	1500	2000	1700	1800	2050	1900	1700	1600	1500	172	1650	1700	1750	1300	2000	1950	1850	1850	2100	2100	2050	2150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	62796	455	677	794	735	737	703	909	908	2599	658	616	636	506	652	1093	1143	744	1138	832	574	852	837	767	463	1393	1354	770	657	626	221	726	621	811	980	312	376	542	925	577	183	220	1018	1093	1090	1142	1097	952	1222	1290	1445	664	825	1156	990	1048	1081	1109	1010	862	759	172	900	805	811	645	1019	1104	967	896	1062	1157	961	1122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3192	72	188	106	62	76	43	44	41	9	118	55	52	22	28	51	24	23	18	39	28	31	39	29	23	29	41	35	44	38	41	27	26	30	36	81	72	64	101	9	31	0	34	42	27	33	46	50	31	42	83	44	32	48	43	59	56	24	19	25	41	0	48	39	73	49	30	31	33	44	53	18	38	31					
6	Число погашенных избирательных бюллетеней	50268	473	835	850	703	687	654	947	951	292	774	729	612	472	520	956	783	633	894	479	348	467	524	504	364	978	755	495	449	486	238	547	553	559	784	557	602	744	824	364	0	0	748	865	833	825	1007	848	947	1018	972	742	643	796	667	693	913	767	671	713	700	0	702	856	866	606	951	815	850	910	985	925	1051	997					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3192	72	188	106	62	76	43	44	41	9	118	55	52	22	28	51	24	23	18	39	28	31	39	29	23	29	41	35	44	38	41	27	26	30	36	81	72	64	101	9	31	0	34	42	27	33	46	50	31	42	83	44	32	48	43	59	56	24	19	25	41	0	48	39	73	49	30	31	33	44	53	18	38	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62662	455	677	794	735	737	703	909	906	2595	658	614	634	506	652	1092	1141	744	1136	832	574	849	837	767	461	1393	1354	770	657	626	221	726	619	811	980	312	376	542	925	577	183	220	1018	1092	1086	1142	1097	952	1222	1290	1362	664	809	1156	990	1048	1081	1109	1010	858	759	172	900	805	809	645	1018	1103	967	896	1062	1157	961	1122					
9	Число недействительных избирательных бюллетеней	622	0	8	2	15	8	12	10	5	16	5	9	2	6	6	18	16	16	12	13	6	8	7	4	1	16	11	15	11	8	2	11	6	9	6	1	5	3	9	6	0	3	8	5	11	9	13	9	18	11	10	6	15	12	13	12	5	5	11	5	5	1	3	7	9	8	10	13	13	4	10	15	8	11					
10	Число действительных избирательных бюллетеней	65232	527	857	898	782	805	734	943	942	2588	771	660	684	522	674	1125	1149	751	1142	858	596	872	869	792	483	1406	1384	790	690	656	260	742	639	832	1010	392	443	603	1017	580	214	217	1044	1129	1102	1166	1130	993	1235	1321	1435	702	826	1192	1020	1095	1132	1128	1018	878	795	171	945	837	873	686	1038	1121	987	936	1105	1160	991	1142					
