Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																						
																																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																						
																																																																																						
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
1	"Число избирателей, внесенных в списки"	139427	2368	1958	2078	1063	2472	2250	2732	2499	2503	1730	1515	1814	1945	2235	1217	2532	2731	1790	1608	918	1594	2344	2755	2298	1676	1270	2303	2124	2211	2084	1848	2488	2239	1663	2572	2170	1989	1261	2479	2485	2775	2815	2649	2851	2453	2844	2797	2787	2831	3016	2847	1905	1982	1329	2466	2727	2433	2047	2221	324	2078	159	1437	372	220	542	2013	896	189	237	65	180	57	115	257	50	48	252	350					
2	"Число бюллетеней, полученных участковыми комиссиями"	123868	2000	1800	1800	900	2000	1800	2500	2200	2300	1500	1200	1600	1700	2000	1200	2100	2300	1600	1400	700	1300	2000	2500	2000	1500	1000	2200	2000	2000	2000	1700	2000	2000	1400	2500	1900	1900	1000	2100	2300	2200	2600	2400	2600	2000	2600	2600	2600	2600	2900	2600	1800	1800	1000	2200	2500	2000	1900	1900	350	1900	160	1100	320	190	490	2000	800	165	237	90	200	61	115	260	55	43	252	380					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	72068	1101	996	941	455	1126	1046	1311	1287	1225	818	525	733	859	1158	571	1277	912	888	658	317	570	1164	1621	1266	922	714	1259	1303	1275	1201	1015	1434	1052	865	1604	1162	1162	635	1183	1344	1561	1596	1279	1485	1314	1634	1452	1591	1474	1593	1467	1035	1194	690	1162	1552	1131	889	1017	119	1412	96	778	219	110	297	1053	480	94	183	50	180	51	111	94	38	39	244	349					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1748	32	24	16	26	21	16	22	10	14	11	5	17	18	11	7	19	11	17	10	5	4	26	45	27	28	24	33	35	25	20	16	26	32	84	31	26	20	16	36	16	116	17	26	12	17	44	14	24	17	28	17	18	14	10	16	20	11	11	10	5	5	3	30	13	6	13	22	44	41	54	15	0	0	0	157	12	4	0	0					
6	Число погашенных бюллетеней	50052	867	780	843	419	853	738	1167	903	1061	671	670	850	823	831	622	804	1377	695	732	378	726	810	834	707	550	262	908	662	700	779	669	540	916	451	865	712	718	349	881	940	523	987	1095	1103	669	922	1134	985	1109	1279	1116	747	592	300	1022	928	858	1000	873	226	483	61	292	88	74	180	925	276	30	0	25	20	10	4	9	5	0	8	31					
7	Число бюллетеней в переносных ящиках для голосования	1748	32	24	16	26	21	16	22	10	14	11	5	17	18	11	7	19	11	17	10	5	4	26	45	27	28	24	33	35	25	20	16	26	32	84	31	26	20	16	36	16	116	17	26	12	17	44	14	24	17	28	17	18	14	10	16	20	11	11	10	5	5	3	30	13	6	13	22	44	41	54	15	0	0	0	157	12	4	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	71939	1101	994	941	454	1112	1030	1299	1287	1225	818	524	733	859	1158	571	1275	912	887	658	317	570	1164	1621	1238	922	713	1259	1299	1272	1197	1015	1434	1051	865	1598	1159	1160	632	1181	1344	1561	1596	1277	1484	1314	1631	1450	1590	1473	1590	1465	1035	1194	689	1160	1552	1128	889	1017	119	1411	96	778	219	110	297	1053	480	94	183	50	180	51	111	94	37	39	244	349					
9	Число недействительных бюллетеней	902	9	15	20	9	0	18	16	22	17	8	16	7	7	7	11	7	19	7	4	7	8	17	14	22	8	4	9	13	11	7	21	8	15	12	11	11	8	7	10	36	20	17	9	15	13	12	7	24	5	15	17	11	11	2	9	6	18	17	9	6	24	0	23	9	6	7	38	9	5	4	3	3	4	11	5	0	0	7	23					
10	Число действительных бюллетеней	72785	1124	1003	937	471	1133	1028	1305	1275	1222	821	513	743	870	1162	567	1287	904	897	664	315	566	1173	1652	1243	942	733	1283	1321	1286	1210	1010	1452	1068	937	1618	1174	1172	641	1207	1324	1657	1596	1294	1481	1318	1663	1457	1590	1485	1603	1465	1042	1197	697	1167	1566	1121	883	1018	118	1392	99	785	223	110	303	1037	515	130	233	62	177	47	100	246	49	43	237	326					
