Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Марьяновская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20122	1320	1155	1315	1285	1262	1286	63	109	252	55	131	238	827	116	114	325	575	1309	276	219	334	303	682	96	81	227	251	699	572	182	149	588	289	898	216	170	190	619	382	331	350	281									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18868	1190	1040	1190	1170	1150	1180	66	116	256	57	136	240	750	117	116	328	520	1180	275	223	337	305	610	101	83	225	252	630	520	184	149	550	293	820	216	173	194	560	375	345	348	298									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8099	423	341	415	462	429	583	34	64	181	28	37	144	371	84	55	119	217	464	105	98	137	158	255	32	48	110	76	256	278	125	90	299	209	366	112	73	31	268	113	138	121	150									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	773	24	27	25	42	219	41	0	0	2	0	15	4	22	0	7	7	15	35	8	3	4	7	7	3	0	6	5	42	22	9	4	53	3	16	0	2	1	14	26	8	12	33									
6	Число погашенных избирательных бюллетеней	9996	743	672	750	666	502	556	32	52	73	29	84	92	357	33	54	202	288	681	162	122	196	140	348	66	35	109	171	332	220	50	55	198	81	438	104	98	162	278	236	199	215	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	773	24	27	25	42	219	41	0	0	2	0	15	4	22	0	7	7	15	35	8	3	4	7	7	3	0	6	5	42	22	9	4	53	3	16	0	2	1	14	26	8	12	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8099	423	341	415	462	429	583	34	64	181	28	37	144	371	84	55	119	217	464	105	98	137	158	255	32	48	110	76	256	278	125	90	299	209	366	112	73	31	268	113	138	121	150									
9	Число недействительных избирательных бюллетеней	258	9	9	8	17	21	20	0	4	1	0	2	2	17	0	1	16	6	4	5	9	1	3	13	2	0	7	1	4	14	2	3	4	0	11	2	4	3	18	5	6	1	3									
10	Число действительных избирательных бюллетеней	8614	438	359	432	487	627	604	34	60	182	28	50	146	376	84	61	110	226	495	108	92	140	162	249	33	48	109	80	294	286	132	91	348	212	371	110	71	29	264	134	140	132	180									
