Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    район Северное Медведково																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808					
1	"Число избирателей, внесенных в списки избирателей"	73287	2924	2616	2698	2778	2561	2625	2534	2487	2869	2543	2787	2349	2917	1459	2095	2377	2872	2523	2666	2541	2385	2276	2456	2177	2552	2289	2603	2382	2946					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	59100	2350	2100	2150	2150	2050	2200	2050	2000	2200	2050	2250	2000	2250	1100	1650	1950	2350	2050	2200	1900	2000	1800	2050	1800	2050	1900	2150	2000	2350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38110	1424	1266	1528	1543	1160	1380	1264	1239	1343	1143	1474	1255	1568	800	1200	1120	1452	1258	1418	1380	1411	1318	1428	1121	1352	1109	1390	1258	1508					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1303	42	33	25	53	46	116	37	34	61	52	73	40	37	31	32	58	33	66	32	53	36	44	28	40	36	54	20	24	67					
6	Число погашенных избирательных бюллетеней	19687	884	801	597	554	844	704	749	727	796	855	703	705	645	269	418	772	865	726	750	467	553	438	594	639	662	737	740	718	775					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1298	42	32	25	53	46	116	37	34	61	52	72	40	37	31	32	58	30	66	32	53	36	44	28	40	36	54	20	24	67					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37820	1417	1260	1528	1529	1154	1371	1261	1238	1339	1138	1469	1254	1568	800	1200	1119	1418	1228	1410	1378	1375	1284	1423	1116	1349	1107	1389	1257	1441					
9	Число недействительных избирательных бюллетеней	575	21	18	28	15	13	19	19	23	14	20	23	19	26	14	16	20	26	29	27	17	19	22	27	8	22	10	23	16	21					
10	Число действительных избирательных бюллетеней	38543	1438	1274	1525	1567	1187	1468	1279	1249	1386	1170	1518	1275	1579	817	1216	1157	1422	1265	1415	1414	1392	1306	1424	1148	1363	1151	1386	1265	1487					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1920	75	65	65	65	65	65	65	65	75	65	65	65	65	50	65	65	65	65	65	65	65	65	65	65	75	65	75	75	65					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1491	67	55	62	63	48	56	51	48	66	50	52	29	44	27	33	51	62	55	59	59	46	34	47	47	67	46	57	61	49					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1596	43	47	92	47	46	42	37	54	55	31	42	36	86	69	57	22	46	22	31	142	68	68	80	27	58	27	169	22	30					
14	Число погашенных неиспользованных открепительных удостоверений	429	8	10	3	2	17	9	14	17	9	15	13	36	21	23	32	14	3	10	6	6	19	31	18	18	8	19	18	14	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	452	11	7	7	9	25	18	13	9	10	5	24	13	9	2	5	10	7	9	9	6	4	8	6	5	10	14	182	8	7					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	1.Политическая партия «Аграрная партия России»	1168	37	37	44	46	38	45	33	32	43	29	44	39	46	18	34	38	44	48	40	43	47	26	50	36	48	44	38	58	43					
		2.99%	2.54%	2.86%	2.83%	2.91%	3.17%	3.03%	2.54%	2.52%	3.07%	2.44%	2.86%	3.01%	2.87%	2.17%	2.76%	3.23%	3.04%	3.71%	2.77%	3.00%	3.33%	1.96%	3.45%	3.11%	3.47%	3.79%	2.70%	4.53%	2.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	941	31	41	23	41	25	27	27	32	22	26	42	36	51	29	34	19	26	25	28	37	56	26	52	26	32	33	29	24	41					
		2.41%	2.12%	3.17%	1.48%	2.59%	2.08%	1.82%	2.08%	2.52%	1.57%	2.18%	2.73%	2.78%	3.18%	3.49%	2.76%	1.61%	1.80%	1.93%	1.94%	2.59%	3.97%	1.96%	3.58%	2.25%	2.31%	2.84%	2.06%	1.87%	2.72%					
20	3.Политическая партия «Демократическая партия России»	77	1	2	3	4	2	6	4	0	6	2	2	3	1	3	4	1	1	4	3	4	4	1	2	1	4	1	4	4	0					
		0.20%	0.07%	0.15%	0.19%	0.25%	0.17%	0.40%	0.31%	0.00%	0.43%	0.17%	0.13%	0.23%	0.06%	0.36%	0.32%	0.08%	0.07%	0.31%	0.21%	0.28%	0.28%	0.08%	0.14%	0.09%	0.29%	0.09%	0.28%	0.31%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4850	156	188	230	207	125	151	148	159	146	171	170	170	176	125	118	171	175	153	146	201	174	188	161	170	175	201	135	155	205					
		12.40%	10.69%	14.55%	14.81%	13.08%	10.42%	10.15%	11.40%	12.50%	10.43%	14.37%	11.03%	13.14%	10.97%	15.04%	9.58%	14.53%	12.09%	11.82%	10.12%	14.05%	12.33%	14.16%	11.10%	14.71%	12.64%	17.31%	9.58%	12.10%	13.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	935	35	31	36	27	39	19	29	42	32	25	31	45	35	32	24	30	12	20	35	27	48	62	47	27	33	22	23	34	33					
		2.39%	2.40%	2.40%	2.32%	1.71%	3.25%	1.28%	2.23%	3.30%	2.29%	2.10%	2.01%	3.48%	2.18%	3.85%	1.95%	2.55%	0.83%	1.55%	2.43%	1.89%	3.40%	4.67%	3.24%	2.34%	2.38%	1.89%	1.63%	2.65%	2.19%					
23	6.Политическая партия «Партия социальной справедливости»	165	5	0	7	6	5	9	6	4	8	7	3	6	9	2	1	5	1	6	5	6	10	6	13	5	9	3	7	3	8					
		0.42%	0.34%	0.00%	0.45%	0.38%	0.42%	0.61%	0.46%	0.31%	0.57%	0.59%	0.19%	0.46%	0.56%	0.24%	0.08%	0.42%	0.07%	0.46%	0.35%	0.42%	0.71%	0.45%	0.90%	0.43%	0.65%	0.26%	0.50%	0.23%	0.53%					
24	7.Политическая партия «Либерально-демократическая партия России»	2958	117	100	106	110	110	131	118	96	133	73	87	84	111	63	55	94	133	93	128	112	98	86	92	86	108	81	122	133	98					
		7.56%	8.02%	7.74%	6.83%	6.95%	9.17%	8.81%	9.09%	7.55%	9.50%	6.13%	5.65%	6.49%	6.92%	7.58%	4.46%	7.99%	9.19%	7.19%	8.88%	7.83%	6.95%	6.48%	6.34%	7.44%	7.80%	6.98%	8.66%	10.38%	6.50%					
