Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    район Северное Медведково																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792					
1	"Число избирателей, внесенных в список избирателей"	71910	2955	2897	2709	2808	2942	2802	2539	2463	2381	2061	2627	2362	2650	2295	2191	2377	2178	2570	2563	2271	2410	2135	2426	2074	2438	2230	2500	2316	2740					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57700	2400	2400	2200	2300	2400	2300	2000	2000	1900	1600	2100	1900	2100	1800	1800	1900	1800	2000	2100	1900	2000	1700	1900	1600	1900	1800	1900	1800	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36984	1328	1602	1425	1401	1770	1488	1413	1194	1121	947	1656	1159	1304	1092	1001	1042	909	1223	1769	1576	1131	1118	1230	1078	1202	995	1110	1165	1535					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1063	38	41	27	48	81	56	71	21	72	22	27	32	29	32	30	62	12	62	37	35	30	24	15	35	15	29	7	16	57					
6	Число погашенных избирательных бюллетеней	19653	1034	757	748	851	549	756	516	785	707	631	417	709	767	676	769	796	879	715	294	289	839	558	655	487	683	776	783	619	608					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1062	38	41	27	47	81	56	71	21	72	22	27	32	29	32	30	62	12	62	37	35	30	24	15	35	15	29	7	16	57					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36870	1327	1601	1387	1397	1770	1488	1413	1191	1121	945	1654	1159	1304	1090	1001	1042	894	1223	1769	1572	1106	1113	1225	1078	1200	993	1108	1164	1535					
9	Число недействительных избирательных бюллетеней	662	19	31	26	19	15	30	28	18	40	18	24	21	31	15	6	23	15	11	27	17	24	22	42	30	30	18	18	21	23					
10	Число действительных избирательных бюллетеней	37270	1346	1611	1388	1425	1836	1514	1456	1194	1153	949	1657	1170	1302	1107	1025	1081	891	1274	1779	1590	1112	1115	1198	1083	1185	1004	1097	1159	1569					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1900	85	70	80	70	70	70	65	65	60	55	60	60	60	105	55	60	75	65	65	55	60	55	60	55	75	55	60	60	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1464	71	52	64	62	51	70	65	33	41	32	53	34	43	60	47	48	58	47	55	41	46	51	44	41	61	48	43	43	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1111	47	33	49	74	28	18	21	28	43	85	47	27	41	71	21	21	68	39	29	35	26	23	40	13	52	27	67	18	20					
14	Число погашенных неиспользованных открепительных удостоверений	436	14	18	16	8	19	0	0	32	19	23	7	26	17	45	8	12	17	18	10	14	14	4	16	14	14	7	17	17	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	148	3	7	4	5	2	7	17	9	5	6	4	9	2	3	3	13	2	2	9	2	4	0	2	1	2	4	4	8	9					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5902	216	227	273	252	222	249	279	252	207	152	193	189	230	170	195	171	106	225	201	167	204	211	188	198	194	164	157	217	193					
		15.56%	15.82%	13.82%	19.31%	17.45%	11.99%	16.13%	18.80%	20.79%	17.35%	15.72%	11.48%	15.87%	17.25%	15.15%	18.91%	15.49%	11.70%	17.51%	11.13%	10.39%	17.96%	18.56%	15.16%	17.79%	15.97%	16.05%	14.08%	18.39%	12.12%					
