Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Караидельская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302					
1	"Число избирателей, внесенных в список избирателей"	20265	346	194	295	1106	411	804	115	209	312	2414	1595	581	143	387	215	551	475	408	76	357	177	301	153	105	1169	120	451	231	406	450	389	166	99	125	354	105	218	447	399	282	311	517	174	157	73	75	87	214	91	476	225	326	398					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20937	346	200	304	1102	433	841	134	222	315	2467	1595	579	151	385	222	660	476	414	72	360	186	312	158	114	1200	125	451	235	411	483	398	168	105	126	377	114	236	456	412	286	323	640	178	164	77	82	90	217	94	479	226	329	407					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19162	335	192	280	1059	398	677	103	186	306	2244	1556	556	135	340	208	533	470	377	72	355	160	298	152	104	1110	117	437	206	397	417	377	153	94	117	303	93	191	419	390	276	293	476	161	151	66	73	81	201	89	470	195	318	395					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	819	11	0	15	23	13	111	10	21	5	117	12	20	7	42	5	12	0	27	0	0	14	0	0	0	33	3	9	23	5	27	10	11	3	7	47	12	24	24	0	3	15	25	11	6	6	0	6	7	2	3	27	5	0					
6	Число погашенных избирательных бюллетеней	956	0	8	9	20	22	53	21	15	4	106	27	3	9	3	9	115	6	10	0	5	12	14	6	10	57	5	5	6	9	39	11	4	8	2	27	9	21	13	22	7	15	139	6	7	5	9	3	9	3	6	4	6	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	819	11	0	15	23	13	111	10	21	5	117	12	20	7	42	5	12	0	27	0	0	14	0	0	0	33	3	9	23	5	27	10	11	3	7	47	12	24	24	0	3	15	25	11	6	6	0	6	7	2	3	27	5	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19162	335	192	280	1059	398	677	103	186	306	2244	1556	556	135	340	208	533	470	377	72	355	160	298	152	104	1110	117	437	206	397	417	377	153	94	117	303	93	191	419	390	276	293	476	161	151	66	73	81	201	89	470	195	318	395					
9	Число недействительных избирательных бюллетеней	93	1	0	0	7	6	0	0	0	3	4	0	2	2	2	0	6	12	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	11	15	0	0	0	1					
10	Число действительных избирательных бюллетеней	19888	345	192	295	1075	405	788	113	207	308	2357	1568	574	140	380	213	539	458	401	72	355	174	298	152	104	1143	120	446	229	402	444	385	162	97	124	350	105	215	443	390	279	302	493	172	157	72	73	87	197	76	473	222	323	394					
