Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Караидельская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328					
1	"Число избирателей, внесенных в списки избирателей"	19156	284	202	267	363	207	1041	764	131	195	432	290	2192	1302	467	155	559	434	413	51	79	364	155	266	158	127	1111	119	498	240	374	211	406	476	367	142	86	121	343	107	207	431	385	277	333	410	160	166	79	106	78	227	101	301	396					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19633	282	206	276	375	212	1060	777	127	222	442	290	2216	1306	471	154	574	436	407	55	85	364	162	275	160	128	1150	122	495	278	382	212	402	515	382	146	88	121	372	113	216	433	390	277	337	437	172	169	78	154	87	227	101	312	403					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17915	274	202	262	329	202	882	663	113	157	432	281	1986	1289	442	149	557	427	359	51	78	364	140	265	157	127	1028	116	478	195	345	192	359	421	359	133	83	115	281	97	176	427	379	276	316	376	150	161	76	106	70	220	101	295	396					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1012	8	0	0	31	5	139	86	11	34	0	9	160	13	21	5	0	0	46	0	0	0	15	0	0	0	63	2	10	41	29	17	27	41	6	7	1	5	59	10	28	0	0	0	14	34	8	4	2	0	8	7	0	6	0					
6	Число погашенных избирательных бюллетеней	706	0	4	14	15	5	39	28	3	31	10	0	70	4	8	0	17	9	2	4	7	0	7	10	3	1	59	4	7	42	8	3	16	53	17	6	4	1	32	6	12	6	11	1	7	27	14	4	0	48	9	0	0	11	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1012	8	0	0	31	5	139	86	11	34	0	9	160	13	21	5	0	0	46	0	0	0	15	0	0	0	63	2	10	41	29	17	27	41	6	7	1	5	59	10	28	0	0	0	14	34	8	4	2	0	8	7	0	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17915	274	202	262	329	202	882	663	113	157	432	281	1986	1289	442	149	557	427	359	51	78	364	140	265	157	127	1028	116	478	195	345	192	359	421	359	133	83	115	281	97	176	427	379	276	316	376	150	161	76	106	70	220	101	295	396					
9	Число недействительных избирательных бюллетеней	669	6	22	32	11	6	104	56	7	7	14	12	0	0	54	0	0	11	0	0	8	0	3	0	0	0	55	2	7	0	22	27	18	60	57	10	15	5	0	1	1	0	2	0	5	0	0	0	0	0	0	3	0	11	15					
10	Число действительных избирательных бюллетеней	18258	276	180	230	349	201	917	693	117	184	418	278	2146	1302	409	154	557	416	405	51	70	364	152	265	157	127	1036	116	481	236	352	182	368	402	308	130	69	115	340	106	203	427	377	276	325	410	158	165	78	106	78	224	101	290	381					
