Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    Среднеканская														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №59	УИК №60	УИК №61									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2211	873	1183	155									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2294	879	1250	165									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	380	0	380	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	833	415	344	74									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	106	74	11	21									
6	Число погашенных избирательных бюллетеней	975	390	515	70									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	486	74	391	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	832	414	344	74									
9	Число недействительных избирательных бюллетеней	29	16	10	3									
10	Число действительных избирательных бюллетеней	1289	472	725	92									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	128	49	50	29									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	9	5	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6	1	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	119	44	48	27									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	19	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	12	3	6	3									
		0.91%	0.61%	0.82%	3.16%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	33	16	14	3									
		2.50%	3.28%	1.90%	3.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	29	10	13	6									
		2.20%	2.05%	1.77%	6.32%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	818	263	510	45									
		62.06%	53.89%	69.39%	47.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	3	4	0									
		0.53%	0.61%	0.54%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	3	1	0									
		0.30%	0.61%	0.14%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	180	81	78	21									
		13.66%	16.60%	10.61%	22.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	1	3	1									
		0.38%	0.20%	0.41%	1.05%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	4	4	0									
		0.61%	0.82%	0.54%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	3	6	1									
		0.76%	0.61%	0.82%	1.05%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	136	62	67	7									
		10.32%	12.70%	9.12%	7.37%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	1	1	1									
		0.23%	0.20%	0.14%	1.05%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	44	22	18	4									
		3.34%	4.51%	2.45%	4.21%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
