Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Иглинская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369					
1	"Число избирателей, внесенных в списки"	26733	1035	813	932	1184	1023	1114	1145	1073	929	917	1002	1042	478	415	544	485	295	175	464	162	847	340	77	582	167	772	533	165	139	531	125	459	140	148	403	133	118	38	263	129	270	76	628	102	1090	266	375	138	206	310	245	224	999	296	172					
2	"Число бюллетеней, полученных участковыми комиссиями"	24883	930	870	930	945	964	1009	924	860	858	875	909	955	455	400	557	415	273	170	439	159	788	323	76	557	164	745	455	160	120	488	135	428	114	143	443	135	112	38	261	129	265	84	617	95	990	273	377	144	212	300	233	212	919	294	157					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20102	888	771	877	917	787	958	898	814	634	448	682	818	367	358	517	398	242	128	285	127	486	251	48	363	103	378	388	124	110	375	44	364	93	119	375	115	105	38	180	75	128	69	473	84	865	93	309	82	191	257	184	154	824	202	139					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2374	29	42	38	23	44	22	16	36	42	61	113	54	20	16	17	17	11	15	122	23	221	49	14	86	17	122	57	16	10	72	68	19	21	15	28	4	0	0	36	34	117	7	59	11	88	173	54	52	15	18	12	46	36	27	9					
6	Число погашенных бюллетеней	2407	13	57	15	5	133	29	10	10	182	366	114	83	68	26	23	0	20	27	32	9	81	23	14	108	44	245	10	20	0	41	23	45	0	9	40	16	7	0	45	20	20	8	85	0	37	7	14	10	6	25	37	12	59	65	9					
7	Число бюллетеней в переносных ящиках для голосования	2257	29	42	38	23	44	22	16	36	42	61	113	54	20	16	17	17	11	15	122	23	221	49	14	86	17	122	57	16	10	72	68	19	21	15	28	4	0	0	36	34	0	7	59	11	88	173	54	52	15	18	12	46	36	27	9					
8	Число бюллетеней в стационарных ящиках для голосования	20215	887	771	877	917	787	956	898	814	634	448	682	818	367	358	517	398	242	128	285	127	486	251	48	363	103	378	388	124	110	375	44	364	93	119	375	115	105	38	180	75	245	69	472	84	865	93	309	82	191	257	184	154	824	202	139					
9	Число недействительных бюллетеней	637	24	17	25	0	0	10	19	0	31	14	40	14	48	6	3	12	18	3	8	10	0	9	0	22	8	13	31	3	4	16	4	15	3	13	11	8	3	3	11	3	2	5	20	0	19	7	8	1	12	11	11	15	20	7	17					
10	Число действительных бюллетеней	21835	892	796	890	940	831	968	895	850	645	495	755	858	339	368	531	403	235	140	399	140	707	291	62	427	112	487	414	137	116	431	108	368	111	121	392	111	102	35	205	106	243	71	511	95	934	259	355	133	194	264	185	185	840	222	131					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	399	22	12	15	15	18	16	10	16	10	10	6	14	10	10	10	5	5	5	5	5	10	3	5	3	5	12	5	5	5	6	4	5	5	5	13	2	5	0	5	5	5	5	10	5	13	2	0	0	5	7	0	0	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	319	22	12	15	15	18	16	10	16	10	10	6	14	8	7	9	3	2	0	5	4	10	3	0	3	0	12	3	0	1	6	0	5	0	0	13	1	1	0	2	1	4	1	5	1	13	2	0	0	4	6	0	0	10	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	185	9	4	5	3	4	4	11	8	4	6	3	0	5	1	2	6	5	2	5	2	5	6	2	5	0	2	4	0	1	2	0	6	2	0	2	2	0	0	1	0	5	4	4	4	5	1	4	0	7	5	2	5	3	5	2					
14	Число погашенных открепительных удостоверений	80	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	3	5	0	1	0	0	5	0	5	0	2	5	4	0	4	0	5	5	0	1	4	0	3	4	1	4	5	4	0	0	0	0	1	1	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
18	"1. ""ЕДИНЕНИЕ"""	501	11	21	15	18	14	13	13	10	17	7	27	29	10	7	12	13	9	17	5	2	8	3	0	8	5	9	9	1	2	15	4	12	4	2	12	3	6	0	5	3	1	0	10	1	22	5	14	1	8	7	9	5	24	6	7					
		2.22%	1.20%	2.58%	1.63%	1.91%	1.68%	1.32%	1.42%	1.17%	2.51%	1.37%	3.39%	3.32%	2.58%	1.87%	2.24%	3.13%	3.55%	11.88%	1.22%	1.33%	1.13%	1.0%	0.0%	1.78%	4.16%	1.8%	2.02%	0.71%	1.66%	3.35%	3.57%	3.13%	3.50%	1.49%	2.97%	2.52%	5.71%	0.0%	2.31%	2.75%	0.40%	0.0%	1.88%	1.05%	2.30%	1.87%	3.85%	0.74%	3.88%	2.54%	4.59%	2.5%	2.79%	2.62%	4.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	393	29	28	23	28	22	24	22	32	8	9	11	10	0	2	6	8	6	1	5	3	5	0	0	7	2	15	4	0	1	1	1	3	1	2	2	0	0	0	3	0	5	0	2	1	18	6	1	0	1	2	3	4	16	10	0					
		1.74%	3.16%	3.44%	2.51%	2.97%	2.64%	2.45%	2.40%	3.76%	1.18%	1.76%	1.38%	1.14%	0.0%	0.53%	1.12%	1.92%	2.37%	0.69%	1.22%	2.0%	0.70%	0.0%	0.0%	1.55%	1.66%	3.0%	0.89%	0.0%	0.83%	0.22%	0.89%	0.78%	0.87%	1.49%	0.49%	0.0%	0.0%	0.0%	1.38%	0.0%	2.04%	0.0%	0.37%	1.05%	1.88%	2.25%	0.27%	0.0%	0.48%	0.72%	1.53%	2.0%	1.86%	4.36%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	642	31	26	28	31	21	22	28	50	23	15	32	23	1	16	16	4	1	2	6	8	19	3	4	21	4	16	12	6	4	8	1	18	3	3	3	0	0	1	5	9	4	0	19	6	34	5	3	0	4	3	2	6	22	8	2					
		2.85%	3.38%	3.19%	3.06%	3.29%	2.52%	2.24%	3.06%	5.88%	3.40%	2.94%	4.02%	2.63%	0.25%	4.27%	2.99%	0.96%	0.39%	1.39%	1.47%	5.33%	2.68%	1.0%	6.45%	4.67%	3.33%	3.2%	2.69%	4.28%	3.33%	1.78%	0.89%	4.69%	2.63%	2.23%	0.74%	0.0%	0.0%	2.63%	2.31%	8.25%	1.63%	0.0%	3.57%	6.31%	3.56%	1.87%	0.82%	0.0%	1.94%	1.09%	1.02%	3.0%	2.55%	3.49%	1.35%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	430	34	17	21	46	17	26	26	23	12	15	12	11	5	8	9	10	2	2	7	0	10	0	4	12	2	10	3	0	4	7	1	4	0	1	1	0	0	0	4	0	2	0	11	0	22	3	2	0	1	1	0	3	17	0	2					
		1.91%	3.71%	2.09%	2.29%	4.89%	2.04%	2.65%	2.84%	2.70%	1.77%	2.94%	1.50%	1.26%	1.29%	2.13%	1.68%	2.40%	0.79%	1.39%	1.71%	0.0%	1.41%	0.0%	6.45%	2.67%	1.66%	2.0%	0.67%	0.0%	3.33%	1.56%	0.89%	1.04%	0.0%	0.74%	0.24%	0.0%	0.0%	0.0%	1.85%	0.0%	0.81%	0.0%	2.07%	0.0%	2.30%	1.12%	0.55%	0.0%	0.48%	0.36%	0.0%	1.5%	1.97%	0.0%	1.35%					
22	"5. ""За Русь Святую"""	124	3	6	3	5	7	2	8	4	5	0	8	11	1	4	3	1	0	0	3	3	0	2	0	6	0	7	2	1	1	8	1	1	0	0	1	0	0	0	3	1	0	0	0	0	7	0	0	0	0	0	0	0	1	1	4					
