Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
Наименование Избирательной комиссии:    Облученская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
1	"Число избирателей, внесенных в списки избирателей"	22824	621	650	1153	1493	934	734	899	841	1349	573	122	390	171	1514	70	657	1386	351	1841	1766	955	224	966	396	1196	927	355	290					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22257	580	620	1120	1470	920	715	840	825	1410	570	120	325	160	1465	82	650	1410	340	1860	1810	950	220	850	390	1110	850	325	270					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	103	0	5	0	0	0	0	0	0	0	0	0	30	0	0	8	28	0	32	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12086	258	320	647	926	505	323	385	374	712	362	85	233	131	766	42	287	667	143	796	909	586	130	634	177	746	514	249	179					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1048	21	32	24	26	21	55	38	30	68	13	1	20	19	54	5	42	121	50	76	60	49	28	51	32	14	40	33	25					
6	Число погашенных избирательных бюллетеней	9020	301	263	449	518	394	337	417	421	630	195	34	42	10	645	27	293	622	115	988	841	315	62	165	181	350	296	43	66					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1151	21	37	24	26	21	55	38	30	68	13	1	50	19	54	13	70	121	82	76	60	49	28	51	32	14	40	33	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12086	258	320	647	926	505	323	385	374	712	362	85	233	131	766	42	287	667	143	796	909	586	130	634	177	746	514	249	179					
9	Число недействительных избирательных бюллетеней	114	3	0	10	9	6	3	4	1	4	7	0	1	0	12	1	4	4	0	10	8	2	2	9	0	0	6	7	1					
10	Число действительных избирательных бюллетеней	13123	276	357	661	943	520	375	419	403	776	368	86	282	150	808	54	353	784	225	862	961	633	156	676	209	760	548	275	203					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1026	40	30	60	66	50	30	40	40	90	30	10	20	30	50	10	25	50	15	60	60	40	15	30	30	40	30	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	524	18	9	16	30	4	2	8	11	38	28	9	18	24	22	0	8	50	15	51	56	12	13	21	27	17	5	10	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	410	5	3	21	10	26	2	18	9	6	5	0	8	3	10	1	10	27	7	9	15	10	5	96	1	32	44	22	5					
14	Число погашенных неиспользованных открепительных удостоверений	502	22	21	44	36	46	28	32	29	52	2	1	2	6	28	10	17	0	0	9	4	28	2	9	3	23	25	10	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	1.Политическая партия «Аграрная партия России»	218	6	6	14	15	7	8	3	3	19	15	2	3	6	8	1	2	11	3	14	18	6	1	21	1	12	9	2	2					
		1.65%	2.15%	1.68%	2.09%	1.58%	1.33%	2.12%	0.71%	0.74%	2.44%	4.00%	2.33%	1.06%	4.00%	0.98%	1.82%	0.56%	1.40%	1.33%	1.61%	1.86%	0.94%	0.63%	3.07%	0.48%	1.58%	1.62%	0.71%	0.98%					
19	2.Всероссийская политическая партия «Гражданская Сила»	77	2	0	5	11	3	3	3	2	2	3	0	1	2	2	0	1	5	1	3	6	4	1	4	3	8	1	1	0					
		0.58%	0.72%	0.00%	0.75%	1.16%	0.57%	0.79%	0.71%	0.50%	0.26%	0.80%	0.00%	0.35%	1.33%	0.24%	0.00%	0.28%	0.63%	0.44%	0.34%	0.62%	0.63%	0.63%	0.58%	1.44%	1.05%	0.18%	0.35%	0.00%					
20	3.Политическая партия «Демократическая партия России»	23	1	3	0	0	1	1	1	0	1	0	2	0	0	1	0	1	3	0	0	4	1	0	1	0	1	1	0	0					
		0.17%	0.36%	0.84%	0.00%	0.00%	0.19%	0.26%	0.24%	0.00%	0.13%	0.00%	2.33%	0.00%	0.00%	0.12%	0.00%	0.28%	0.38%	0.00%	0.00%	0.41%	0.16%	0.00%	0.15%	0.00%	0.13%	0.18%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2049	16	40	78	133	72	50	74	39	187	22	9	8	8	168	0	49	237	30	162	221	77	7	67	23	118	107	29	18					
		15.48%	5.73%	11.20%	11.62%	13.97%	13.69%	13.23%	17.49%	9.65%	23.97%	5.87%	10.47%	2.83%	5.33%	20.49%	0.00%	13.73%	30.08%	13.33%	18.58%	22.81%	12.13%	4.43%	9.78%	11.00%	15.53%	19.31%	10.28%	8.82%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	170	6	5	9	7	14	5	2	4	37	15	8	2	12	1	0	3	3	1	1	5	2	1	5	1	13	1	1	6					
		1.28%	2.15%	1.40%	1.34%	0.74%	2.66%	1.32%	0.47%	0.99%	4.74%	4.00%	9.30%	0.71%	8.00%	0.12%	0.00%	0.84%	0.38%	0.44%	0.11%	0.52%	0.31%	0.63%	0.73%	0.48%	1.71%	0.18%	0.35%	2.94%					
23	6.Политическая партия «Партия социальной справедливости»	33	1	2	2	3	0	0	2	2	3	0	0	0	0	2	1	1	2	0	1	0	0	0	2	1	5	2	0	1					
		0.25%	0.36%	0.56%	0.30%	0.32%	0.00%	0.00%	0.47%	0.50%	0.38%	0.00%	0.00%	0.00%	0.00%	0.24%	1.82%	0.28%	0.25%	0.00%	0.11%	0.00%	0.00%	0.00%	0.29%	0.48%	0.66%	0.36%	0.00%	0.49%					
24	7.Политическая партия «Либерально-демократическая партия России»	1210	53	25	66	105	48	47	40	58	59	33	10	15	17	56	1	13	40	11	78	93	48	20	76	20	70	57	23	28					
		9.14%	18.99%	7.00%	9.84%	11.03%	9.13%	12.43%	9.46%	14.36%	7.56%	8.80%	11.63%	5.30%	11.33%	6.83%	1.82%	3.64%	5.08%	4.89%	8.94%	9.60%	7.56%	12.66%	11.09%	9.57%	9.21%	10.29%	8.16%	13.73%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	721	18	25	41	59	33	27	22	16	64	18	6	8	3	24	1	16	37	6	39	61	40	2	54	10	50	16	11	14					
		5.45%	6.45%	7.00%	6.11%	6.20%	6.27%	7.14%	5.20%	3.96%	8.21%	4.80%	6.98%	2.83%	2.00%	2.93%	1.82%	4.48%	4.70%	2.67%	4.47%	6.30%	6.30%	1.27%	7.88%	4.78%	6.58%	2.89%	3.90%	6.86%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	75	3	4	3	4	3	0	3	3	2	3	5	2	2	1	1	2	8	0	5	1	3	1	2	6	2	5	1	0					
		0.57%	1.08%	1.12%	0.45%	0.42%	0.57%	0.00%	0.71%	0.74%	0.26%	0.80%	5.81%	0.71%	1.33%	0.12%	1.82%	0.56%	1.02%	0.00%	0.57%	0.10%	0.47%	0.63%	0.29%	2.87%	0.26%	0.90%	0.35%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8438	168	245	438	593	335	228	267	275	402	259	44	243	99	523	49	264	431	173	555	540	450	123	433	141	473	349	204	134					
		63.75%	60.22%	68.63%	65.28%	62.29%	63.69%	60.32%	63.12%	68.07%	51.54%	69.07%	51.16%	85.87%	66.00%	63.78%	89.09%	73.95%	54.70%	76.89%	63.65%	55.73%	70.87%	77.85%	63.21%	67.46%	62.24%	62.99%	72.34%	65.69%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	109	2	2	5	13	4	6	2	1	0	0	0	0	1	22	0	1	7	0	4	12	2	0	11	3	8	0	3	0					
		0.82%	0.72%	0.56%	0.75%	1.37%	0.76%	1.59%	0.47%	0.25%	0.00%	0.00%	0.00%	0.00%	0.67%	2.68%	0.00%	0.28%	0.89%	0.00%	0.46%	1.24%	0.31%	0.00%	1.61%	1.44%	1.05%	0.00%	1.06%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
