Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Баксанская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28980	2161	2145	2467	2531	1347	1891	1498	1543	2497	2445	1686	1804	1259	1335	1151	1220									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28880	2151	2141	2467	2532	1345	1885	1496	1541	2472	2442	1682	1796	1251	1327	1146	1206									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26066	2052	2019	2217	2377	1297	1672	1193	1376	2028	2333	1378	1577	1129	1175	1099	1144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	39	2	3	3	4	2	3	3	1	4	2	2	3	2	1	1	3									
6	Число погашенных избирательных бюллетеней	2775	97	119	247	151	46	210	300	164	440	107	302	216	120	151	46	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	39	2	3	3	4	2	3	3	1	4	2	2	3	2	1	1	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26066	2052	2019	2217	2377	1297	1672	1193	1376	2028	2333	1378	1577	1129	1175	1099	1144									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	26105	2054	2022	2220	2381	1299	1675	1196	1377	2032	2335	1380	1580	1131	1176	1100	1147									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	95	8	8	7	7	5	5	5	5	7	7	5	5	5	5	5	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	45	3	3	4	3	2	2	2	2	7	3	2	2	2	3	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	2	4	3	2	1	2	3	2	4	2	2	2	2	2	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	50	5	5	3	4	3	3	3	3	0	4	3	3	3	2	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	2	3	5	1	3	7	1	1	7	2	7	2	3	5	4	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	19	1	1	1	3	1	1	1	0	0	2	3	1	1	1	1	1									
		0.07%	0.05%	0.05%	0.05%	0.13%	0.08%	0.06%	0.08%	0.00%	0.00%	0.09%	0.22%	0.06%	0.09%	0.09%	0.09%	0.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	9	2	1	0	1	0	0	0	0	2	0	0	1	0	1	0	1									
		0.03%	0.10%	0.05%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.06%	0.00%	0.09%	0.00%	0.09%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	15	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	2									
		0.06%	0.05%	0.05%	0.05%	0.04%	0.08%	0.06%	0.00%	0.07%	0.05%	0.04%	0.07%	0.06%	0.09%	0.00%	0.09%	0.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20192	1348	1641	1686	1912	998	1428	1031	1141	1528	1811	1042	1193	891	887	754	901									
