Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Емельяновская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151					
1	"Число избирателей, внесенных в список"	28733	1910	1120	2146	850	1188	572	139	346	332	338	824	726	465	1001	292	60	1067	1317	117	342	407	200	1068	540	398	530	1843	577	466	800	261	121	177	140	102	240	328	194	1022	131	148	162	117	620	170	95	124	65	551	410	280	131	35	1007	121					
2	Число полученных избирательных бюллетеней	29001	1861	1084	2101	855	1236	572	135	333	323	330	792	784	484	1101	264	53	1077	1323	126	332	402	212	1064	550	397	530	1866	590	460	792	264	125	180	142	100	244	334	196	1027	132	151	166	121	642	168	88	122	64	633	429	333	148	39	1002	122					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14058	846	542	937	432	700	301	83	143	202	155	469	294	181	407	157	41	535	550	67	197	175	121	416	308	132	261	833	321	205	389	130	80	90	69	70	144	167	92	500	69	73	90	67	296	105	74	96	36	340	206	189	86	23	502	64					
5	"Число избирательных бюллетеней, выданных вне помещения"	1085	35	26	23	34	41	10	0	3	5	29	0	44	18	64	5	0	36	13	0	0	37	19	10	3	20	0	36	23	35	26	37	0	13	7	0	8	11	0	80	8	12	5	4	19	14	0	16	11	83	21	15	0	0	110	16					
6	Число погашенных избирательных бюллетеней	13858	980	516	1141	389	495	261	52	187	116	146	323	446	285	630	102	12	506	760	59	135	190	72	638	239	245	269	997	246	220	377	97	45	77	66	30	92	156	104	447	55	66	71	50	327	49	14	10	17	210	202	129	62	16	390	42					
7	Число избирательных бюллетеней в переносных ящиках	1085	35	26	23	34	41	10	0	3	5	29	0	44	18	64	5	0	36	13	0	0	37	19	10	3	20	0	36	23	35	26	37	0	13	7	0	8	11	0	80	8	12	5	4	19	14	0	16	11	83	21	15	0	0	110	16					
8	Число бюллетеней в стационарных ящиках для голосования	14058	846	542	937	432	700	301	83	143	202	155	469	294	181	407	157	41	535	550	67	197	175	121	416	308	132	261	833	321	205	389	130	80	90	69	70	144	167	92	500	69	73	90	67	296	105	74	96	36	340	206	189	86	23	502	64					
9	Число недействительных избирательных бюллетеней	153	4	5	3	6	7	2	0	3	2	7	2	4	3	8	2	2	2	7	1	1	4	0	7	1	4	6	10	4	3	4	1	0	1	0	0	3	2	5	11	1	2	0	0	0	0	0	1	1	4	0	0	1	0	5	1					
10	Число действительных избирательных бюллетеней	14990	877	563	957	460	734	309	83	143	205	177	467	334	196	463	160	39	569	556	66	196	208	140	419	310	148	255	859	340	237	411	166	80	102	76	70	149	176	87	569	76	83	95	71	315	119	74	111	46	419	227	204	85	23	607	79					
11	Число полученных открепительных  удостоверений	450	25	15	25	15	12	8	5	5	5	3	12	12	8	15	7	3	15	20	4	5	8	5	15	7	6	8	20	7	7	15	5	3	5	5	3	5	7	5	15	3	5	5	3	10	5	3	3	3	10	5	5	3	2	12	3					
12	Число выданных открепительных удостоверений	62	3	3	8	1	2	0	0	0	0	0	1	3	2	1	0	2	3	4	0	0	3	5	1	0	0	0	1	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	2	2	0	0	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	138	4	2	2	1	4	0	1	4	0	1	29	10	3	2	6	2	2	5	3	0	2	1	1	4	2	3	2	3	0	1	0	3	1	0	0	0	0	0	2	1	3	0	0	3	3	5	1	2	5	4	1	0	0	4	0					
14	Число неиспользованных открепительных удостоверений	388	22	12	17	14	10	8	5	5	5	3	11	9	6	14	7	1	12	16	4	5	5	0	14	7	6	8	19	7	7	12	4	3	4	5	3	5	7	5	14	3	5	5	3	7	5	3	3	3	8	3	3	3	2	9	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	2592	141	109	158	103	123	81	10	22	25	36	97	54	45	76	13	10	81	120	10	48	19	7	110	37	25	70	188	53	77	61	14	10	19	4	8	23	29	15	127	9	21	7	4	47	7	12	8	6	58	31	15	4	1	95	9					
		17.12%	16.00%	19.19%	16.46%	22.10%	16.60%	26.05%	12.05%	15.07%	12.08%	19.57%	20.68%	15.98%	22.61%	16.14%	8.02%	24.39%	14.19%	21.31%	14.93%	24.37%	8.96%	5.00%	25.82%	11.90%	16.45%	26.82%	21.63%	15.41%	32.08%	14.70%	8.38%	12.50%	18.45%	5.26%	11.43%	15.13%	16.29%	16.30%	21.90%	11.69%	24.71%	7.37%	5.63%	14.92%	5.88%	16.22%	7.14%	12.77%	13.71%	13.66%	7.35%	4.65%	4.35%	15.52%	11.25%					
19	. Малышкин Олег Александрович	407	32	17	24	17	20	10	2	11	9	4	6	7	4	15	5	2	22	3	1	10	5	1	4	8	1	12	15	7	3	6	6	2	7	3	9	7	3	1	8	0	1	4	0	4	5	2	17	0	13	7	4	2	0	14	5					
		2.69%	3.63%	2.99%	2.50%	3.65%	2.70%	3.22%	2.41%	7.53%	4.35%	2.17%	1.28%	2.07%	2.01%	3.18%	3.09%	4.88%	3.85%	0.53%	1.49%	5.08%	2.36%	0.71%	0.94%	2.57%	0.66%	4.60%	1.73%	2.03%	1.25%	1.45%	3.59%	2.50%	6.80%	3.95%	12.86%	4.61%	1.69%	1.09%	1.38%	0.00%	1.18%	4.21%	0.00%	1.27%	4.20%	2.70%	15.18%	0.00%	3.07%	3.08%	1.96%	2.33%	0.00%	2.29%	6.25%					
20	. Миронов Сергей Михайлович	114	6	7	7	2	7	2	0	2	4	1	3	5	1	4	1	0	3	2	1	0	4	0	5	3	3	2	2	2	2	5	3	0	1	0	0	2	0	2	1	0	2	0	0	0	2	4	0	1	2	3	0	0	0	4	1					
		0.75%	0.68%	1.23%	0.73%	0.43%	0.94%	0.64%	0.00%	1.37%	1.93%	0.54%	0.64%	1.48%	0.50%	0.85%	0.62%	0.00%	0.53%	0.36%	1.49%	0.00%	1.89%	0.00%	1.17%	0.96%	1.97%	0.77%	0.23%	0.58%	0.83%	1.20%	1.80%	0.00%	0.97%	0.00%	0.00%	1.32%	0.00%	2.17%	0.17%	0.00%	2.35%	0.00%	0.00%	0.00%	1.68%	5.41%	0.00%	2.13%	0.47%	1.32%	0.00%	0.00%	0.00%	0.65%	1.25%					
21	. Путин Владимир Владимирович	9374	544	323	613	277	429	168	57	85	136	110	283	223	112	292	111	21	351	331	38	104	159	108	258	218	101	141	528	234	126	251	127	44	56	44	40	94	127	56	348	56	43	71	54	209	79	36	57	19	274	140	145	64	17	396	46					
