Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Томаринская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №187	УИК №188									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8757	1327	657	820	200	885	168	427	303	490	1678	1802									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8375	1300	650	800	200	800	125	400	275	450	1625	1750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	544	0	32	0	0	475	0	0	0	0	37	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3666	486	281	375	156	247	90	285	148	175	600	823									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	557	96	74	61	0	20	26	17	15	37	146	65									
6	Число погашенных избирательных бюллетеней	3608	718	263	364	44	58	9	98	112	238	842	862									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1101	96	106	61	0	495	26	17	15	37	183	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3666	486	281	375	156	247	90	285	148	175	600	823									
9	Число недействительных избирательных бюллетеней	107	4	2	9	1	23	0	0	0	11	18	39									
10	Число действительных избирательных бюллетеней	4660	578	385	427	155	719	116	302	163	201	765	849									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	15	10	15	5	15	10	10	10	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	45	11	3	2	3	1	0	3	4	2	10	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	4	2	0	3	2	2	0	0	0	4	7									
14	Число погашенных неиспользованных открепительных удостоверений	85	4	7	13	2	14	10	7	6	8	0	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	2	0	0	0	0	2	0	0	3	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	41	3	1	7	1	4	0	0	4	2	9	10									
		0.86%	0.52%	0.26%	1.61%	0.64%	0.54%	0.00%	0.00%	2.45%	0.94%	1.15%	1.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	134	16	14	7	4	12	4	4	5	5	33	30									
		2.81%	2.75%	3.62%	1.61%	2.56%	1.62%	3.45%	1.32%	3.07%	2.36%	4.21%	3.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	102	10	4	7	2	10	1	7	1	6	25	29									
		2.14%	1.72%	1.03%	1.61%	1.28%	1.35%	0.86%	2.32%	0.61%	2.83%	3.19%	3.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2594	374	218	289	120	335	77	215	124	87	389	366									
		54.42%	64.26%	56.33%	66.28%	76.92%	45.15%	66.38%	71.19%	76.07%	41.04%	49.68%	41.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	3	1	3	0	7	0	1	0	2	2	5									
		0.50%	0.52%	0.26%	0.69%	0.00%	0.94%	0.00%	0.33%	0.00%	0.94%	0.26%	0.56%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	0	3	0	1	1	0	0	0	1	1									
		0.17%	0.17%	0.00%	0.69%	0.00%	0.13%	0.86%	0.00%	0.00%	0.00%	0.13%	0.11%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	945	63	82	76	18	230	14	55	14	44	164	185									
		19.82%	10.82%	21.19%	17.43%	11.54%	30.99%	12.07%	18.21%	8.59%	20.75%	20.95%	20.83%									
