Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Антроповская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5901	1187	1006	680	398	305	128	178	229	144	115	261	929	137	204									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5730	1100	1000	680	400	300	130	170	220	150	100	250	900	130	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2268	571	398	284	86	139	52	91	99	56	55	89	210	63	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	431	31	40	21	65	8	7	14	16	11	8	27	117	17	49									
6	Число погашенных избирательных бюллетеней	3031	498	562	375	249	153	71	65	105	83	37	134	573	50	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	431	31	40	21	65	8	7	14	16	11	8	27	117	17	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2268	571	398	284	86	139	52	91	99	56	55	89	210	63	75									
9	Число недействительных избирательных бюллетеней	35	10	8	7	1	3	2	0	0	0	2	1	1	0	0									
10	Число действительных избирательных бюллетеней	2664	592	430	298	150	144	57	105	115	67	61	115	326	80	124									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	69	10	10	10	3	3	3	3	3	3	3	5	7	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	8	3	1	4	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	61	7	9	6	3	3	3	3	3	3	3	5	7	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
