Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Каа-Хемская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84					
1	"Число избирателей, внесенных в список"	7261	435	493	414	365	76	293	1526	1447	417	368	113	169	94	60	460	531					
2	Число полученных избирательных бюллетеней	7294	447	491	426	403	79	310	1418	1448	443	360	102	171	108	68	461	559					
3	"Число избирательных бюллетеней, выданных  досрочно"	138	38	0	9	0	0	2	0	0	0	37	0	19	0	0	24	9					
4	"Число избирательных бюллетеней, выданных в день голосования"	5291	363	405	349	313	64	237	888	835	370	285	93	135	91	56	380	427					
5	"Число избирательных бюллетеней, выданных вне помещения"	466	13	57	9	38	8	17	107	94	30	36	0	0	0	0	21	36					
6	Число погашенных избирательных бюллетеней	1399	33	29	59	52	7	54	423	519	43	2	9	17	17	12	36	87					
7	Число избирательных бюллетеней в переносных ящиках	604	51	57	18	38	8	19	107	94	30	73	0	19	0	0	45	45					
8	Число бюллетеней в стационарных ящиках для голосования	5291	363	405	349	313	64	237	888	835	370	285	93	135	91	56	380	427					
9	Число недействительных избирательных бюллетеней	41	3	3	5	0	0	4	5	7	5	2	0	0	0	0	3	4					
10	Число действительных избирательных бюллетеней	5854	411	459	362	351	72	252	990	922	395	356	93	154	91	56	422	468					
11	Число полученных открепительных  удостоверений	198	10	10	10	28	0	10	30	25	10	10	5	10	10	10	10	10					
12	Число выданных открепительных удостоверений	163	10	10	6	28	0	7	21	18	6	6	1	10	10	10	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	4	9	4	8	0	3	24	3	1	4	6	4	0	0	3	4					
14	Число неиспользованных открепительных удостоверений	35	0	0	4	0	0	3	9	7	4	4	4	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	73	0	2	4	0	1	1	21	23	5	2	1	6	0	0	4	3					
		1.24%	0.00%	0.43%	1.09%	0.00%	1.39%	0.39%	2.11%	2.48%	1.25%	0.56%	1.08%	3.90%	0.00%	0.00%	0.94%	0.64%					
19	. Малышкин Олег Александрович	50	2	1	4	2	1	0	16	9	1	4	0	2	0	0	5	3					
		0.85%	0.48%	0.22%	1.09%	0.57%	1.39%	0.00%	1.61%	0.97%	0.25%	1.12%	0.00%	1.30%	0.00%	0.00%	1.18%	0.64%					
20	. Миронов Сергей Михайлович	22	2	2	1	2	0	1	8	1	0	0	0	0	1	0	3	1					
		0.37%	0.48%	0.43%	0.27%	0.57%	0.00%	0.39%	0.80%	0.11%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.71%	0.21%					
21	. Путин Владимир Владимирович	5285	387	429	335	322	69	239	859	764	362	335	88	142	89	46	383	436					
		89.65%	93.48%	92.86%	91.28%	91.74%	95.83%	93.36%	86.33%	82.24%	90.50%	93.58%	94.62%	92.21%	97.80%	82.14%	90.12%	92.37%					
22	. Хакамада Ирина Муцуовна	83	5	5	4	5	1	2	16	29	3	1	2	0	1	0	5	4					
		1.41%	1.21%	1.08%	1.09%	1.42%	1.39%	0.78%	1.61%	3.12%	0.75%	0.28%	2.15%	0.00%	1.10%	0.00%	1.18%	0.85%					
23	. Харитонов Николай Михайлович	276	14	19	12	14	0	7	54	79	20	13	2	2	0	2	21	17					
		4.68%	3.38%	4.11%	3.27%	3.99%	0.00%	2.73%	5.43%	8.50%	5.00%	3.63%	2.15%	1.30%	0.00%	3.57%	4.94%	3.60%					
																							
24	Против всех	65	1	1	2	6	0	2	16	17	4	1	0	2	0	8	1	4					
		1.10%	0.24%	0.22%	0.54%	1.71%	0.00%	0.78%	1.61%	1.83%	1.00%	0.28%	0.00%	1.30%	0.00%	14.29%	0.24%	0.85%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
