Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
"Наименование Избирательной комиссии:    Киров, Нововятская"																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в списки избирателей"	38678	1580	1858	1902	2145	1826	2638	2184	2492	2341	1882	2442	2037	2472	2412	2049	1975	1910	2190	343					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37572	1200	1700	2000	2000	1900	2500	2200	2500	2200	1900	2400	2000	2500	2300	2000	2000	1900	2000	372					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24169	811	1513	1216	1365	1087	1615	1490	1565	1475	955	1362	1156	1555	1522	1394	1281	1242	1341	224					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1484	184	103	27	71	63	34	94	27	109	95	137	68	70	115	33	67	31	37	119					
6	Число погашенных избирательных бюллетеней	11919	205	84	757	564	750	851	616	908	616	850	901	776	875	663	573	652	627	622	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1484	184	103	27	71	63	34	94	27	109	95	137	68	70	115	33	67	31	37	119					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24155	811	1512	1215	1363	1087	1615	1490	1564	1475	955	1359	1156	1555	1517	1393	1281	1242	1341	224					
9	Число недействительных избирательных бюллетеней	310	10	16	24	20	11	21	20	15	23	14	19	12	11	30	10	19	17	11	7					
10	Число действительных избирательных бюллетеней	25329	985	1599	1218	1414	1139	1628	1564	1576	1561	1036	1477	1212	1614	1602	1416	1329	1256	1367	336					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	767	26	55	43	48	57	49	53	39	28	36	40	33	37	54	42	53	36	38	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	765	26	55	43	48	57	49	53	39	27	36	40	32	37	54	42	53	36	38	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	713	72	140	17	25	13	33	17	22	22	23	23	13	24	22	24	25	17	28	153					
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	1	1	6	5	4	7	4	7	4	2	4	1	8	2	5	5	5	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	1223	47	47	56	59	62	79	65	93	83	43	60	65	79	74	75	74	62	86	14					
		4.77%	4.72%	2.91%	4.51%	4.11%	5.39%	4.79%	4.10%	5.85%	5.24%	4.10%	4.01%	5.31%	4.86%	4.53%	5.26%	5.49%	4.87%	6.24%	4.08%					
19	2.Всероссийская политическая партия «Гражданская Сила»	315	8	19	17	16	10	20	17	25	26	13	13	9	18	22	22	22	19	15	4					
		1.23%	0.80%	1.18%	1.37%	1.12%	0.87%	1.21%	1.07%	1.57%	1.64%	1.24%	0.87%	0.74%	1.11%	1.35%	1.54%	1.63%	1.49%	1.09%	1.17%					
20	3.Политическая партия «Демократическая партия России»	32	0	2	0	4	2	2	2	2	1	2	2	0	2	3	0	2	1	4	1					
		0.12%	0.00%	0.12%	0.00%	0.28%	0.17%	0.12%	0.13%	0.13%	0.06%	0.19%	0.13%	0.00%	0.12%	0.18%	0.00%	0.15%	0.08%	0.29%	0.29%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3281	84	124	250	221	152	234	281	197	263	124	202	142	208	154	180	141	148	141	35					
		12.80%	8.44%	7.68%	20.13%	15.41%	13.22%	14.19%	17.74%	12.38%	16.60%	11.81%	13.50%	11.60%	12.80%	9.44%	12.62%	10.46%	11.63%	10.23%	10.20%					
