Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
"Наименование Избирательной комиссии:    Кемерово, Рудничная"																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №116	УИК №231	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №366	УИК №367	УИК №1743									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56165	1663	1844	1932	2137	1281	2303	1978	2461	2211	1959	2201	1933	1965	2161	2402	1949	2233	1828	2045	1892	2103	2262	2439	2258	2134	2012	2579									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56300	1700	1900	1900	2000	1300	2300	2000	2500	2200	2000	2200	2000	1900	2200	2400	2000	2100	1900	2100	1900	2000	2300	2500	2300	2100	2000	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39745	1351	1419	1322	1663	944	1513	1422	1639	1409	1301	1368	1487	1332	1622	1709	1371	1526	1316	1480	1296	1472	1577	1640	1481	1629	1540	1916									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2611	29	78	180	107	91	79	84	162	141	121	118	46	121	42	35	69	189	60	60	134	175	179	28	81	45	30	127									
6	Число погашенных избирательных бюллетеней	13944	320	403	398	230	265	708	494	699	650	578	714	467	447	536	656	560	385	524	560	470	353	544	832	738	426	430	557									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2611	29	78	180	107	91	79	84	162	141	121	118	46	121	42	35	69	189	60	60	134	175	179	28	81	45	30	127									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39713	1348	1419	1322	1663	943	1508	1422	1638	1409	1299	1367	1484	1332	1622	1704	1371	1526	1316	1480	1296	1472	1576	1638	1480	1627	1540	1911									
9	Число недействительных избирательных бюллетеней	172	20	4	6	4	1	5	8	10	3	4	9	5	4	4	15	2	17	9	8	6	4	3	4	4	2	6	5									
10	Число действительных избирательных бюллетеней	42152	1357	1493	1496	1766	1033	1582	1498	1790	1547	1416	1476	1525	1449	1660	1724	1438	1698	1367	1532	1424	1643	1752	1662	1557	1670	1564	2033									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1570	80	80	40	40	40	90	80	40	50	40	40	90	20	80	60	60	50	60	60	40	50	40	80	80	50	50	80									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1450	80	80	40	40	29	83	60	40	50	40	35	90	20	73	52	60	50	60	52	26	39	40	78	53	50	50	80									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	143	15	9	5	0	3	6	3	7	7	5	4	11	8	1	6	0	13	0	1	0	0	10	8	7	6	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	120	0	0	0	0	11	7	20	0	0	0	5	0	0	7	8	0	0	0	8	14	11	0	2	27	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	1	2	1	0	0	4	1	0	0	1	0	2	1	1	1	1	1	1	1	0	0	0	6	1	3	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	85	1	3	1	4	1	5	3	3	1	12	5	1	1	3	2	1	3	8	2	10	1	2	1	3	2	3	3									
		0.20%	0.07%	0.20%	0.07%	0.23%	0.10%	0.32%	0.20%	0.17%	0.06%	0.85%	0.34%	0.07%	0.07%	0.18%	0.12%	0.07%	0.17%	0.58%	0.13%	0.70%	0.06%	0.11%	0.06%	0.19%	0.12%	0.19%	0.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	179	4	7	7	5	10	7	7	7	8	8	13	5	9	12	5	4	10	6	6	11	2	5	1	6	4	2	8									
		0.42%	0.29%	0.47%	0.47%	0.28%	0.97%	0.44%	0.46%	0.39%	0.52%	0.56%	0.88%	0.33%	0.62%	0.72%	0.29%	0.28%	0.58%	0.44%	0.39%	0.77%	0.12%	0.28%	0.06%	0.38%	0.24%	0.13%	0.39%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	83	1	1	2	5	2	2	3	5	4	1	7	1	2	1	4	2	2	8	3	4	6	5	2	2	2	3	3									
		0.20%	0.07%	0.07%	0.13%	0.28%	0.19%	0.13%	0.20%	0.28%	0.26%	0.07%	0.47%	0.07%	0.14%	0.06%	0.23%	0.14%	0.12%	0.58%	0.19%	0.28%	0.36%	0.28%	0.12%	0.13%	0.12%	0.19%	0.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31786	1010	1136	1118	1320	807	1185	1105	1327	1172	1035	1111	1441	1090	1220	1263	1067	1240	1005	1150	1030	1263	1338	1175	1165	1268	1189	1556									
		75.10%	73.35%	75.89%	74.43%	74.58%	78.05%	74.67%	73.37%	73.72%	75.61%	72.89%	74.81%	94.18%	75.02%	73.32%	72.63%	74.10%	72.30%	73.04%	74.68%	72.03%	76.68%	76.24%	70.53%	74.63%	75.84%	75.73%	76.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	69	2	3	2	3	2	4	2	2	1	2	6	2	1	1	3	2	5	2	1	5	2	3	1	3	2	4	3									
		0.16%	0.15%	0.20%	0.13%	0.17%	0.19%	0.25%	0.13%	0.11%	0.06%	0.14%	0.40%	0.13%	0.07%	0.06%	0.17%	0.14%	0.29%	0.15%	0.06%	0.35%	0.12%	0.17%	0.06%	0.19%	0.12%	0.25%	0.15%									
24	"6. Политическая партия ""Гражданская Платформа"""	64	1	1	2	2	2	3	3	4	2	1	7	2	2	1	3	2	0	3	3	0	3	3	2	2	4	3	3									
		0.15%	0.07%	0.07%	0.13%	0.11%	0.19%	0.19%	0.20%	0.22%	0.13%	0.07%	0.47%	0.13%	0.14%	0.06%	0.17%	0.14%	0.00%	0.22%	0.19%	0.00%	0.18%	0.17%	0.12%	0.13%	0.24%	0.19%	0.15%									
