Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Чаа-Хольская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №167	УИК №168	УИК №169	УИК №170					
1	"Число избирателей, внесенных в списки избирателей"	3681	2064	611	203	803					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3605	2100	550	205	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	41	28	0	13	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3200	1796	530	178	696					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	95	41	12	4	38					
6	Число погашенных избирательных бюллетеней	269	235	8	10	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	136	69	12	17	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3127	1723	530	178	696					
9	Число недействительных избирательных бюллетеней	91	50	23	5	13					
10	Число действительных избирательных бюллетеней	3172	1742	519	190	721					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	36	20	6	6	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	25	20	1	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	15	7	1	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	11	0	5	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	2	1	3	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	6	5	0	0	1					
		0.18%	0.28%	0.00%	0.00%	0.14%					
19	2.Всероссийская политическая партия «Гражданская Сила»	7	4	1	0	2					
		0.21%	0.22%	0.18%	0.00%	0.27%					
20	3.Политическая партия «Демократическая партия России»	3	2	1	0	0					
		0.09%	0.11%	0.18%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	114	66	17	5	26					
		3.49%	3.68%	3.14%	2.56%	3.54%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3	1	2	0	0					
		0.09%	0.06%	0.37%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	6	1	5	0	0					
		0.18%	0.06%	0.92%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	20	15	4	0	1					
		0.61%	0.84%	0.74%	0.00%	0.14%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	29	26	0	2	1					
		0.89%	1.45%	0.00%	1.03%	0.14%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	26	14	9	0	3					
		0.80%	0.78%	1.66%	0.00%	0.41%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2953	1606	480	182	685					
		90.50%	89.62%	88.56%	93.33%	93.32%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5	2	0	1	2					
		0.15%	0.11%	0.00%	0.51%	0.27%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
