Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Йошкар-Олинская городская № 2																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	103825	1873	1757	1499	1836	1935	1314	1511	1218	896	2138	2406	1534	1583	1876	1543	1516	1886	2357	1544	2215	2427	1785	1766	1816	2163	2152	1837	2119	1926	1712	2732	2596	2260	2485	2217	2396	1934	1603	1820	1982	1703	2044	1750	1858	2567	1712	2193	1538	2644	2695	1927	871	2054	778	412	121	227	159	236	171									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84078	928	933	761	836	1850	1250	772	549	388	1036	2350	1500	737	1850	664	692	1850	2300	785	1024	1210	893	801	1750	2100	2100	857	2000	1900	1650	2650	2500	2250	2400	2150	2350	1900	1550	1750	1950	1650	2000	1700	1800	1182	1650	2200	1500	1130	2550	1900	800	2000	700	350	200	300	250	250	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	47914	909	919	745	816	923	627	758	538	381	1010	1184	600	730	811	662	673	889	1164	779	1010	1195	884	784	923	1003	1097	848	997	727	686	1253	1238	1015	1245	1066	1185	886	802	845	946	694	830	768	902	1158	793	956	743	1116	1009	971	275	706	249	217	114	156	121	225	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	793	19	14	16	20	15	14	14	11	7	26	26	6	7	14	2	19	16	12	6	14	15	9	17	13	15	18	9	8	8	22	10	2	16	14	4	6	20	8	12	6	6	9	32	9	24	9	8	2	14	14	5	3	8	7	1	7	68	33	11	13									
6	Число погашенных избирательных бюллетеней	35371	0	0	0	0	912	609	0	0	0	0	1140	894	0	1025	0	0	945	1124	0	0	0	0	0	814	1082	985	0	995	1165	942	1387	1260	1219	1141	1080	1159	994	740	893	998	950	1161	900	889	0	848	1236	755	0	1527	924	522	1286	444	132	79	76	96	14	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	791	19	14	16	20	15	14	14	11	7	25	26	6	7	14	2	19	16	12	5	14	15	9	17	13	15	18	9	8	8	22	10	2	16	14	4	6	20	8	12	6	6	9	32	9	24	9	8	2	14	14	5	3	8	7	1	7	68	33	11	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	47826	906	918	745	814	923	627	758	538	380	1008	1184	600	726	811	662	673	889	1161	778	996	1188	877	783	923	1003	1096	847	997	727	686	1251	1238	1015	1231	1066	1185	886	802	845	946	694	830	768	899	1144	793	956	743	1111	1008	971	275	705	249	217	114	156	121	225	158									
9	Число недействительных избирательных бюллетеней	702	25	3	5	8	16	6	8	10	10	3	15	12	18	12	8	5	15	14	8	12	13	9	14	13	16	13	1	7	14	14	12	13	11	13	21	21	18	16	12	18	12	18	17	14	22	5	14	15	23	12	16	3	13	5	3	2	5	3	11	7									
10	Число действительных избирательных бюллетеней	47915	900	929	756	826	922	635	764	539	377	1030	1195	594	715	813	656	687	890	1159	775	998	1190	877	786	923	1002	1101	855	998	721	694	1249	1227	1020	1232	1049	1170	888	794	845	934	688	821	783	894	1146	797	950	730	1102	1010	960	275	700	251	215	119	219	151	225	164									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1974	30	45	25	30	30	26	30	25	20	51	65	35	50	35	25	25	50	40	33	35	40	30	30	37	40	40	30	35	35	30	56	40	50	55	35	40	35	30	30	35	30	35	30	45	55	30	45	30	61	40	35	15	35	15	15	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1632	25	31	18	21	18	25	24	21	12	47	55	27	48	32	19	22	35	32	32	29	32	22	30	36	38	37	25	35	33	18	56	39	45	43	33	37	31	10	21	33	15	34	23	36	43	25	39	22	57	36	29	9	17	9	11	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1780	26	29	59	41	40	27	81	18	43	27	47	14	23	23	27	26	26	50	46	32	29	20	14	26	10	29	11	21	15	15	19	26	10	28	60	46	27	38	28	19	23	12	26	13	25	19	3	12	27	34	20	19	23	10	15	22	112	55	72	42									
14	Число погашенных неиспользованных открепительных удостоверений	342	5	14	7	9	12	1	6	4	8	4	10	8	2	3	6	3	15	8	1	6	8	8	0	1	2	3	5	0	2	12	0	1	5	12	2	3	4	20	9	2	15	1	7	9	12	5	6	8	4	4	6	6	18	6	4	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	129	2	0	2	3	4	1	1	1	3	1	5	2	0	6	1	1	1	2	4	3	4	2	4	1	4	4	1	3	2	1	2	2	3	4	2	7	2	3	0	1	2	3	2	1	1	1	7	0	3	4	4	1	2	3	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
