Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Томск, Кировская"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №736									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84112	981	1314	1507	1118	2170	2118	1467	1366	1509	1400	1942	1712	1680	1193	1485	1520	1668	1264	1970	715	1246	1766	600	359	1621	1469	1913	315	2204	2336	2173	2094	330	1764	2123	981	2204	1934	1535	1570	693	1257	1751	1172	1416	1249	1325	929	1171	2288	1227	1154	2105	1343	1773	1273	1350									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63326	217	1200	1200	277	2000	2000	1200	1300	1450	422	1800	1450	1100	600	1450	552	503	335	750	650	368	1650	550	350	1450	1400	1800	300	2000	2000	1950	1950	350	1600	1950	327	2000	1800	1450	1450	650	466	1600	354	578	485	422	650	1000	2000	1150	1150	1950	323	1600	497	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25135	217	447	567	277	632	779	435	379	384	420	559	440	285	225	406	549	499	335	402	148	360	594	128	99	444	288	512	54	765	549	566	501	199	522	776	315	836	638	545	534	222	458	605	345	569	462	406	272	442	707	375	419	689	323	418	407	406									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	857	0	8	4	0	12	9	90	6	3	2	11	82	1	8	29	3	4	0	1	3	8	8	7	3	55	37	21	3	24	17	7	14	0	2	10	12	10	5	11	7	5	8	1	9	9	23	16	10	25	43	26	29	7	0	19	90	0									
6	Число погашенных избирательных бюллетеней	37334	0	745	629	0	1356	1212	675	915	1063	0	1230	928	814	367	1015	0	0	0	347	499	0	1048	415	248	951	1075	1267	243	1211	1434	1377	1435	151	1076	1164	0	1154	1157	894	909	423	0	994	0	0	0	0	368	533	1250	749	702	1254	0	1163	0	894									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	857	0	8	4	0	12	9	90	6	3	2	11	82	1	8	29	3	4	0	1	3	8	8	7	3	55	37	21	3	24	17	7	14	0	2	10	12	10	5	11	7	5	8	1	9	9	23	16	10	25	43	26	29	7	0	19	90	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25098	217	447	567	276	632	779	435	378	384	418	559	440	285	225	406	545	497	333	402	148	360	594	128	99	444	288	512	54	765	549	566	501	199	522	776	314	836	638	543	530	222	456	605	345	562	458	405	272	442	706	375	419	689	322	418	405	406									
9	Число недействительных избирательных бюллетеней	737	6	13	15	5	16	21	11	5	10	5	19	9	12	10	11	11	5	7	11	5	3	18	9	4	14	20	14	0	28	16	28	16	5	17	24	5	36	28	13	22	3	6	16	2	10	16	5	11	16	18	20	15	18	18	17	12	7									
10	Число действительных избирательных бюллетеней	25218	211	442	556	271	628	767	514	379	377	415	551	513	274	223	424	537	496	326	392	146	365	584	126	98	485	305	519	57	761	550	545	499	194	507	762	321	810	615	541	515	224	458	590	352	561	465	416	271	451	731	381	433	678	304	420	483	399									
