Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Шаранская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3366	УИК №3367	УИК №3368	УИК №3369	УИК №3370	УИК №3371	УИК №3372	УИК №3373	УИК №3374	УИК №3375	УИК №3376	УИК №3377	УИК №3378	УИК №3379	УИК №3380	УИК №3381	УИК №3382	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3479									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17187	356	276	176	352	143	512	498	469	235	389	266	190	308	714	175	87	532	298	377	137	336	173	176	529	72	173	571	95	361	299	291	196	134	271	408	236	665	405	1072	1226	1058	811	584	144	411									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17611	361	283	180	358	144	523	505	484	240	406	271	206	310	723	177	88	539	300	382	143	338	175	178	533	73	177	575	96	371	302	293	203	135	275	416	238	706	412	1154	1260	1076	833	601	146	422									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14946	325	235	146	295	123	442	433	398	179	325	248	170	276	647	154	78	436	246	326	109	301	153	163	490	64	158	477	88	313	250	268	164	126	254	327	193	570	353	874	1092	943	710	529	119	376									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	905	10	16	13	22	9	25	20	24	14	31	10	10	8	28	12	5	46	30	27	25	15	17	11	13	5	10	40	3	15	25	15	19	6	5	43	26	75	15	63	9	29	11	39	11	0									
6	Число погашенных избирательных бюллетеней	1760	26	32	21	41	12	56	52	62	47	50	13	26	26	48	11	5	57	24	29	9	22	5	4	30	4	9	58	5	43	27	10	20	3	16	46	19	61	44	217	159	104	112	33	16	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	905	10	16	13	22	9	25	20	24	14	31	10	10	8	28	12	5	46	30	27	25	15	17	11	13	5	10	40	3	15	25	15	19	6	5	43	26	75	15	63	9	29	11	39	11	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14883	325	235	146	295	123	442	433	398	179	325	248	170	276	647	154	78	436	246	326	109	301	153	163	490	64	158	477	88	313	250	268	164	126	254	327	193	570	353	811	1092	943	710	529	119	376									
9	Число недействительных избирательных бюллетеней	85	0	0	0	0	0	0	8	5	0	2	0	1	0	0	0	0	0	3	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	45	0	7	0	0	0									
10	Число действительных избирательных бюллетеней	15703	335	251	159	317	132	467	445	417	193	354	258	179	284	675	166	83	482	273	345	134	316	170	172	503	69	168	517	91	328	275	283	183	132	259	369	218	645	368	872	1056	972	714	568	130	376									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	401	5	5	3	5	2	5	5	10	5	20	10	10	5	10	4	2	10	7	2	5	5	2	5	5	5	10	5	5	10	5	6	5	2	2	10	5	25	10	45	50	10	20	17	2	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	330	1	5	0	1	0	5	5	10	5	20	10	10	5	5	0	1	8	3	0	5	5	0	5	2	0	2	5	0	10	5	0	5	0	2	10	0	25	10	45	50	10	18	17	0	5									
