Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Шпаковская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1257	УИК №1258	УИК №1259	УИК №1275	УИК №1276									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	71866	2852	2589	2424	2688	882	2736	2450	2439	2299	2587	2824	2743	2424	2371	2646	2800	2318	2291	1335	2158	2674	231	1257	130	345	1630	188	367	1930	2287	2399	2460	1445	1455	2825	2387									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56650	2200	2000	1900	2100	700	2100	2000	2000	1800	2000	2200	2200	2000	1900	2100	2200	1800	1800	1000	1600	2100	200	1000	100	300	1300	150	300	1500	1800	1900	2000	1200	1200	2200	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31493	1405	1122	1151	1219	205	1007	780	936	1667	1474	873	761	1213	935	870	1191	929	1013	513	837	1110	120	565	71	139	726	80	98	1158	755	695	1634	1038	924	1404	875									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2583	35	43	211	17	6	123	27	8	43	27	20	46	305	42	81	106	39	18	35	177	48	16	58	6	12	24	17	100	93	500	85	29	10	45	42	89									
6	Число погашенных избирательных бюллетеней	22574	760	835	538	864	489	970	1193	1056	90	499	1307	1393	482	923	1149	903	832	769	452	586	942	64	377	23	149	550	53	102	249	545	1120	337	152	231	754	836									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2583	35	43	211	17	6	123	27	8	43	27	20	46	305	42	81	106	39	18	35	177	48	16	58	6	12	24	17	100	93	500	85	29	10	45	42	89									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31472	1405	1122	1151	1219	202	1007	780	936	1667	1474	873	761	1213	935	870	1191	929	995	513	837	1110	120	565	71	139	726	80	98	1158	755	695	1634	1038	924	1404	875									
9	Число недействительных избирательных бюллетеней	717	15	0	44	21	5	39	21	29	14	31	28	23	19	74	24	30	23	37	4	24	45	7	26	1	40	19	6	0	6	12	0	5	31	5	0	9									
10	Число действительных избирательных бюллетеней	33338	1425	1165	1318	1215	203	1091	786	915	1696	1470	865	784	1499	903	927	1267	945	976	544	990	1113	129	597	76	111	731	91	198	1245	1243	780	1658	1017	964	1446	955									
