Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Зиминская городская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402					
1	"Число избирателей, внесенных в списки"	25310	1340	942	1238	1502	1377	1431	2700	1744	1205	1049	2177	2597	1324	1636	1250	1798					
2	"Число бюллетеней, полученных участковыми комиссиями"	22776	1215	846	1074	1355	1238	1295	2431	1570	1102	935	1981	2355	1193	1471	1100	1615					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10643	572	284	575	807	607	656	1145	727	456	438	755	1251	520	618	456	776					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	436	10	49	62	12	27	26	19	20	15	25	36	34	23	11	47	20					
6	Число погашенных бюллетеней	11697	633	513	437	536	604	613	1267	823	631	472	1190	1070	650	842	597	819					
7	Число бюллетеней в переносных ящиках для голосования	436	10	49	62	12	27	26	19	20	15	25	36	34	23	11	47	20					
8	Число бюллетеней в стационарных ящиках для голосования	10642	572	284	575	807	607	655	1145	727	456	438	755	1251	520	618	456	776					
9	Число недействительных бюллетеней	151	10	6	6	8	12	8	0	14	4	14	11	13	13	7	3	22					
10	Число действительных бюллетеней	10927	572	327	631	811	622	673	1164	733	467	449	780	1272	530	622	500	774					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	17	10	17	10	10	10	17	10	10	10	12	17	10	11	12	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	4	0	3	0	5	3	9	6	2	7	5	17	7	4	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	1	2	4	0	3	5	6	5	4	6	1	4	4	4	2	5					
14	Число погашенных открепительных удостоверений	124	13	10	14	10	5	7	8	4	8	3	7	0	3	7	11	14					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	175	11	7	12	7	6	9	21	5	9	7	11	22	8	13	12	15					
		1.57%	1.89%	2.10%	1.88%	0.85%	0.94%	1.32%	1.80%	0.66%	1.91%	1.51%	1.39%	1.71%	1.47%	2.06%	2.38%	1.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	84	5	1	4	4	7	6	10	3	2	3	6	11	7	3	5	7					
