Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
"Наименование Избирательной комиссии:    Рыбинск, Пролетарская"																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80936	2190	2027	2366	2181	2125	2207	2146	1901	1609	1627	1645	2300	2135	1951	1598	1308	1447	1410	722	1161	1497	1365	1381	917	618	2197	766	1640	1786	2279	2182	1463	1238	1878	1752	529	1718	1468	1174	1721	483	1465	1358	1566	1375	1670	2007	1689	172	121	1940	1465									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79510	2200	2100	2300	2200	2100	2200	2100	1900	1600	1600	1600	2300	2100	1900	1600	1300	1400	1400	700	1100	1500	1400	1400	900	500	2100	700	1600	1800	2200	2100	1400	1200	1800	1700	400	1700	1500	1100	1700	400	1400	1300	1600	1400	1700	2000	1700	180	130	1900	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28238	781	814	982	886	838	847	837	702	614	583	621	841	731	714	676	473	434	317	200	408	398	454	438	294	147	780	197	572	651	798	714	547	444	623	626	262	628	476	445	663	126	462	476	556	443	330	525	465	169	81	646	503									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	927	28	3	1	5	8	5	6	13	10	23	9	19	12	4	16	27	7	57	31	14	42	13	14	11	33	15	4	13	21	11	8	5	4	9	13	125	15	11	21	15	5	14	7	19	7	17	19	56	3	40	33	6									
6	Число погашенных избирательных бюллетеней	50345	1391	1283	1317	1309	1254	1348	1257	1185	976	994	970	1440	1357	1182	908	800	959	1026	469	678	1060	933	948	595	320	1305	499	1015	1128	1391	1378	848	752	1168	1061	13	1057	1013	634	1022	269	924	817	1025	950	1353	1456	1179	8	9	1221	891									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	927	28	3	1	5	8	5	6	13	10	23	9	19	12	4	16	27	7	57	31	14	42	13	14	11	33	15	4	13	21	11	8	5	4	9	13	125	15	11	21	15	5	14	7	19	7	17	19	56	3	40	33	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28222	779	814	982	886	838	847	834	701	614	582	621	841	731	713	676	473	434	316	200	408	398	452	438	294	147	779	197	572	651	797	714	547	444	623	626	262	628	476	445	663	125	462	476	554	443	330	525	465	169	81	646	503									
9	Число недействительных избирательных бюллетеней	449	14	13	16	14	17	16	10	7	4	8	6	9	3	12	10	5	9	8	4	6	8	7	6	5	0	9	7	8	13	12	19	12	8	12	10	21	11	6	3	7	1	4	5	11	7	8	6	9	5	0	8	10									
10	Число действительных избирательных бюллетеней	28700	793	804	967	877	829	836	830	707	620	597	624	851	740	705	682	495	432	365	227	416	432	458	446	300	180	785	194	577	659	796	703	540	440	620	629	366	632	481	463	671	129	472	478	562	443	339	538	512	167	121	671	499									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1300	35	35	35	35	35	35	35	35	25	25	25	35	35	35	25	20	20	20	10	20	25	20	20	15	10	35	10	25	35	35	35	20	20	35	35	5	30	20	15	35	5	20	20	25	20	30	35	30	0	0	35	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	515	24	13	22	10	14	13	18	16	13	12	12	18	14	15	16	10	5	14	4	15	10	6	6	7	3	19	3	9	13	8	16	9	12	10	14	1	14	6	6	6	1	8	4	9	4	6	10	5	0	0	7	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	367	14	7	14	1	4	4	11	6	7	8	7	6	11	3	9	5	9	5	5	5	1	3	2	6	9	4	4	9	5	2	8	6	1	10	2	25	3	5	5	2	4	7	8	4	7	5	2	1	21	47	6	2									
14	Число погашенных неиспользованных открепительных удостоверений	785	11	22	13	25	21	22	17	19	12	13	13	17	21	20	9	10	15	6	6	5	15	14	14	8	7	16	7	16	22	27	19	11	8	25	21	4	16	14	9	29	4	12	16	16	16	24	25	25	0	0	28	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1221	39	24	36	23	25	31	28	28	22	23	21	28	25	19	26	25	24	15	10	18	13	19	22	11	13	18	4	15	31	39	41	35	34	53	44	13	38	29	20	22	8	21	18	20	9	24	41	33	9	3	16	15									
