Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
Наименование Избирательной комиссии:    Зерноградская 																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №178	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №2569	УИК №2572					
1	"Число избирателей, внесенных в список избирателей"	50198	219	1621	1369	1948	1121	361	559	168	205	366	441	199	2038	152	254	329	826	1925	169	633	836	389	1434	347	131	871	339	244	176	231	162	193	154	1498	1189	248	361	525	509	772	258	326	445	2202	1031	2799	1017	1355	1347	1354	2216	1121	1856	309	1063	239	1584	1943	1373	150	698					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45690	220	1500	1200	1800	1000	330	500	150	180	350	400	200	1800	150	250	300	750	1800	150	550	800	350	1350	300	120	800	300	230	180	200	200	200	150	1500	1150	230	330	450	450	650	230	280	430	1900	900	2600	900	1200	1200	1200	1950	1050	1600	280	950	220	1500	1800	1300	130	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27267	140	825	657	994	552	169	243	86	111	133	176	90	994	79	127	189	339	995	92	313	498	173	739	158	86	510	190	164	129	132	142	126	112	852	864	186	256	240	223	479	165	160	208	1233	492	1297	528	693	741	655	1542	624	995	173	595	137	960	1299	809	88	310					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2693	22	64	79	59	36	48	63	17	22	34	47	43	138	8	32	48	66	118	4	68	88	42	41	22	2	68	27	33	10	29	20	11	19	134	126	23	58	9	24	27	12	21	10	81	46	118	53	52	62	49	31	57	40	19	17	41	12	10	1	9	123					
6	Число погашенных избирательных бюллетеней	15730	58	611	464	747	412	113	194	47	47	183	177	67	668	63	91	63	345	687	54	169	214	135	570	120	32	222	83	33	41	39	38	63	19	514	160	21	16	201	203	144	53	99	212	586	362	1185	319	455	397	496	377	369	565	88	338	42	528	491	490	33	117					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2693	22	64	79	59	36	48	63	17	22	34	47	43	138	8	32	48	66	118	4	68	88	42	41	22	2	68	27	33	10	29	20	11	19	134	126	23	58	9	24	27	12	21	10	81	46	118	53	52	62	49	31	57	40	19	17	41	12	10	1	9	123					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27256	140	824	657	994	552	169	243	86	111	133	176	90	993	79	127	189	338	995	92	313	498	173	739	158	86	510	190	164	129	132	142	126	112	852	860	186	256	240	223	479	165	160	208	1231	492	1297	528	693	741	655	1542	624	995	173	594	137	960	1298	809	88	310					
9	Число недействительных избирательных бюллетеней	367	3	8	5	12	7	3	0	0	2	1	2	3	12	1	4	1	3	23	4	3	5	3	11	3	1	8	1	3	0	0	3	3	1	17	0	3	6	4	5	5	0	3	3	33	8	15	7	7	15	8	23	4	18	4	0	0	6	20	7	1	6					
10	Число действительных избирательных бюллетеней	29582	159	880	731	1041	581	214	306	103	131	166	221	130	1119	86	155	236	401	1090	92	378	581	212	769	177	87	570	216	194	139	161	159	134	130	969	986	206	308	245	242	501	177	178	215	1279	530	1400	574	738	788	696	1550	677	1017	188	611	178	966	1288	803	96	427					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1417	30	25	15	25	15	10	7	4	4	6	6	26	55	5	15	20	30	50	5	25	35	10	30	5	9	20	10	20	25	16	20	25	25	60	80	5	10	8	5	20	10	10	10	40	25	30	15	10	25	25	120	25	40	15	20	5	65	50	40	7	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1154	28	16	13	16	6	6	6	4	4	6	6	23	54	5	14	17	12	44	1	22	35	0	27	4	6	17	10	20	25	16	20	22	19	57	80	5	8	8	5	14	5	10	7	25	19	23	13	10	22	21	61	22	31	14	14	2	65	37	33	7	12					
