Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №7																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	124840	2245	2108	1374	2024	2129	2677	2221	1076	2732	2432	2313	2545	2889	1426	1160	1960	2071	1912	2469	2475	1770	1701	1600	1678	2507	1423	2402	1916	2350	1325	1988	2628	2119	2399	2444	2097	2208	1945	2467	2594	2133	2186	2004	2282	1561	2469	2300	2349	1970	2471	2345	2089	2391	2826	2744	2193	1921	2305	502									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108500	2000	2000	1000	2000	2000	2500	2000	1000	2500	2000	2000	2000	2500	1000	1000	1500	2000	1500	2000	2000	1500	1500	1500	1500	2500	1000	2000	1500	2000	1000	1500	2500	2000	2000	2000	2000	2000	1500	2000	2500	2000	2000	2000	2000	1500	2000	2000	2000	1500	2000	2000	2000	2000	2500	2500	2000	1500	2000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39717	692	642	448	630	713	799	730	352	893	860	764	837	887	417	337	601	721	565	789	808	579	546	460	470	798	335	672	593	678	408	791	920	620	730	690	696	757	642	660	751	628	717	617	779	497	822	736	789	537	786	724	669	772	998	871	791	634	761	308									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	503	6	8	4	4	6	6	11	3	8	7	7	9	5	4	3	7	5	4	5	10	4	4	4	11	17	1	6	5	6	8	6	2	0	5	4	6	32	8	5	6	15	8	3	4	32	16	3	4	8	12	46	7	6	18	28	5	3	1	22									
6	Число погашенных избирательных бюллетеней	68280	1302	1350	548	1366	1281	1695	1259	645	1599	1133	1229	1154	1608	579	660	892	1274	931	1206	1182	917	950	1036	1019	1685	664	1322	902	1316	584	703	1578	1380	1265	1306	1298	1211	850	1335	1743	1357	1275	1380	1217	971	1162	1261	1207	955	1202	1230	1324	1222	1484	1601	1204	863	1238	170									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	503	6	8	4	4	6	6	11	3	8	7	7	9	5	4	3	7	5	4	5	10	4	4	4	11	17	1	6	5	6	8	6	2	0	5	4	6	32	8	5	6	15	8	3	4	32	16	3	4	8	12	46	7	6	18	28	5	3	1	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39509	692	639	448	630	711	799	730	350	885	860	764	833	887	417	337	601	719	565	789	808	573	541	460	469	798	335	672	593	678	408	785	917	617	725	682	696	752	642	644	736	627	709	614	775	497	781	736	788	536	786	724	667	766	994	835	785	634	760	308									
9	Число недействительных избирательных бюллетеней	821	13	30	12	20	22	10	13	8	20	29	18	32	12	5	7	11	18	22	21	13	14	14	11	16	16	8	14	5	14	10	16	10	10	10	9	21	10	17	13	24	13	12	10	13	6	13	48	10	6	8	1	12	5	19	16	8	5	6	12									
10	Число действительных избирательных бюллетеней	39191	685	617	440	614	695	795	728	345	873	838	753	810	880	416	333	597	706	547	773	805	563	531	453	464	799	328	664	593	670	406	775	909	607	720	677	681	774	633	636	718	629	705	607	766	523	784	691	782	538	790	769	662	767	993	847	782	632	755	318									
