Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Спасская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640	УИК №3641	УИК №3642	УИК №3643									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21684	545	554	79	537	152	476	783	361	744	478	431	544	125	203	449	327	109	357	332	154	127	210	264	321	599	831	781	408	175	937	1411	1443	641	476	160	578	1030	1089	185	1330	306	225	417									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19460	490	500	70	480	140	440	540	320	680	420	390	490	110	190	410	300	100	320	310	140	120	190	240	290	560	750	710	370	160	830	1280	1310	570	440	150	520	940	970	160	1210	270	200	380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8361	186	166	34	194	59	217	244	145	251	184	206	249	56	95	206	252	46	168	168	69	44	105	93	113	257	279	269	158	60	369	460	580	265	173	76	234	354	363	57	493	137	72	155									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	956	47	69	1	26	10	22	178	17	8	26	7	43	14	14	9	4	5	29	16	0	10	5	46	1	22	41	32	13	7	15	20	10	14	5	10	34	54	15	16	19	6	6	10									
6	Число погашенных избирательных бюллетеней	10143	257	265	35	260	71	201	118	158	421	210	177	198	40	81	195	44	49	123	126	71	66	80	101	176	281	430	409	199	93	446	800	720	291	262	64	252	532	592	87	698	127	122	215									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	956	47	69	1	26	10	22	178	17	8	26	7	43	14	14	9	4	5	29	16	0	10	5	46	1	22	41	32	13	7	15	20	10	14	5	10	34	54	15	16	19	6	6	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8359	186	166	34	194	59	217	244	145	251	184	206	249	56	95	206	252	46	168	168	69	44	105	93	113	257	279	269	158	60	369	460	580	263	173	76	234	354	363	57	493	137	72	155									
9	Число недействительных избирательных бюллетеней	478	6	9	0	4	4	15	28	14	19	6	14	8	3	3	8	3	0	0	11	4	3	0	10	7	13	21	16	6	6	25	28	38	11	18	6	11	28	23	5	24	9	5	6									
10	Число действительных избирательных бюллетеней	8837	227	226	35	216	65	224	394	148	240	204	199	284	67	106	207	253	51	197	173	65	51	110	129	107	266	299	285	165	61	359	452	552	266	160	80	257	380	355	68	488	134	73	159									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	860	22	22	3	22	6	20	24	14	30	19	17	22	6	8	18	6	4	14	14	6	5	8	11	13	25	33	31	16	7	37	57	58	28	20	7	23	42	43	7	54	12	9	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	223	4	2	0	3	0	17	4	2	10	2	8	22	6	5	18	0	0	5	11	1	5	1	9	5	4	6	2	5	0	8	6	5	3	5	7	1	13	4	1	7	1	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	157	3	5	3	4	2	2	8	4	4	4	3	3	4	1	3	9	4	5	1	1	3	2	3	3	0	8	6	3	3	6	4	2	8	0	1	4	4	7	1	3	9	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	637	18	20	3	19	6	3	20	12	20	17	9	0	0	3	0	6	4	9	3	5	0	7	2	8	21	27	29	11	7	29	51	53	25	15	0	22	29	39	6	47	11	9	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	1	0	0	0	1	0	0	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	112	3	4	1	1	1	2	3	4	1	1	5	2	0	0	0	5	0	2	1	1	1	2	1	0	2	3	4	2	0	5	9	3	2	3	3	2	7	4	0	13	1	4	4									
		1.20%	1.29%	1.70%	2.86%	0.45%	1.45%	0.84%	0.71%	2.47%	0.39%	0.48%	2.35%	0.68%	0.00%	0.00%	0.00%	1.95%	0.00%	1.02%	0.54%	1.45%	1.85%	1.82%	0.72%	0.00%	0.72%	0.94%	1.33%	1.17%	0.00%	1.30%	1.88%	0.51%	0.72%	1.69%	3.49%	0.75%	1.72%	1.06%	0.00%	2.54%	0.70%	5.13%	2.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	316	14	6	3	9	3	14	7	6	10	7	6	9	5	1	1	12	0	5	8	5	2	9	4	3	10	7	15	4	3	10	8	21	10	5	2	7	15	17	6	8	12	0	7									
		3.39%	6.01%	2.55%	8.57%	4.09%	4.35%	5.86%	1.66%	3.70%	3.86%	3.33%	2.82%	3.08%	7.14%	0.92%	0.47%	4.69%	0.00%	2.54%	4.35%	7.25%	3.70%	8.18%	2.88%	2.63%	3.58%	2.19%	4.98%	2.34%	4.48%	2.60%	1.67%	3.56%	3.61%	2.81%	2.33%	2.61%	3.68%	4.50%	8.22%	1.56%	8.39%	0.00%	4.24%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	497	18	20	2	10	0	23	10	14	14	8	4	17	21	13	6	2	1	10	8	2	1	8	15	4	12	15	29	11	1	20	13	29	13	5	2	6	33	28	4	21	10	6	8									
		5.34%	7.73%	8.51%	5.71%	4.55%	0.00%	9.62%	2.37%	8.64%	5.41%	3.81%	1.88%	5.82%	30.00%	11.93%	2.79%	0.78%	1.96%	5.08%	4.35%	2.90%	1.85%	7.27%	10.79%	3.51%	4.30%	4.69%	9.63%	6.43%	1.49%	5.21%	2.71%	4.92%	4.69%	2.81%	2.33%	2.24%	8.09%	7.41%	5.48%	4.10%	6.99%	7.69%	4.85%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3413	78	84	14	87	30	75	136	53	98	76	92	111	23	44	94	143	24	109	67	17	28	26	58	49	106	100	79	46	28	124	147	196	128	66	38	104	146	134	26	207	47	20	55									
		36.64%	33.48%	35.74%	40.00%	39.55%	43.48%	31.38%	32.23%	32.72%	37.84%	36.19%	43.19%	38.01%	32.86%	40.37%	43.72%	55.86%	47.06%	55.33%	36.41%	24.64%	51.85%	23.64%	41.73%	42.98%	37.99%	31.25%	26.25%	26.90%	41.79%	32.29%	30.63%	33.22%	46.21%	37.08%	44.19%	38.81%	35.78%	35.45%	35.62%	40.43%	32.87%	25.64%	33.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	59	1	1	0	3	1	1	7	1	2	1	4	1	0	0	1	3	0	1	0	0	1	1	0	0	0	1	2	0	1	3	4	4	0	0	0	0	3	5	0	2	1	2	1									
		0.63%	0.43%	0.43%	0.00%	1.36%	1.45%	0.42%	1.66%	0.62%	0.77%	0.48%	1.88%	0.34%	0.00%	0.00%	0.47%	1.17%	0.00%	0.51%	0.00%	0.00%	1.85%	0.91%	0.00%	0.00%	0.00%	0.31%	0.66%	0.00%	1.49%	0.78%	0.83%	0.68%	0.00%	0.00%	0.00%	0.00%	0.74%	1.32%	0.00%	0.39%	0.70%	2.56%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	0	0	0	0	0	2	2	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	4	2	0	1	0	0	2	3	1	0	0	0	0									
		0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.47%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.92%	0.00%	0.39%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.31%	0.00%	0.00%	0.00%	0.00%	0.83%	0.34%	0.00%	0.56%	0.00%	0.00%	0.49%	0.79%	1.37%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2327	61	72	3	61	8	46	153	38	72	55	41	67	13	30	66	56	20	38	28	24	9	25	26	28	60	66	74	46	13	99	140	124	73	58	19	68	85	89	20	142	34	22	55									
		24.98%	26.18%	30.64%	8.57%	27.73%	11.59%	19.25%	36.26%	23.46%	27.80%	26.19%	19.25%	22.95%	18.57%	27.52%	30.70%	21.88%	39.22%	19.29%	15.22%	34.78%	16.67%	22.73%	18.71%	24.56%	21.51%	20.63%	24.58%	26.90%	19.40%	25.78%	29.17%	21.02%	26.35%	32.58%	22.09%	25.37%	20.83%	23.54%	27.40%	27.73%	23.78%	28.21%	33.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	69	0	0	0	1	0	0	3	2	1	5	2	0	0	0	1	3	0	0	3	0	0	1	0	0	1	1	0	5	0	4	5	3	2	0	0	15	7	1	0	1	1	0	1									
