Выборы Президента Российской Федерации																																																																			
																																																																			
"Наименование Избирательной комиссии:    Самара, Советская"																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995					
1	"Число избирателей, внесенных в список"	138247	2237	2041	2646	2168	2508	2090	2265	2234	2155	2364	1842	2902	2434	2198	2544	2514	1689	2506	2610	2431	2997	2678	2059	1954	2441	2182	3060	2694	2359	2862	1991	2277	2704	2688	2692	2505	2808	2909	1260	2882	2870	1175	574	804	2744	2776	2911	2064	2301	2760	2619	2357	2642	2214	2197	2361	2419	2489	1257	333					
2	Число полученных избирательных бюллетеней	138986	2246	2066	2680	2216	2490	2157	2307	2220	2377	2345	1866	2841	2483	2205	2556	2465	1655	2500	2563	2425	2970	3055	2050	1950	2410	2190	3065	2851	2365	2870	2006	2252	2700	2670	2700	2500	2837	2870	1340	2833	2802	1165	626	814	2731	2763	2865	2050	2301	2771	2690	2353	2635	2215	2210	2360	2400	2505	1282	301					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	68572	1195	1047	1245	1036	1326	1062	1099	1137	1005	1063	794	1493	1127	1003	1292	1129	876	1206	1349	1243	1664	1335	1084	1038	1270	963	1486	1373	1230	1107	1140	1161	1227	1186	1353	1198	1467	1417	508	1067	1342	524	243	432	1429	1246	1222	1012	1231	1423	1400	1170	1368	1192	1189	1232	1240	1118	1257	301					
5	"Число избирательных бюллетеней, выданных вне помещения"	3907	69	80	99	36	54	45	59	49	55	72	68	25	69	58	49	66	33	43	81	91	29	91	66	37	66	64	117	65	77	126	41	31	97	38	96	87	99	77	112	76	13	79	45	24	63	60	96	78	95	100	74	64	54	76	79	69	63	82	0	0					
6	Число погашенных избирательных бюллетеней	66504	982	939	1336	1144	1110	1050	1149	1033	1317	1210	1004	1323	1287	1144	1215	1270	746	1251	1133	1091	1277	1629	900	875	1074	1163	1462	1413	1058	1637	825	1060	1376	1446	1251	1213	1271	1376	720	1690	1447	562	338	358	1239	1457	1547	960	975	1248	1216	1119	1213	947	942	1059	1097	1305	25	0					
7	Число избирательных бюллетеней в переносных ящиках	3907	69	80	99	36	54	45	59	49	55	72	68	25	69	58	49	66	33	43	81	91	29	91	66	37	66	64	117	65	77	126	41	31	97	38	96	87	99	77	112	76	13	79	45	24	63	60	96	78	95	100	74	64	54	76	79	69	63	82	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	68495	1195	1047	1245	1036	1272	1062	1089	1136	1005	1063	794	1493	1127	1003	1292	1129	876	1206	1349	1243	1664	1335	1082	1038	1270	960	1486	1372	1230	1107	1140	1161	1227	1186	1353	1196	1467	1417	508	1067	1342	524	243	432	1429	1246	1222	1012	1231	1421	1400	1168	1368	1192	1189	1232	1240	1118	1257	301					
9	Число недействительных избирательных бюллетеней	703	5	8	20	6	13	18	17	15	10	7	19	13	21	15	21	12	7	10	16	13	12	13	7	10	16	6	11	16	8	6	9	0	13	11	9	12	10	18	2	22	7	0	6	14	15	20	23	14	8	12	16	15	14	13	13	14	8	7	2	5					
10	Число действительных избирательных бюллетеней	71699	1259	1119	1324	1066	1313	1089	1131	1170	1050	1128	843	1505	1175	1046	1320	1183	902	1239	1414	1321	1681	1413	1141	1065	1320	1018	1592	1421	1299	1227	1172	1192	1311	1213	1440	1271	1556	1476	618	1121	1348	603	282	442	1477	1286	1295	1076	1318	1509	1458	1217	1408	1255	1255	1287	1295	1193	1255	296					
11	Число полученных открепительных  удостоверений	2320	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	39	41	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0					
12	Число выданных открепительных удостоверений	1279	28	22	18	19	18	25	19	17	25	15	15	25	21	22	30	17	26	19	25	24	24	36	23	18	20	17	31	40	29	15	30	14	22	14	22	26	21	34	21	25	23	2	1	31	21	19	26	15	16	27	19	18	27	20	29	22	18	33	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	945	6	7	11	17	22	13	16	8	53	12	9	17	6	9	21	22	28	10	14	17	16	18	19	13	13	7	13	18	12	11	14	9	25	5	15	21	11	13	11	14	11	10	5	20	12	21	14	20	10	10	20	10	15	14	15	11	20	20	82	9					
14	Число неиспользованных открепительных удостоверений	1041	12	18	22	21	22	15	21	23	15	25	25	15	19	18	10	23	14	21	15	16	16	4	17	22	20	23	9	0	11	25	10	26	18	26	17	15	19	6	19	15	17	38	39	9	19	21	14	25	24	13	21	22	13	20	11	18	22	7	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	3838	71	78	63	52	87	64	46	77	66	73	42	78	66	56	80	73	63	69	84	68	101	81	52	58	77	54	90	76	81	52	86	57	65	69	80	55	86	86	27	42	61	30	7	17	91	50	79	58	77	86	78	76	76	65	70	62	63	50	0	11					
		5.30%	5.62%	6.92%	4.69%	4.85%	6.56%	5.78%	4.01%	6.50%	6.23%	6.43%	4.87%	5.14%	5.52%	5.28%	5.97%	6.11%	6.93%	5.52%	5.87%	5.10%	5.97%	5.68%	4.53%	5.40%	5.76%	5.27%	5.61%	5.29%	6.20%	4.22%	7.28%	4.78%	4.91%	5.64%	5.52%	4.29%	5.49%	5.76%	4.35%	3.67%	4.50%	4.98%	2.43%	3.73%	6.10%	3.83%	5.99%	5.32%	5.81%	5.65%	5.29%	6.17%	5.34%	5.13%	5.52%	4.77%	4.83%	4.17%	0.00%	3.65%					
19	. Малышкин Олег Александрович	1528	26	20	22	20	27	26	11	19	24	15	33	41	30	21	36	29	18	24	26	30	40	43	23	10	28	21	32	39	31	27	26	20	26	35	22	14	32	25	14	28	33	17	8	21	18	44	34	27	25	34	37	32	22	27	25	24	33	27	0	6					
		2.11%	2.06%	1.77%	1.64%	1.87%	2.04%	2.35%	0.96%	1.60%	2.26%	1.32%	3.83%	2.70%	2.51%	1.98%	2.68%	2.43%	1.98%	1.92%	1.82%	2.25%	2.36%	3.02%	2.00%	0.93%	2.10%	2.05%	2.00%	2.71%	2.37%	2.19%	2.20%	1.68%	1.96%	2.86%	1.52%	1.09%	2.04%	1.67%	2.26%	2.45%	2.44%	2.82%	2.78%	4.61%	1.21%	3.37%	2.58%	2.48%	1.89%	2.24%	2.51%	2.60%	1.55%	2.13%	1.97%	1.84%	2.53%	2.25%	0.00%	1.99%					
20	. Миронов Сергей Михайлович	836	12	13	9	12	12	14	18	18	4	13	13	17	18	17	16	19	9	15	13	18	19	25	5	14	14	16	19	11	18	16	16	8	13	7	16	17	17	21	10	12	14	4	1	1	19	13	17	18	17	22	23	13	24	17	18	13	18	9	0	1					
		1.15%	0.95%	1.15%	0.67%	1.12%	0.90%	1.26%	1.57%	1.52%	0.38%	1.15%	1.51%	1.12%	1.51%	1.60%	1.19%	1.59%	0.99%	1.20%	0.91%	1.35%	1.12%	1.75%	0.44%	1.30%	1.05%	1.56%	1.19%	0.77%	1.38%	1.30%	1.35%	0.67%	0.98%	0.57%	1.10%	1.33%	1.09%	1.41%	1.61%	1.05%	1.03%	0.66%	0.35%	0.22%	1.27%	1.00%	1.29%	1.65%	1.28%	1.45%	1.56%	1.06%	1.69%	1.34%	1.42%	1.00%	1.38%	0.75%	0.00%	0.33%					
21	. Путин Владимир Владимирович	44101	729	659	832	670	724	662	713	694	645	718	507	904	704	634	815	723	593	709	867	793	1058	860	689	650	806	607	993	871	723	783	662	705	811	743	817	758	871	871	403	750	832	387	189	320	917	772	795	657	796	926	910	778	832	766	754	760	771	779	1239	195					
		60.91%	57.67%	58.47%	61.90%	62.50%	54.60%	59.80%	62.11%	58.57%	60.85%	63.26%	58.82%	59.55%	58.86%	59.75%	60.78%	60.50%	65.24%	56.77%	60.63%	59.45%	62.49%	60.31%	60.02%	60.47%	60.33%	59.28%	61.95%	60.61%	55.32%	63.50%	56.05%	59.14%	61.25%	60.70%	56.38%	59.08%	55.62%	58.30%	65.00%	65.62%	61.40%	64.18%	65.62%	70.18%	61.46%	59.11%	60.32%	60.28%	60.03%	60.88%	61.74%	63.15%	58.51%	60.41%	59.46%	58.42%	59.17%	64.92%	98.57%	64.78%					
22	. Хакамада Ирина Муцуовна	4064	75	44	80	47	83	69	62	70	69	66	42	138	81	63	68	53	72	80	84	85	101	73	75	62	104	75	96	81	69	63	117	74	65	66	87	52	98	74	41	41	59	17	15	17	72	74	79	54	81	74	103	60	85	62	55	64	75	58	2	13					
		5.61%	5.93%	3.90%	5.95%	4.38%	6.26%	6.23%	5.40%	5.91%	6.51%	5.81%	4.87%	9.09%	6.77%	5.94%	5.07%	4.44%	7.92%	6.41%	5.87%	6.37%	5.97%	5.12%	6.53%	5.77%	7.78%	7.32%	5.99%	5.64%	5.28%	5.11%	9.91%	6.21%	4.91%	5.39%	6.00%	4.05%	6.26%	4.95%	6.61%	3.59%	4.35%	2.82%	5.21%	3.73%	4.83%	5.67%	5.99%	4.95%	6.11%	4.87%	6.99%	4.87%	5.98%	4.89%	4.34%	4.92%	5.76%	4.83%	0.16%	4.32%					
23	. Харитонов Николай Михайлович	13806	290	254	257	213	317	200	233	238	190	179	171	215	217	196	257	238	95	269	259	259	253	252	231	222	229	197	288	265	315	242	188	256	271	228	337	330	365	315	100	203	294	120	55	51	282	265	219	205	273	288	253	212	302	253	269	300	258	220	8	45					
		19.07%	22.94%	22.54%	19.12%	19.87%	23.91%	18.07%	20.30%	20.08%	17.92%	15.77%	19.84%	14.16%	18.14%	18.47%	19.16%	19.92%	10.45%	21.54%	18.11%	19.42%	14.94%	17.67%	20.12%	20.65%	17.14%	19.24%	17.97%	18.44%	24.10%	19.63%	15.92%	21.48%	20.47%	18.63%	23.26%	25.72%	23.31%	21.08%	16.13%	17.76%	21.70%	19.90%	19.10%	11.18%	18.90%	20.29%	16.62%	18.81%	20.59%	18.93%	17.16%	17.21%	21.24%	19.95%	21.21%	23.06%	19.80%	18.33%	0.64%	14.95%					
																																																																			
24	Против всех	3526	56	51	61	52	63	54	48	54	52	64	35	112	59	59	48	48	52	73	81	68	109	79	66	49	62	48	74	78	62	44	77	72	60	65	81	45	87	84	23	45	55	28	7	15	78	68	72	57	49	79	54	46	67	65	64	64	77	50	6	25					
		4.87%	4.43%	4.53%	4.54%	4.85%	4.75%	4.88%	4.18%	4.56%	4.91%	5.64%	4.06%	7.38%	4.93%	5.56%	3.58%	4.02%	5.72%	5.84%	5.66%	5.10%	6.44%	5.54%	5.75%	4.56%	4.64%	4.69%	4.62%	5.43%	4.74%	3.57%	6.52%	6.04%	4.53%	5.31%	5.59%	3.51%	5.56%	5.62%	3.71%	3.94%	4.06%	4.64%	2.43%	3.29%	5.23%	5.21%	5.46%	5.23%	3.70%	5.19%	3.66%	3.73%	4.71%	5.13%	5.05%	4.92%	5.91%	4.17%	0.48%	8.31%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
