Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Нейская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12126	531	493	219	552	172	221	619	180	323	340	294	1104	1098	2491	2046	1443									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9800	450	400	200	450	150	200	500	150	250	300	250	900	900	2000	1550	1150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4065	244	247	80	171	95	113	244	86	82	123	102	360	347	749	695	327									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	450	34	23	47	84	10	12	32	17	62	7	12	22	11	14	42	21									
6	Число погашенных избирательных бюллетеней	5285	172	130	73	195	45	75	224	47	106	170	136	518	542	1237	813	802									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	450	34	23	47	84	10	12	32	17	62	7	12	22	11	14	42	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4065	244	247	80	171	95	113	244	86	82	123	102	360	347	749	695	327									
9	Число недействительных избирательных бюллетеней	76	4	1	2	9	5	2	5	0	1	1	5	11	2	7	17	4									
10	Число действительных избирательных бюллетеней	4439	274	269	125	246	100	123	271	103	143	129	109	371	356	756	720	344									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	272	15	15	8	15	8	8	15	8	8	8	9	31	31	31	31	31									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	74	15	7	2	0	0	0	8	0	0	0	1	10	9	8	8	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	1	2	0	0	1	1	1	0	0	3	2	0	3	7	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	198	0	8	6	15	8	8	7	8	8	8	8	21	22	23	23	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	1	0	0	0	0	4	0	4	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	99	10	3	3	0	0	1	8	2	3	2	3	8	13	20	17	6									
		2.19%	3.60%	1.11%	2.36%	0.00%	0.00%	0.80%	2.90%	1.94%	2.08%	1.54%	2.63%	2.09%	3.63%	2.62%	2.31%	1.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	182	5	12	4	18	4	8	18	10	5	1	3	12	14	31	24	13									
		4.03%	1.80%	4.44%	3.15%	7.06%	3.81%	6.40%	6.52%	9.71%	3.47%	0.77%	2.63%	3.14%	3.91%	4.06%	3.26%	3.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	138	1	8	5	8	2	1	9	3	4	3	1	10	10	32	34	7									
		3.06%	0.36%	2.96%	3.94%	3.14%	1.90%	0.80%	3.26%	2.91%	2.78%	2.31%	0.88%	2.62%	2.79%	4.19%	4.61%	2.01%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1897	156	129	71	114	54	56	90	56	57	77	70	136	133	270	290	138									
		42.02%	56.12%	47.78%	55.91%	44.71%	51.43%	44.80%	32.61%	54.37%	39.58%	59.23%	61.40%	35.60%	37.15%	35.39%	39.35%	39.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	1	3	0	0	0	2	0	0	0	1	2	1	2	4	2	1									
		0.42%	0.36%	1.11%	0.00%	0.00%	0.00%	1.60%	0.00%	0.00%	0.00%	0.77%	1.75%	0.26%	0.56%	0.52%	0.27%	0.29%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	1	0	1	0	0	0	0	0	1	0	0	0	0	2	6	0									
		0.24%	0.36%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.26%	0.81%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	972	61	65	18	40	18	13	83	16	30	29	14	94	90	171	147	83									
		21.53%	21.94%	24.07%	14.17%	15.69%	17.14%	10.40%	30.07%	15.53%	20.83%	22.31%	12.28%	24.61%	25.14%	22.41%	19.95%	23.85%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	2	0	0	2	0	2	0	1	0	0	0	3	1	6	7	4									
		0.62%	0.72%	0.00%	0.00%	0.78%	0.00%	1.60%	0.00%	0.97%	0.00%	0.00%	0.00%	0.79%	0.28%	0.79%	0.95%	1.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	40	0	2	1	0	1	1	3	1	0	0	1	5	4	8	6	7									
		0.89%	0.00%	0.74%	0.79%	0.00%	0.95%	0.80%	1.09%	0.97%	0.00%	0.00%	0.88%	1.31%	1.12%	1.05%	0.81%	2.01%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	34	2	2	0	2	1	2	1	0	2	1	1	2	0	5	10	3									
		0.75%	0.72%	0.74%	0.00%	0.78%	0.95%	1.60%	0.36%	0.00%	1.39%	0.77%	0.88%	0.52%	0.00%	0.66%	1.36%	0.86%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	881	29	34	21	56	20	32	53	12	32	11	11	82	75	184	156	73									
		19.51%	10.43%	12.59%	16.54%	21.96%	19.05%	25.60%	19.20%	11.65%	22.22%	8.46%	9.65%	21.47%	20.95%	24.12%	21.17%	20.98%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	1	2	0	0	0	0	0	0	0	0	0	0	1	1	4	2									
		0.24%	0.36%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.13%	0.54%	0.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	126	5	9	1	6	0	5	6	2	9	4	3	18	13	22	16	7									
		2.79%	1.80%	3.33%	0.79%	2.35%	0.00%	4.00%	2.17%	1.94%	6.25%	3.08%	2.63%	4.71%	3.63%	2.88%	2.17%	2.01%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
