Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Угловская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10408	501	179	46	932	275	799	153	409	510	64	93	1809	1832	235	615	138	189	203	566	209	651									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8500	410	150	40	750	220	650	130	350	420	60	80	1450	1500	200	500	110	150	170	460	170	530									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4241	225	82	15	378	147	297	65	168	178	41	43	607	725	124	342	71	82	92	236	85	238									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	411	26	18	5	20	4	35	14	25	6	0	6	63	38	8	42	9	5	19	26	0	42									
6	Число погашенных избирательных бюллетеней	3848	159	50	20	352	69	318	51	157	236	19	31	780	737	68	116	30	63	59	198	85	250									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	411	26	18	5	20	4	35	14	25	6	0	6	63	38	8	42	9	5	19	26	0	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4241	225	82	15	378	147	297	65	168	178	41	43	607	725	124	342	71	82	92	236	85	238									
9	Число недействительных избирательных бюллетеней	80	2	0	0	10	4	6	1	0	1	2	0	10	14	2	9	0	1	6	7	1	4									
10	Число действительных избирательных бюллетеней	4572	249	100	20	388	147	326	78	193	183	39	49	660	749	130	375	80	86	105	255	84	276									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	2	2	1	4	1	4	1	2	4	1	1	21	24	2	4	2	2	2	4	1	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	45	1	0	0	1	1	1	1	0	0	0	1	13	17	2	4	0	0	1	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	1	1	0	2	2	2	2	0	1	1	2	2	3	4	1	2	3	2	3	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	45	1	2	1	3	0	3	0	2	4	1	0	8	7	0	0	2	2	1	2	1	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	1	0	2	5	0	2	0	1	3	0	0	8	5	2	1	1	0	0	1	1	3									
		0.77%	0.40%	0.00%	10.00%	1.26%	0.00%	0.60%	0.00%	0.52%	1.63%	0.00%	0.00%	1.19%	0.66%	1.52%	0.26%	1.25%	0.00%	0.00%	0.38%	1.18%	1.07%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	187	9	8	0	28	5	17	1	5	16	3	2	14	22	5	10	5	2	5	13	6	11									
		4.02%	3.59%	8.00%	0.00%	7.04%	3.31%	5.12%	1.27%	2.59%	8.70%	7.32%	4.08%	2.09%	2.88%	3.79%	2.60%	6.25%	2.30%	4.50%	4.96%	7.06%	3.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	81	5	4	2	7	3	7	1	7	2	2	0	9	9	1	6	0	1	1	5	5	4									
		1.74%	1.99%	4.00%	10.00%	1.76%	1.99%	2.11%	1.27%	3.63%	1.09%	4.88%	0.00%	1.34%	1.18%	0.76%	1.56%	0.00%	1.15%	0.90%	1.91%	5.88%	1.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1639	113	28	8	123	61	93	28	95	56	17	17	203	240	45	182	38	24	23	72	46	127									
		35.23%	45.02%	28.00%	40.00%	30.90%	40.40%	28.01%	35.44%	49.22%	30.43%	41.46%	34.69%	30.30%	31.45%	34.09%	47.40%	47.50%	27.59%	20.72%	27.48%	54.12%	45.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	0	2	3	0	1	0	0	0	0	0	2	1	0	2	0	0	0	1	1	1									
		0.30%	0.00%	0.00%	10.00%	0.75%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.13%	0.00%	0.52%	0.00%	0.00%	0.00%	0.38%	1.18%	0.36%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	798	36	13	3	59	27	57	36	27	18	1	16	141	116	14	69	13	28	20	31	8	65									
		17.15%	14.34%	13.00%	15.00%	14.82%	17.88%	17.17%	45.57%	13.99%	9.78%	2.44%	32.65%	21.04%	15.20%	10.61%	17.97%	16.25%	32.18%	18.02%	11.83%	9.41%	23.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	0	0	0	0	0	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0									
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0									
		0.09%	0.00%	1.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	2	0	0	1	1	1	1	1	2	0	0	2	4	1	1	2	1	0	1	0	0									
		0.45%	0.80%	0.00%	0.00%	0.25%	0.66%	0.30%	1.27%	0.52%	1.09%	0.00%	0.00%	0.30%	0.52%	0.76%	0.26%	2.50%	1.15%	0.00%	0.38%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1015	42	9	0	112	17	78	10	34	65	13	8	170	229	17	48	7	14	7	91	8	36									
		21.82%	16.73%	9.00%	0.00%	28.14%	11.26%	23.49%	12.66%	17.62%	35.33%	31.71%	16.33%	25.37%	30.01%	12.88%	12.50%	8.75%	16.09%	6.31%	34.73%	9.41%	12.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	1	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	1									
		0.21%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.79%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	752	41	36	3	48	32	67	1	22	20	3	6	108	113	44	54	13	16	48	40	9	28									
		16.17%	16.33%	36.00%	15.00%	12.06%	21.19%	20.18%	1.27%	11.40%	10.87%	7.32%	12.24%	16.12%	14.81%	33.33%	14.06%	16.25%	18.39%	43.24%	15.27%	10.59%	10.00%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
