Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    ТИК Добрянского МР																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039					
1	"Число избирателей, внесенных в списки избирателей"	45711	2739	2692	2696	2749	2461	2673	2713	2634	2416	1658	1706	544	2036	2464	2619	1754	929	1008	167	434	455	313	542	995	142	147	451	273	165	221	131	397	256	212	196	240	373	426	684					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	43000	2500	2600	2600	2700	2300	2400	2600	2500	2300	1500	1600	500	1900	2300	2500	1600	900	900	150	400	400	300	500	1000	125	125	450	250	125	200	125	400	250	200	200	200	350	400	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22219	1320	1402	1523	1438	1309	1293	1334	1105	983	558	795	204	885	1358	1266	839	467	475	56	138	171	202	332	496	76	91	275	139	74	100	16	240	149	116	130	153	178	231	302					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1968	90	63	28	42	62	131	59	96	54	122	40	67	84	24	41	89	20	57	60	54	104	16	7	134	4	12	43	17	27	19	10	27	47	20	17	30	56	67	28					
6	Число погашенных избирательных бюллетеней	18737	1090	1135	1049	1220	929	976	1207	1299	1263	820	765	229	931	918	1193	672	413	368	34	208	125	82	161	370	45	22	132	94	24	81	23	133	54	64	53	17	116	102	320					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2044	90	63	28	42	62	131	59	96	54	122	40	67	84	24	41	89	20	57	60	54	104	16	7	134	4	12	43	17	27	19	86	27	47	20	17	30	56	67	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22201	1320	1401	1521	1438	1309	1293	1334	1104	981	558	795	204	885	1357	1265	831	466	475	56	137	171	202	332	496	76	91	275	139	74	100	16	240	149	116	130	153	178	231	302					
9	Число недействительных избирательных бюллетеней	239	13	11	12	11	15	10	17	20	14	14	3	1	8	11	15	7	6	10	2	1	0	1	0	23	2	0	0	0	0	4	0	0	1	0	0	0	0	3	4					
10	Число действительных избирательных бюллетеней	24006	1397	1453	1537	1469	1356	1414	1376	1180	1021	666	832	270	961	1370	1291	913	480	522	114	190	275	217	339	607	78	103	318	156	101	115	102	267	195	136	147	183	234	295	326					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1033	50	50	50	50	50	50	50	50	45	30	30	20	40	50	50	30	20	25	5	10	10	10	10	45	5	5	20	10	5	15	13	20	15	15	15	15	15	15	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	557	26	32	33	28	16	27	35	21	31	7	8	2	11	27	26	7	1	25	5	1	3	6	5	44	0	0	20	0	0	1	13	20	15	4	7	15	15	13	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	358	24	20	13	13	17	16	24	15	18	13	5	7	6	14	10	21	8	16	4	1	13	5	8	10	3	2	5	3	2	1	1	6	7	3	1	4	9	3	7					
14	Число погашенных неиспользованных открепительных удостоверений	476	24	18	17	22	34	23	15	29	14	23	22	18	29	23	24	23	19	0	0	9	7	4	5	1	5	5	0	10	5	14	0	0	0	11	8	0	0	2	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	1	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
