Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Сосновоборская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163					
1	"Число избирателей, внесенных в списки"	15956	176	116	44	32	475	122	135	281	282	336	1680	1535	25	125	174	313	129	218	375	363	397	158	97	217	204	52	1722	1860	2294	196	66	670	323	232	401	131					
2	"Число бюллетеней, полученных участковыми комиссиями"	15993	172	114	44	33	487	125	135	288	282	322	1669	1526	25	123	174	312	130	213	383	360	377	158	100	216	203	52	1770	1840	2350	195	65	666	324	232	398	130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9385	118	104	34	21	246	87	99	209	175	188	1133	845	18	58	123	187	91	152	285	248	261	114	73	137	139	44	862	846	1207	125	48	376	232	137	254	109					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	586	10	0	0	0	7	8	0	11	13	72	30	25	7	15	12	18	13	15	0	17	19	0	0	17	19	0	58	47	46	20	0	33	22	22	10	0					
6	Число погашенных бюллетеней	6022	44	10	10	12	234	30	36	68	94	62	506	656	0	50	39	107	26	46	98	95	97	44	27	62	45	8	850	947	1097	50	17	257	70	73	134	21					
7	Число бюллетеней в переносных ящиках для голосования	585	10	0	0	0	7	8	0	11	13	72	30	25	7	15	12	18	13	15	0	17	18	0	0	17	19	0	58	47	46	20	0	33	22	22	10	0					
8	Число бюллетеней в стационарных ящиках для голосования	9385	118	104	34	21	246	87	99	209	175	188	1133	845	18	58	123	187	91	152	285	248	261	114	73	137	139	44	862	846	1207	125	48	376	232	137	254	109					
9	Число недействительных бюллетеней	231	13	4	0	0	8	0	4	0	4	4	21	34	0	0	0	8	0	4	0	10	11	1	0	5	5	0	28	12	16	10	0	9	9	0	11	0					
10	Число действительных бюллетеней	9739	115	100	34	21	245	95	95	220	184	256	1142	836	25	73	135	197	104	163	285	255	268	113	73	149	153	44	892	881	1237	135	48	400	245	159	253	109					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	182	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	27	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	4	6	0	1	0	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	2	0	2	1	0	0	1	1	0	6	5	9	0	0	1	0	1	2	0					
14	Число погашенных открепительных удостоверений	155	5	5	5	5	5	5	5	5	5	5	1	4	5	5	5	4	5	5	5	5	5	5	5	5	4	5	1	2	0	5	4	5	0	5	5	5					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	251	9	4	0	0	6	1	2	4	3	4	29	56	0	1	3	12	4	2	2	2	6	1	0	1	3	0	21	14	26	4	4	5	12	3	7	0					
		2.51%	7.03%	3.84%	0.0%	0.0%	2.37%	1.05%	2.02%	1.81%	1.59%	1.53%	2.49%	6.43%	0.0%	1.36%	2.22%	5.85%	3.84%	1.19%	0.70%	0.75%	2.15%	0.87%	0.0%	0.64%	1.89%	0.0%	2.28%	1.56%	2.07%	2.75%	8.33%	1.22%	4.72%	1.88%	2.65%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	39	0	0	0	0	0	0	0	1	0	1	5	9	0	0	1	0	0	0	0	0	1	1	1	0	0	0	4	5	8	0	0	1	0	1	0	0					
		0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.38%	0.42%	1.03%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.87%	1.36%	0.0%	0.0%	0.0%	0.43%	0.55%	0.63%	0.0%	0.0%	0.24%	0.0%	0.62%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	194	9	0	0	0	8	2	2	3	3	2	11	16	0	1	1	8	0	2	3	4	3	2	1	1	2	0	20	21	39	9	1	6	3	3	8	0					
		1.94%	7.03%	0.0%	0.0%	0.0%	3.16%	2.10%	2.02%	1.36%	1.59%	0.76%	0.94%	1.83%	0.0%	1.36%	0.74%	3.90%	0.0%	1.19%	1.05%	1.50%	1.07%	1.75%	1.36%	0.64%	1.26%	0.0%	2.17%	2.35%	3.11%	6.20%	2.08%	1.46%	1.18%	1.88%	3.03%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	143	5	3	0	0	3	1	0	0	3	0	32	9	0	0	1	2	0	2	1	2	1	0	2	1	2	0	29	10	22	2	0	3	2	3	2	0					
		1.43%	3.90%	2.88%	0.0%	0.0%	1.18%	1.05%	0.0%	0.0%	1.59%	0.0%	2.75%	1.03%	0.0%	0.0%	0.74%	0.97%	0.0%	1.19%	0.35%	0.75%	0.35%	0.0%	2.73%	0.64%	1.26%	0.0%	3.15%	1.11%	1.75%	1.37%	0.0%	0.73%	0.78%	1.88%	0.75%	0.0%					
22	"5. ""За Русь Святую"""	47	0	1	0	0	2	2	0	1	3	1	0	0	0	0	1	1	1	1	0	0	2	3	0	0	2	0	4	4	2	1	0	8	2	3	2	0					
		0.47%	0.0%	0.96%	0.0%	0.0%	0.79%	2.10%	0.0%	0.45%	1.59%	0.38%	0.0%	0.0%	0.0%	0.0%	0.74%	0.48%	0.96%	0.59%	0.0%	0.0%	0.71%	2.63%	0.0%	0.0%	1.26%	0.0%	0.43%	0.44%	0.15%	0.68%	0.0%	1.95%	0.78%	1.88%	0.75%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	3	4	2	0	0	0	0	1	1	0					
		0.21%	0.78%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	1.79%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.44%	0.15%	0.0%	0.0%	0.0%	0.0%	0.62%	0.37%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	50	1	0	0	0	3	1	0	1	0	0	4	0	0	0	0	0	0	3	1	1	0	0	0	1	0	1	13	5	11	0	0	2	0	1	1	0					
		0.50%	0.78%	0.0%	0.0%	0.0%	1.18%	1.05%	0.0%	0.45%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.79%	0.35%	0.37%	0.0%	0.0%	0.0%	0.64%	0.0%	2.27%	1.41%	0.55%	0.87%	0.0%	0.0%	0.48%	0.0%	0.62%	0.37%	0.0%					
25	"8. ""Народно-республиканская партия России"""	15	0	0	0	0	4	1	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0					
