Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																	
Дата голосования: 04.12.2011																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Балашовская																																																																																																	
																																																																																																	
Сводная таблица результатов выборов																																																																																																	
																																																																																																	
		Сумма	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678					
1	"Число избирателей, внесенных в список избирателей"	91463	1233	1362	796	1353	529	1316	1210	1222	1131	1514	840	707	1923	856	1032	1719	1421	1380	934	835	1476	1222	1165	1242	1616	1232	1257	1039	1250	1508	1350	1266	1050	1613	1374	2072	1244	1975	1314	1257	1771	1067	2094	1853	1600	1009	2643	1698	1368	523	291	189	857	1028	590	403	513	212	121	665	225	81	878	237	627	163	300	710	968	316	1229	363	1583	530	384	1912	985	195	243	165	815	273	837	809	557	613	1476	423	1799	437					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	91440	1250	1370	800	1300	500	1300	1200	1050	1130	1500	850	710	1735	860	1050	1650	1420	1300	920	810	1400	1150	1180	1385	1650	1240	1230	1070	1260	1520	1290	1270	1070	1610	1380	2100	1240	1890	1290	1240	1810	1060	2100	1820	1680	930	2600	1650	1800	510	300	170	840	1020	600	410	520	220	120	670	230	70	900	240	650	160	310	750	970	320	1250	370	1600	530	380	1950	1000	190	240	170	840	260	850	830	570	630	1500	430	1800	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53394	438	499	415	643	291	515	695	472	768	783	355	519	1202	613	794	1151	763	709	398	596	693	800	704	896	1245	571	498	698	929	834	839	881	320	857	570	1070	1092	1344	988	869	1176	647	1145	1424	872	790	1769	1092	1343	310	148	101	719	580	297	232	252	119	61	376	118	58	460	105	324	86	182	397	498	197	593	180	654	362	229	1182	623	88	136	88	425	146	531	449	269	230	657	196	881	280					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5357	71	125	35	22	161	66	34	156	33	54	41	36	34	40	50	81	60	77	62	39	23	100	52	46	42	48	70	26	54	51	120	140	58	10	45	21	3	16	38	23	87	63	63	49	50	108	82	57	25	41	43	23	0	103	51	60	46	27	36	44	21	7	87	39	73	31	28	58	56	11	67	31	57	39	61	101	146	77	50	40	74	21	58	173	176	183	139	39	84	9					
6	Число погашенных избирательных бюллетеней	32412	741	746	349	635	48	719	470	422	329	663	454	155	499	207	142	418	597	514	460	160	684	250	424	443	308	621	662	293	277	635	331	249	692	743	765	1009	145	530	232	348	496	350	892	343	758	32	749	501	432	159	109	46	121	337	252	118	222	74	23	250	91	5	353	96	253	43	100	295	415	112	590	159	889	129	90	667	231	25	54	42	341	93	261	208	125	217	704	195	835	161					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5356	71	125	35	22	161	66	34	156	33	54	41	36	34	40	50	80	60	77	62	39	23	100	52	46	42	48	70	26	54	51	120	140	58	10	45	21	3	16	38	23	87	63	63	49	50	108	82	57	25	41	43	23	0	103	51	60	46	27	36	44	21	7	87	39	73	31	28	58	56	11	67	31	57	39	61	101	146	77	50	40	74	21	58	173	176	183	139	39	84	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53076	438	499	414	643	291	515	694	472	768	783	355	519	1202	613	730	1108	763	709	398	596	693	792	699	896	1190	571	498	672	929	834	811	881	320	856	570	1070	1092	1344	956	869	1176	647	1145	1420	872	790	1769	1092	1300	310	148	101	718	580	297	232	250	119	61	376	118	58	460	105	324	86	182	395	497	197	593	180	654	362	229	1182	623	88	136	88	425	146	531	449	269	230	657	196	881	279					
9	Число недействительных избирательных бюллетеней	1718	8	5	16	14	30	8	177	51	31	18	1	3	15	35	8	17	7	28	3	6	9	10	68	4	21	8	41	4	24	15	9	29	10	12	13	18	29	68	14	15	117	11	10	15	71	23	20	17	9	7	0	0	11	20	5	2	7	10	0	13	0	1	14	0	15	4	3	3	14	2	8	3	13	108	71	20	14	0	0	3	0	0	7	5	17	1	104	1	14	3					
10	Число действительных избирательных бюллетеней	56714	501	619	433	651	422	573	551	577	770	819	395	552	1221	618	772	1171	816	758	457	629	707	882	683	938	1211	611	527	694	959	870	922	992	368	854	602	1073	1066	1292	980	877	1146	699	1198	1454	851	875	1831	1132	1316	344	191	124	707	663	343	290	289	136	97	407	139	64	533	144	382	113	207	450	539	206	652	208	698	293	219	1263	755	165	186	125	499	167	582	617	428	412	692	234	951	285					
