Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Тындинская городская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762					
1	"Число избирателей, внесенных в списки"	27672	843	706	777	1028	1131	636	1275	467	385	2023	1931	1760	2019	741	2101	1618	1416	1393	1391	1093	1423	979	232	171	133					
2	"Число бюллетеней, полученных участковыми комиссиями"	24747	800	650	650	900	1000	600	1050	400	800	1650	1850	1500	1450	700	1800	1400	1250	1250	1250	1050	1400	857	200	160	130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12793	333	315	265	389	472	167	406	247	384	895	931	856	918	368	1040	761	643	668	709	598	685	425	107	107	104					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	316	0	16	4	10	16	0	64	0	1	5	16	6	11	84	11	11	7	34	3	8	5	4	0	0	0					
6	Число погашенных бюллетеней	11638	467	319	381	501	512	433	580	153	415	750	903	638	521	248	749	628	600	548	538	444	710	428	93	53	26					
7	Число бюллетеней в переносных ящиках для голосования	316	0	16	4	10	16	0	64	0	1	5	16	6	11	84	11	11	7	34	3	8	5	4	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	12787	333	315	265	389	472	167	406	247	384	895	928	856	918	368	1040	761	643	666	708	598	685	425	107	107	104					
9	Число недействительных бюллетеней	78	4	1	0	2	5	1	1	0	0	7	4	3	7	2	7	0	4	5	4	16	4	1	0	0	0					
10	Число действительных бюллетеней	13025	329	330	269	397	483	166	469	247	385	893	940	859	922	450	1044	772	646	695	707	590	686	428	107	107	104					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	255	35	10	10	10	10	10	5	5	5	10	10	10	10	5	15	10	10	15	10	10	10	10	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	88	28	0	4	0	2	0	2	1	1	6	4	8	6	3	2	6	1	4	2	3	0	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	0	0	0	0	0	0	3	0	2	3	0	0	0	3	2	8	4	0	3	6	1	5	0	0	3					
14	Число погашенных открепительных удостоверений	167	7	10	6	10	8	10	3	4	4	4	6	2	4	2	13	4	9	11	8	7	10	5	10	5	5					
15	Число открепительных удостоверений выданных ТИК	13	0	1	0	0	0	1	1	0	0	0	1	0	1	0	5	0	0	0	1	1	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	109	4	5	8	2	4	2	6	6	5	8	5	7	6	1	7	6	3	6	7	1	3	2	1	3	1					
		0.83%	1.20%	1.51%	2.97%	0.50%	0.81%	1.19%	1.27%	2.42%	1.29%	0.88%	0.52%	0.81%	0.64%	0.22%	0.66%	0.77%	0.46%	0.85%	0.98%	0.16%	0.43%	0.46%	0.93%	2.80%	0.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	339	7	3	5	6	12	2	13	5	15	31	23	21	30	15	40	18	20	19	12	15	17	5	1	4	0					
		2.58%	2.10%	0.90%	1.85%	1.50%	2.45%	1.19%	2.76%	2.02%	3.89%	3.44%	2.43%	2.43%	3.22%	3.31%	3.80%	2.33%	3.07%	2.71%	1.68%	2.47%	2.46%	1.16%	0.93%	3.73%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	429	3	9	5	18	19	1	10	6	13	31	42	33	30	14	27	21	14	27	24	21	36	17	2	3	3					
		3.27%	0.90%	2.71%	1.85%	4.51%	3.89%	0.59%	2.12%	2.42%	3.37%	3.44%	4.44%	3.82%	3.22%	3.09%	2.56%	2.72%	2.15%	3.85%	3.37%	3.46%	5.21%	3.96%	1.86%	2.80%	2.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	674	18	10	14	13	32	4	16	13	19	57	58	55	51	11	46	32	47	37	43	37	41	15	2	2	1					
		5.14%	5.40%	3.02%	5.20%	3.25%	6.55%	2.39%	3.40%	5.26%	4.93%	6.33%	6.14%	6.38%	5.48%	2.43%	4.37%	4.14%	7.23%	5.28%	6.04%	6.10%	5.94%	3.49%	1.86%	1.86%	0.96%					
22	"5. ""За Русь Святую"""	42	2	1	0	2	0	0	0	0	0	2	0	5	4	1	6	5	4	3	0	1	1	4	0	0	1					
		0.32%	0.60%	0.30%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.58%	0.43%	0.22%	0.57%	0.64%	0.61%	0.42%	0.0%	0.16%	0.14%	0.93%	0.0%	0.0%	0.96%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	1	0	0	2	2	0	0	1	1	1	2	2	2	2	4	0	1	4	2	1	1	0	1	0	2					
