Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Новозыбковская городская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779					
1	"Число избирателей, внесенных в списки"	34729	1435	1326	1314	1962	2740	1739	1337	1304	1830	2504	2623	2802	1419	2550	1279	1515	2569	2481					
2	"Число бюллетеней, полученных участковыми комиссиями"	33700	1400	1000	1300	1900	2700	1700	1300	1200	1800	2400	2600	2800	1400	2500	1200	1500	2500	2500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18335	832	540	688	1061	1376	1038	743	623	1100	1465	1346	1377	760	1434	748	753	1292	1159					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	893	16	280	31	24	66	33	31	27	19	42	44	30	18	65	32	19	81	35					
6	Число погашенных бюллетеней	14472	552	180	581	815	1258	629	526	550	681	893	1210	1393	622	1001	420	728	1127	1306					
7	Число бюллетеней в переносных ящиках для голосования	893	16	280	31	24	66	33	31	27	19	42	44	30	18	65	32	19	81	35					
8	Число бюллетеней в стационарных ящиках для голосования	18330	832	540	688	1058	1376	1038	743	623	1100	1465	1346	1377	760	1434	746	753	1292	1159					
9	Число недействительных бюллетеней	272	8	22	8	14	22	17	3	8	7	31	17	17	15	24	12	9	14	24					
10	Число действительных бюллетеней	18951	840	798	711	1068	1420	1054	771	642	1112	1476	1373	1390	763	1475	766	763	1359	1170					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	10	10	13	10	21	15	10	40	15	29	24	30	50	35	13	40	15	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	321	9	5	11	9	21	13	10	15	15	28	18	21	43	29	12	29	15	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	130	2	87	2	1	2	2	3	0	3	1	3	6	3	3	6	0	3	3					
14	Число погашенных открепительных удостоверений	79	1	5	2	1	0	2	0	25	0	1	6	9	7	6	1	11	0	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	182	9	16	3	15	18	5	8	5	13	16	5	12	8	10	7	8	10	14					
