Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
Наименование Избирательной комиссии:    Светлоярская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430					
1	"Число избирателей, внесенных в списки избирателей"	28360	1983	1549	1840	1858	1631	1613	37	1133	957	939	1184	591	1397	1159	1195	400	124	1064	585	1012	261	207	1672	220	160	1782	1148	659					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28801	1836	1507	1803	1725	1645	1661	33	1209	1007	894	1200	573	1432	1166	1111	383	122	1198	664	1259	260	221	1715	222	162	1889	1179	725					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16225	982	776	1012	1110	974	959	33	600	511	509	711	329	742	656	845	294	106	706	380	616	110	152	898	109	86	1012	655	352					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1266	37	35	32	33	23	30	0	33	54	71	73	39	43	66	88	14	0	78	91	73	52	23	64	25	35	57	66	31					
6	Число погашенных избирательных бюллетеней	11309	817	696	759	582	648	672	0	576	442	314	416	204	647	444	178	75	16	414	193	570	98	46	753	88	41	820	458	342					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1266	37	35	32	33	23	30	0	33	54	71	73	39	43	66	88	14	0	78	91	73	52	23	64	25	35	57	66	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16223	982	776	1012	1109	974	959	33	600	511	509	711	328	742	656	845	294	106	706	380	616	110	152	898	109	86	1012	655	352					
9	Число недействительных избирательных бюллетеней	167	13	9	16	9	20	10	0	3	2	6	9	3	9	12	0	2	0	6	1	6	0	0	16	0	2	9	1	3					
10	Число действительных избирательных бюллетеней	17322	1006	802	1028	1133	977	979	33	630	563	574	775	364	776	710	933	306	106	778	470	683	162	175	946	134	119	1060	720	380					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	400	22	20	22	27	22	17	0	10	20	15	15	10	15	25	10	10	5	15	10	15	5	5	22	6	4	28	15	10					
