Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Зерноградская																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №178	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №2565	УИК №2569					
1	"Число избирателей, внесенных в список"	48262	223	1569	1213	1833	1034	330	415	164	200	430	450	226	1893	164	269	338	53	650	1667	161	543	930	319	1410	343	120	833	313	229	154	189	202	202	153	1420	1180	216	335	469	468	671	202	278	419	1606	1531	1932	1438	1321	1732	1396	1370	888	2268	277	1262	191	1368	2462	1277	903	160					
2	Число полученных избирательных бюллетеней	50415	235	1660	1300	1950	1110	340	420	178	220	485	510	250	1990	180	305	370	61	690	1730	180	590	990	405	1490	355	134	890	330	240	188	210	215	210	166	1500	1290	220	345	500	480	770	220	315	445	1610	1580	1940	1425	1310	1770	1610	1400	900	2380	295	1250	200	1350	2450	1300	800	183					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31339	164	948	790	1033	630	181	286	98	172	259	284	164	1294	100	167	241	47	481	1186	139	454	607	271	966	240	113	644	254	184	129	159	159	181	125	1050	934	176	253	341	282	531	175	236	326	946	740	1055	704	740	1032	798	911	510	1328	187	794	114	876	1523	844	661	122					
5	"Число избирательных бюллетеней, выданных вне помещения"	3682	18	77	92	94	80	83	43	55	17	78	77	50	167	25	38	49	6	83	151	17	36	128	48	43	15	7	57	21	22	13	21	27	6	18	111	153	33	65	15	30	34	14	13	20	94	118	151	172	95	100	36	74	81	299	28	43	49	31	30	14	0	17					
6	Число погашенных избирательных бюллетеней	15394	53	635	418	823	400	76	91	25	31	148	149	36	529	55	100	80	8	126	393	24	100	255	86	481	100	14	189	55	34	46	30	29	23	23	339	203	11	27	144	168	205	31	66	99	570	722	734	549	475	638	776	415	309	753	80	413	37	443	897	442	139	44					
7	Число избирательных бюллетеней в переносных ящиках	3681	18	76	92	94	80	83	43	55	17	78	77	50	167	25	38	49	6	83	151	17	36	128	48	43	15	7	57	21	22	13	21	27	6	18	111	153	33	65	15	30	34	14	13	20	94	118	151	172	95	100	36	74	81	299	28	43	49	31	30	14	0	17					
8	Число бюллетеней в стационарных ящиках для голосования	31318	164	948	790	1033	630	181	286	98	172	259	284	164	1294	100	167	241	47	481	1186	139	454	605	271	966	240	113	644	254	184	129	159	159	181	125	1047	934	176	253	341	282	531	175	236	326	932	740	1055	704	740	1032	798	911	510	1328	187	794	114	876	1522	843	661	122					
9	Число недействительных избирательных бюллетеней	326	6	10	17	4	6	2	2	0	0	11	3	2	12	2	1	1	0	10	24	1	6	5	3	16	5	2	10	6	2	2	0	3	2	3	17	10	0	4	7	4	7	0	5	3	12	5	12	5	7	8	6	0	3	5	4	1	0	8	8	2	1	3					
10	Число действительных избирательных бюллетеней	34673	176	1014	865	1123	704	262	327	153	189	326	358	212	1449	123	204	289	53	554	1313	155	484	728	316	993	250	118	691	269	204	140	180	183	185	140	1141	1077	209	314	349	308	558	189	244	343	1014	853	1194	871	828	1124	828	985	588	1622	211	836	163	899	1544	855	660	136					
11	Число полученных открепительных  удостоверений	1459	20	15	25	15	20	15	15	5	5	5	5	5	40	5	5	15	5	17	44	5	25	35	10	20	5	5	30	5	15	25	21	5	15	10	60	90	9	17	5	5	41	25	20	10	30	25	35	15	30	25	30	30	25	50	10	30	10	25	80	60	150	5					
12	Число выданных открепительных удостоверений	1087	13	15	22	15	17	10	5	0	5	2	5	4	37	0	1	15	4	12	35	5	20	35	7	16	2	1	29	3	11	21	21	1	7	5	50	90	6	14	5	3	25	18	20	6	27	18	24	7	15	18	21	23	21	44	2	21	0	25	70	37	71	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	617	5	5	11	9	11	3	8	4	4	6	2	1	15	4	3	5	0	3	7	3	1	6	3	2	6	1	7	2	3	2	6	4	6	1	13	9	2	4	3	2	14	2	3	5	15	10	18	10	7	20	21	23	13	55	2	11	5	8	16	8	158	1					
14	Число неиспользованных открепительных удостоверений	372	7	0	3	0	3	5	10	5	0	3	0	1	3	5	4	0	1	5	9	0	5	0	3	4	3	4	1	2	4	4	0	4	8	5	10	0	3	3	0	2	16	7	0	4	3	7	11	8	15	7	9	7	4	6	8	9	10	0	10	23	79	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	1526	7	40	30	27	31	4	14	1	5	8	7	5	37	1	5	5	2	31	39	3	13	14	2	70	11	0	20	4	6	1	8	6	1	2	41	42	11	16	9	11	23	1	7	17	69	51	72	43	47	75	46	63	44	87	7	57	12	48	72	73	18	4					
