Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    Соболевская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №156	УИК №157	УИК №158	УИК №159					
1	"Число избирателей, внесенных в список избирателей"	2117	252	1568	272	25					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1980	300	1333	311	36					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	278	0	278	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	999	142	712	129	16					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	60	7	24	28	1					
6	Число погашенных избирательных бюллетеней	643	151	319	154	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	338	7	302	28	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	999	142	712	129	16					
9	Число недействительных избирательных бюллетеней	16	2	8	5	1					
10	Число действительных избирательных бюллетеней	1321	147	1006	152	16					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	70	15	30	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	24	3	21	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	0	5	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	46	12	9	15	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	166	16	131	17	2					
		12.42%	10.74%	12.92%	10.83%	11.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	295	35	220	39	1					
		22.06%	23.49%	21.70%	24.84%	5.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	1	20	3	0					
		1.80%	0.67%	1.97%	1.91%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	209	19	166	20	4					
		15.63%	12.75%	16.37%	12.74%	23.53%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	1	24	5	0					
		2.24%	0.67%	2.37%	3.18%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	589	72	441	67	9					
		44.05%	48.32%	43.49%	42.68%	52.94%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	8	3	4	1	0					
		0.60%	2.01%	0.39%	0.64%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
