Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
"Наименование Избирательной комиссии:    г. Чита, Ингодинская "																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61					
1	"Число избирателей, внесенных в списки"	52537	2968	2634	2383	2144	1682	2627	2678	2605	1882	2893	2373	2023	1106	1408	2538	2702	778	693	2405	2485	2703	2039	475	2875	416	1022					
2	"Число бюллетеней, полученных участковыми комиссиями"	50630	2400	2400	1900	2000	1600	2500	2500	2400	1700	2500	2200	1900	1100	1300	2500	2500	1900	1800	2200	2300	2500	1900	450	2600	380	1200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	25769	1508	1889	1326	907	877	1360	1202	1119	881	959	1152	1058	573	589	1218	1307	754	668	830	1225	1314	701	218	896	216	1022					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	700	46	12	32	87	19	50	33	38	7	2	36	37	18	24	45	37	24	25	27	19	21	22	3	24	12	0					
6	Число погашенных бюллетеней	24161	846	499	542	1006	704	1090	1265	1243	812	1539	1012	805	509	687	1237	1156	1122	1107	1343	1056	1165	1177	229	1680	152	178					
7	Число бюллетеней в переносных ящиках для голосования	700	46	12	32	87	19	50	33	38	7	2	36	37	18	24	45	37	24	25	27	19	21	22	3	24	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	25705	1505	1889	1316	907	877	1360	1182	1119	881	957	1152	1056	573	589	1210	1307	754	668	827	1219	1311	701	218	889	216	1022					
9	Число недействительных бюллетеней	383	16	62	21	10	18	16	16	24	4	4	9	6	9	20	0	7	11	8	9	7	9	10	1	10	7	69					
10	Число действительных бюллетеней	26022	1535	1839	1327	984	878	1394	1199	1133	884	955	1179	1087	582	593	1255	1337	767	685	845	1231	1323	713	220	903	221	953					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	379	15	10	20	20	10	20	20	15	10	15	25	20	10	10	15	20	29	10	15	10	15	10	10	15	10	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	237	8	5	12	11	8	14	15	7	10	14	16	10	2	5	13	15	23	9	11	8	7	5	2	6	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	729	3	3	7	30	2	15	5	16	6	3	13	14	18	7	90	18	6	8	9	18	9	3	1	1	19	405					
14	Число погашенных открепительных удостоверений	142	7	5	8	9	2	6	5	8	0	1	9	10	8	5	2	5	6	1	4	2	8	5	8	9	9	0					
15	Число открепительных удостоверений выданных ТИК	39	1	2	1	3	2	3	1	2	1	2	2	1	0	1	0	2	3	2	3	3	0	0	0	4	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	474	28	107	41	12	22	12	12	21	11	18	9	6	7	9	15	17	13	8	12	16	18	7	7	19	5	22					
		1.79%	1.80%	5.62%	3.04%	1.20%	2.45%	0.85%	0.98%	1.81%	1.23%	1.87%	0.75%	0.54%	1.18%	1.46%	1.19%	1.26%	1.67%	1.15%	1.40%	1.29%	1.35%	0.96%	3.16%	2.08%	2.19%	2.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	762	22	109	45	18	24	27	28	26	42	35	45	38	25	11	36	46	28	18	17	45	35	5	2	15	1	19					
		2.88%	1.41%	5.73%	3.33%	1.81%	2.67%	1.91%	2.30%	2.24%	4.72%	3.64%	3.78%	3.47%	4.23%	1.79%	2.86%	3.42%	3.59%	2.59%	1.99%	3.63%	2.62%	0.69%	0.90%	1.64%	0.43%	1.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	642	23	26	17	28	12	51	38	43	23	9	45	38	9	23	31	47	21	15	14	29	22	17	3	27	4	27					
		2.43%	1.48%	1.36%	1.26%	2.81%	1.33%	3.61%	3.12%	3.71%	2.59%	0.93%	3.78%	3.47%	1.52%	3.75%	2.47%	3.49%	2.69%	2.16%	1.63%	2.34%	1.65%	2.35%	1.35%	2.95%	1.75%	2.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1129	25	52	29	38	19	57	61	72	79	43	62	63	13	26	58	123	35	24	28	64	56	27	3	37	5	30					
		4.27%	1.61%	2.73%	2.15%	3.82%	2.12%	4.04%	5.02%	6.22%	8.89%	4.48%	5.21%	5.76%	2.19%	4.24%	4.62%	9.15%	4.49%	3.46%	3.27%	5.16%	4.20%	3.73%	1.35%	4.05%	2.19%	2.93%					
22	"5. ""За Русь Святую"""	101	7	16	3	5	3	2	4	1	1	5	2	4	2	4	4	3	0	3	1	1	3	9	0	1	2	15					
		0.38%	0.45%	0.84%	0.22%	0.50%	0.33%	0.14%	0.32%	0.08%	0.11%	0.52%	0.16%	0.36%	0.33%	0.65%	0.31%	0.22%	0.0%	0.43%	0.11%	0.08%	0.22%	1.24%	0.0%	0.10%	0.87%	1.46%					
