Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Арзгирская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18920	2633	2746	2790	2839	299	588	1151	1634	657	1134	1479	970									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16500	2300	2400	2400	2500	250	500	1000	1400	600	1000	1300	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6471	858	983	928	856	165	308	348	444	291	389	594	307									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	773	49	71	109	35	25	27	88	114	63	44	88	60									
6	Число погашенных избирательных бюллетеней	9256	1393	1346	1363	1609	60	165	564	842	246	567	618	483									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	773	49	71	109	35	25	27	88	114	63	44	88	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6470	858	983	928	855	165	308	348	444	291	389	594	307									
9	Число недействительных избирательных бюллетеней	216	26	33	21	17	11	13	5	24	9	16	14	27									
10	Число действительных избирательных бюллетеней	7027	881	1021	1016	873	179	322	431	534	345	417	668	340									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	172	30	20	20	20	12	15	5	10	15	5	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	33	10	4	8	2	1	1	0	2	0	1	1	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	1	6	1	1	2	1	0	3	3	1	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	139	20	16	12	18	11	14	5	8	15	4	14	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	3	1	4	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	118	12	25	22	9	3	6	5	6	4	10	9	7									
		1.63%	1.32%	2.37%	2.12%	1.01%	1.58%	1.79%	1.15%	1.08%	1.13%	2.31%	1.32%	1.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	297	40	36	47	39	10	12	32	23	7	18	22	11									
		4.10%	4.41%	3.42%	4.53%	4.38%	5.26%	3.58%	7.34%	4.12%	1.98%	4.16%	3.23%	2.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	123	15	22	24	10	5	5	2	15	9	6	6	4									
		1.70%	1.65%	2.09%	2.31%	1.12%	2.63%	1.49%	0.46%	2.69%	2.54%	1.39%	0.88%	1.09%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3602	397	440	438	418	122	179	275	297	157	226	427	226									
		49.73%	43.77%	41.75%	42.24%	46.97%	64.21%	53.43%	63.07%	53.23%	44.35%	52.19%	62.61%	61.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	41	11	6	4	4	1	0	2	4	2	0	4	3									
		0.57%	1.21%	0.57%	0.39%	0.45%	0.53%	0.00%	0.46%	0.72%	0.56%	0.00%	0.59%	0.82%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	4	0	3	0	0	1	2	3	2	0	2	0									
		0.23%	0.44%	0.00%	0.29%	0.00%	0.00%	0.30%	0.46%	0.54%	0.56%	0.00%	0.29%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1210	179	229	182	176	11	62	55	92	79	33	66	46									
		16.71%	19.74%	21.73%	17.55%	19.78%	5.79%	18.51%	12.61%	16.49%	22.32%	7.62%	9.68%	12.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	21	2	2	3	3	5	1	2	1	2	0	0	0									
		0.29%	0.22%	0.19%	0.29%	0.34%	2.63%	0.30%	0.46%	0.18%	0.56%	0.00%	0.00%	0.00%									
