Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Романовская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11187	1253	1082	467	1204	938	475	172	246	194	573	638	190	201	317	211	173	553	565	429	298	222	234	309	243									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11755	1350	1070	450	1150	850	610	180	240	210	670	630	210	200	310	470	170	640	550	410	310	210	235	310	320									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5060	510	394	177	478	381	225	128	190	69	248	251	121	124	111	168	104	269	226	151	151	106	132	146	200									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1154	41	45	23	56	54	31	23	17	51	74	82	40	46	32	43	16	72	123	42	40	41	72	47	43									
6	Число погашенных избирательных бюллетеней	5538	799	631	250	616	415	354	29	33	90	348	297	49	30	167	259	50	299	201	217	119	63	31	117	74									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1154	41	45	23	56	54	31	23	17	51	74	82	40	46	32	43	16	72	123	42	40	41	72	47	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5056	509	394	177	478	381	224	128	190	69	248	251	121	124	111	167	104	269	226	151	151	106	132	145	200									
9	Число недействительных избирательных бюллетеней	81	8	9	5	1	3	9	5	5	5	5	2	0	2	4	4	1	2	4	3	0	2	1	1	0									
10	Число действительных избирательных бюллетеней	6129	542	430	195	533	432	246	146	202	115	317	331	161	168	139	206	119	339	345	190	191	145	203	191	243									
