Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Куйтунская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882					
1	"Число избирателей, внесенных в списки избирателей"	26027	1401	826	492	1017	433	832	536	747	467	957	549	171	136	172	186	225	111	134	36	901	328	96	136	187	330	191	288	170	271	268	1162	234	44	771	989	638	104	720	151	255	1317	81	121	145	151	131	101	505	192	213	129	246	486	151	1045	980	230	501	307	136	178	602	103	221	93					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25432	1395	806	453	1016	428	845	525	718	469	904	529	157	140	173	188	225	106	131	36	854	311	99	140	193	311	174	292	182	271	259	1078	230	51	745	989	594	91	699	153	251	1328	80	117	145	150	132	93	495	187	204	130	240	472	145	1013	945	231	508	302	142	166	580	98	217	101					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15525	688	414	255	546	251	474	232	357	219	440	327	111	89	99	127	163	95	97	30	509	232	70	90	94	240	130	167	143	197	158	698	123	35	670	573	424	72	481	107	155	758	53	87	126	97	72	55	339	140	179	108	148	274	87	589	513	149	315	139	87	79	438	72	178	61					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1213	56	36	42	27	24	66	32	56	15	49	39	14	0	7	20	17	0	12	0	28	24	6	0	60	15	14	8	11	6	19	19	0	2	29	51	37	2	13	4	0	46	0	3	0	10	0	14	22	0	0	0	15	0	18	17	77	28	13	12	6	6	24	8	18	16					
6	Число погашенных избирательных бюллетеней	8694	651	356	156	443	153	305	261	305	235	415	163	32	51	67	41	45	11	22	6	317	55	23	50	39	56	30	117	28	68	82	361	107	14	46	365	133	17	205	42	96	524	27	27	19	43	60	24	134	47	25	22	77	198	40	407	355	54	180	151	49	81	118	18	21	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1213	56	36	42	27	24	66	32	56	15	49	39	14	0	7	20	17	0	12	0	28	24	6	0	60	15	14	8	11	6	19	19	0	2	29	51	37	2	13	4	0	46	0	3	0	10	0	14	22	0	0	0	15	0	18	17	77	28	13	12	6	6	24	8	18	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15525	688	414	255	546	251	474	232	357	219	440	327	111	89	99	127	163	95	97	30	509	232	70	90	94	240	130	167	143	197	158	698	123	35	670	573	424	72	481	107	155	758	53	87	126	97	72	55	339	140	179	108	148	274	87	589	513	149	315	139	87	79	438	72	178	61					
9	Число недействительных избирательных бюллетеней	222	5	9	6	5	7	5	3	4	1	19	6	7	1	0	1	1	1	0	0	5	0	3	0	1	2	3	0	1	2	3	28	0	2	5	5	12	3	4	3	2	7	2	0	0	3	1	0	2	1	0	2	3	1	0	19	10	0	0	1	0	0	0	0	2	3					
10	Число действительных избирательных бюллетеней	16516	739	441	291	568	268	535	261	409	233	470	360	118	88	106	146	179	94	109	30	532	256	73	90	153	253	141	175	153	201	174	689	123	35	694	619	449	71	490	108	153	797	51	90	126	104	71	69	359	139	179	106	160	273	105	587	580	177	328	150	93	85	462	80	194	74					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	400	25	13	7	20	10	13	10	7	10	10	10	3	3	3	3	3	3	3	3	10	5	3	3	3	5	3	3	3	3	3	10	5	3	11	16	10	3	10	3	3	7	3	3	3	3	3	6	13	3	3	3	3	4	3	10	10	3	10	3	3	3	10	3	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	210	25	9	6	20	10	13	6	5	3	5	5	0	1	0	0	0	0	1	0	1	1	0	0	0	2	0	1	0	1	1	3	0	0	4	16	9	0	10	0	0	4	2	0	1	0	0	1	13	3	0	0	0	0	0	4	9	1	8	3	2	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	123	4	2	3	1	1	0	1	5	1	5	2	1	1	1	1	2	1	1	0	1	2	1	1	0	2	2	0	1	1	0	2	2	1	3	4	12	5	0	2	1	4	0	1	0	1	0	2	1	2	1	1	1	2	3	0	4	1	4	5	2	3	3	1	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	190	0	4	1	0	0	0	4	2	7	5	5	3	2	3	3	3	3	2	3	9	4	3	3	3	3	3	2	3	2	2	7	5	3	7	0	1	3	0	3	3	3	1	3	2	3	3	5	0	0	3	3	3	4	3	6	1	2	2	0	1	3	10	3	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	1.Политическая партия «Аграрная партия России»	906	37	12	12	31	16	19	8	11	10	4	16	4	6	4	4	6	3	1	4	30	13	0	3	4	19	7	0	1	0	11	23	2	0	61	29	36	3	145	23	32	25	4	10	5	8	5	2	15	15	1	1	18	8	2	13	19	7	37	11	2	5	28	3	9	3					
