Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Ногликская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №371					
1	"Число избирателей, внесенных в список избирателей"	11340	1310	991	1205	2914	1567	1812	474	568	499					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10050	1500	700	800	2500	1300	1500	350	500	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	858	420	0	25	274	0	0	49	90	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4737	403	462	553	1244	637	756	144	247	291					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	171	35	11	4	12	44	35	20	10	0					
6	Число погашенных избирательных бюллетеней	4284	642	227	218	970	619	709	137	153	609					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1029	455	11	29	286	44	35	69	100	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4737	403	462	553	1244	637	756	144	247	291					
9	Число недействительных избирательных бюллетеней	97	17	3	10	34	6	13	4	0	10					
10	Число действительных избирательных бюллетеней	5669	841	470	572	1496	675	778	209	347	281					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	15	18	20	50	27	30	10	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	59	5	4	3	31	3	2	1	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	166	55	7	32	46	3	1	15	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	121	10	14	17	19	24	28	9	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	1	1	4	2	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	577	81	63	63	174	58	69	20	34	15					
		10.01%	9.44%	13.32%	10.82%	11.37%	8.52%	8.72%	9.39%	9.80%	5.15%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	945	204	66	91	219	88	96	50	46	85					
		16.39%	23.78%	13.95%	15.64%	14.31%	12.92%	12.14%	23.47%	13.26%	29.21%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	86	12	6	12	24	7	14	1	5	5					
		1.49%	1.40%	1.27%	2.06%	1.57%	1.03%	1.77%	0.47%	1.44%	1.72%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1080	197	93	101	274	131	131	32	76	45					
		18.73%	22.96%	19.66%	17.35%	17.91%	19.24%	16.56%	15.02%	21.90%	15.46%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	163	26	18	24	46	18	21	1	7	2					
		2.83%	3.03%	3.81%	4.12%	3.01%	2.64%	2.65%	0.47%	2.02%	0.69%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2755	305	223	274	737	368	440	104	178	126					
		47.78%	35.55%	47.15%	47.08%	48.17%	54.04%	55.63%	48.83%	51.30%	43.30%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	63	16	1	7	22	5	7	1	1	3					
		1.09%	1.86%	0.21%	1.20%	1.44%	0.73%	0.88%	0.47%	0.29%	1.03%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
