Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Ногликская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115					
1	"Число избирателей, внесенных в списки избирателей"	10969	1132	975	1244	2839	1598	1703	615	863					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9310	1000	900	1000	2100	1500	1500	500	810					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	838	228	0	0	228	0	0	55	327					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5070	478	543	486	1413	760	829	277	284					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	600	25	35	234	21	84	59	38	104					
6	Число погашенных избирательных бюллетеней	2802	269	322	280	438	656	612	130	95					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1438	253	35	234	249	84	59	93	431					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5066	478	543	486	1411	760	827	277	284					
9	Число недействительных избирательных бюллетеней	54	9	6	6	12	3	8	4	6					
10	Число действительных избирательных бюллетеней	6450	722	572	714	1648	841	878	366	709					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	80	10	10	10	15	10	10	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	64	8	6	9	15	8	10	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	237	25	5	21	139	4	0	0	43					
14	Число погашенных неиспользованных открепительных удостоверений	16	2	4	1	0	2	0	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	3	0	5	5	7	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	75	8	10	10	14	8	10	5	10					
		1.15%	1.09%	1.73%	1.39%	0.84%	0.95%	1.13%	1.35%	1.40%					
19	2.Всероссийская политическая партия «Гражданская Сила»	37	4	1	7	14	6	3	0	2					
		0.57%	0.55%	0.17%	0.97%	0.84%	0.71%	0.34%	0.00%	0.28%					
20	3.Политическая партия «Демократическая партия России»	6	2	0	1	1	0	0	0	2					
		0.09%	0.27%	0.00%	0.14%	0.06%	0.00%	0.00%	0.00%	0.28%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	622	64	44	45	156	109	102	36	66					
		9.56%	8.76%	7.61%	6.25%	9.40%	12.91%	11.51%	9.73%	9.23%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	29	4	4	8	6	2	2	0	3					
		0.45%	0.55%	0.69%	1.11%	0.36%	0.24%	0.23%	0.00%	0.42%					
23	6.Политическая партия «Партия социальной справедливости»	8	2	0	2	4	0	0	0	0					
		0.12%	0.27%	0.00%	0.28%	0.24%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	608	85	52	58	162	58	64	26	103					
		9.35%	11.63%	8.99%	8.06%	9.76%	6.87%	7.22%	7.03%	14.41%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	304	55	23	35	93	27	30	17	24					
		4.67%	7.52%	3.98%	4.86%	5.60%	3.20%	3.39%	4.59%	3.36%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	41	3	3	5	12	3	6	4	5					
		0.63%	0.41%	0.52%	0.69%	0.72%	0.36%	0.68%	1.08%	0.70%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4642	484	424	535	1162	618	656	277	486					
		71.37%	66.21%	73.36%	74.31%	70.00%	73.22%	74.04%	74.86%	67.97%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	78	11	11	8	24	10	5	1	8					
		1.20%	1.50%	1.90%	1.11%	1.45%	1.18%	0.56%	0.27%	1.12%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
