Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
"Наименование Избирательной комиссии:    Дзержинск, Калининская"																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №878	УИК №881	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №911	УИК №912	УИК №913	УИК №918	УИК №935					
1	"Число избирателей, внесенных в списки"	107161	1717	1277	2198	1450	2817	1507	1705	1807	2039	1368	2229	1698	1110	2215	2036	2072	784	1282	1306	1097	1586	489	598	1593	1118	1967	1316	1328	2417	1899	2049	1726	235	1319	1510	1963	1820	1444	1491	580	2103	2294	1411	1329	1414	1465	1368	1185	1363	1513	1480	1378	1460	1159	1289	1260	1228	2066	535	1906	1481	2306	1206	1917	2711	2651	2920	462	139					
2	"Число бюллетеней, полученных участковыми комиссиями"	96600	1500	1150	2000	1300	2600	1350	1550	1650	1850	1250	1650	1500	1000	2000	1850	1900	700	1100	1250	1000	1450	450	550	1450	1000	1800	1200	1200	2200	1750	1850	1550	200	1200	1400	1800	1650	1300	1350	500	1900	2100	1250	1200	1250	1300	1250	1050	1250	1350	1350	1250	1350	1050	1150	1150	1100	1850	500	1700	1350	2100	1100	1750	2400	2400	2650	400	100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45599	757	614	881	777	1477	531	620	806	886	605	1162	726	553	999	859	909	159	435	435	528	636	226	221	690	508	525	621	618	1061	851	879	713	32	689	685	864	760	606	600	132	862	1063	587	542	357	601	562	506	631	652	673	658	602	518	496	563	459	852	230	814	641	1026	555	754	1117	1151	1307	163	21					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2059	54	15	38	31	75	25	16	16	22	26	238	32	29	11	39	39	79	43	43	19	32	47	18	11	24	6	25	25	29	16	21	16	60	24	22	17	28	21	30	52	21	41	24	21	28	24	18	15	9	9	17	24	15	22	26	18	13	17	27	24	12	40	17	8	59	23	18	29	26					
6	Число погашенных бюллетеней	48942	689	521	1081	492	1048	794	914	828	942	619	250	742	418	990	952	952	462	622	772	453	782	177	311	749	468	1269	554	557	1110	883	950	821	108	487	693	919	862	673	720	316	1017	996	639	637	865	675	670	529	610	689	660	568	733	510	628	569	628	981	243	862	697	1034	528	988	1224	1226	1325	208	53					
7	Число бюллетеней в переносных ящиках для голосования	2059	54	15	38	31	75	25	16	16	22	26	238	32	29	11	39	39	79	43	43	19	32	47	18	11	24	6	25	25	29	16	21	16	60	24	22	17	28	21	30	52	21	41	24	21	28	24	18	15	9	9	17	24	15	22	26	18	13	17	27	24	12	40	17	8	59	23	18	29	26					
8	Число бюллетеней в стационарных ящиках для голосования	45581	757	612	881	777	1477	531	617	806	886	605	1155	726	553	999	859	908	159	435	435	528	635	226	221	689	508	525	621	618	1061	851	879	713	32	688	685	864	760	606	600	132	862	1063	587	542	357	601	562	506	631	652	673	658	602	518	496	563	459	851	230	814	641	1025	555	754	1117	1151	1307	163	21					
9	Число недействительных бюллетеней	849	11	7	7	9	41	5	8	13	22	18	14	9	10	5	10	59	6	13	12	7	5	4	4	16	12	25	19	7	18	12	31	17	0	7	10	8	8	11	16	8	19	23	5	11	3	3	5	9	9	3	14	5	11	6	7	12	13	10	11	14	7	22	26	12	21	16	17	11	0					
10	Число действительных бюллетеней	46791	800	620	912	799	1511	551	625	809	886	613	1379	749	572	1005	888	888	232	465	466	540	662	269	235	684	520	506	627	636	1072	855	869	712	92	705	697	873	780	616	614	176	864	1081	606	552	382	622	575	512	631	658	676	677	606	534	515	569	459	858	246	824	646	1043	546	750	1155	1158	1308	181	47					
