Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Константиновская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  2445	УИК  2495	УИК  2496	УИК  2497					
1	"Число избирателей, внесенных в списки"	26891	1838	1827	1710	1743	2092	2103	2236	1103	370	233	382	253	513	458	403	796	332	385	1539	1382	630	807	226	589	431	624	335	294	331	281	373	272					
2	"Число бюллетеней, полученных участковыми комиссиями"	26516	1850	1750	1600	1700	2040	2021	2210	1110	370	230	365	245	525	450	395	830	330	410	1520	1390	630	810	230	590	430	625	345	290	320	275	355	275					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13171	990	911	809	864	962	953	1039	601	225	107	226	141	273	253	248	375	195	173	737	591	300	389	90	260	173	234	184	135	163	178	213	179					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2575	79	165	113	71	64	116	62	68	30	53	40	29	121	106	49	152	22	39	123	128	125	93	63	113	76	125	57	42	53	52	92	54					
6	Число погашенных бюллетеней	10770	781	674	678	765	1014	952	1109	441	115	70	99	75	131	91	98	303	113	198	660	671	205	328	77	217	181	266	104	113	104	45	50	42					
7	Число бюллетеней в переносных ящиках для голосования	2575	79	165	113	71	64	116	62	68	30	53	40	29	121	106	49	152	22	39	123	128	125	93	63	113	76	125	57	42	53	52	92	54					
8	Число бюллетеней в стационарных ящиках для голосования	13166	990	911	806	864	962	953	1037	601	225	107	226	141	273	253	248	375	195	173	737	591	300	389	90	260	173	234	184	135	163	178	213	179					
9	Число недействительных бюллетеней	223	5	2	11	15	9	7	15	4	1	3	6	0	1	7	0	10	4	0	26	15	9	15	6	10	13	6	10	3	0	3	3	4					
10	Число действительных бюллетеней	15518	1064	1074	908	920	1017	1062	1084	665	254	157	260	170	393	352	297	517	213	212	834	704	416	467	147	363	236	353	231	174	216	227	302	229					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	444	30	30	30	30	30	30	30	20	8	4	7	5	10	9	8	16	6	8	25	20	10	10	4	10	8	10	7	6	6	5	7	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	137	10	9	11	12	15	5	15	15	2	4	0	1	10	0	0	10	1	1	6	0	2	3	2	1	0	0	0	0	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	168	12	35	9	8	12	5	3	9	2	1	5	2	2	4	5	3	4	1	7	1	2	6	5	2	1	4	2	2	6	4	1	3					
14	Число погашенных открепительных удостоверений	307	20	21	19	18	15	25	15	5	6	0	7	4	0	9	8	6	5	7	19	20	8	7	2	9	8	10	7	6	6	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	224	12	10	13	3	8	7	17	7	6	5	3	2	6	10	5	10	9	4	12	11	10	8	3	10	5	6	3	3	7	4	1	4					
		1.42%	1.12%	0.92%	1.41%	0.32%	0.77%	0.65%	1.54%	1.04%	2.35%	3.12%	1.12%	1.17%	1.52%	2.78%	1.68%	1.89%	4.14%	1.88%	1.39%	1.52%	2.35%	1.65%	1.96%	2.68%	2.00%	1.67%	1.24%	1.69%	3.24%	1.73%	0.32%	1.71%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	175	18	11	20	7	12	18	29	2	1	2	6	3	2	1	3	4	0	1	5	10	1	5	0	4	0	2	2	4	2	0	0	0					
		1.11%	1.68%	1.02%	2.17%	0.74%	1.16%	1.68%	2.63%	0.29%	0.39%	1.25%	2.25%	1.76%	0.50%	0.27%	1.01%	0.75%	0.0%	0.47%	0.58%	1.39%	0.23%	1.03%	0.0%	1.07%	0.0%	0.55%	0.82%	2.25%	0.92%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	522	56	41	35	63	31	33	53	24	9	3	6	6	12	2	4	16	4	1	18	21	4	10	3	7	6	12	3	12	4	11	11	1					
		3.31%	5.23%	3.81%	3.80%	6.73%	3.02%	3.08%	4.82%	3.58%	3.52%	1.87%	2.25%	3.52%	3.04%	0.55%	1.34%	3.03%	1.84%	0.47%	2.09%	2.92%	0.94%	2.07%	1.96%	1.87%	2.40%	3.34%	1.24%	6.77%	1.85%	4.78%	3.60%	0.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	208	20	17	17	21	14	27	21	8	1	5	0	3	1	1	5	2	1	2	6	10	5	5	1	6	0	0	0	1	6	1	1	0					
		1.32%	1.87%	1.57%	1.84%	2.24%	1.36%	2.52%	1.91%	1.19%	0.39%	3.12%	0.0%	1.76%	0.25%	0.27%	1.68%	0.37%	0.46%	0.94%	0.69%	1.39%	1.17%	1.03%	0.65%	1.60%	0.0%	0.0%	0.0%	0.56%	2.77%	0.43%	0.32%	0.0%					
22	"5. ""За Русь Святую"""	63	4	2	3	5	2	2	1	9	2	0	0	0	0	1	2	2	2	0	4	8	6	2	0	1	1	0	0	1	0	1	0	2					
		0.40%	0.37%	0.18%	0.32%	0.53%	0.19%	0.18%	0.09%	1.34%	0.78%	0.0%	0.0%	0.0%	0.0%	0.27%	0.67%	0.37%	0.92%	0.0%	0.46%	1.11%	1.41%	0.41%	0.0%	0.26%	0.40%	0.0%	0.0%	0.56%	0.0%	0.43%	0.0%	0.85%					
23	"6. ""Объединенная Российская партия ""Русь"""	51	0	5	3	4	3	3	4	1	0	0	1	2	2	0	1	2	0	0	1	5	0	7	1	0	0	2	0	0	0	2	1	1					
		0.32%	0.0%	0.46%	0.32%	0.42%	0.29%	0.28%	0.36%	0.14%	0.0%	0.0%	0.37%	1.17%	0.50%	0.0%	0.33%	0.37%	0.0%	0.0%	0.11%	0.69%	0.0%	1.45%	0.65%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.86%	0.32%	0.42%					
24	"7. ""Новый курс - Автомобильная Россия"""	99	9	9	5	2	10	11	11	7	0	1	0	1	0	2	0	4	2	0	8	4	1	3	0	2	0	1	0	2	3	0	1	0					
		0.62%	0.84%	0.83%	0.54%	0.21%	0.97%	1.02%	1.00%	1.04%	0.0%	0.62%	0.0%	0.58%	0.0%	0.55%	0.0%	0.75%	0.92%	0.0%	0.93%	0.55%	0.23%	0.62%	0.0%	0.53%	0.0%	0.27%	0.0%	1.12%	1.38%	0.0%	0.32%	0.0%					
25	"8. ""Народно-республиканская партия России"""	33	2	0	4	1	0	3	2	1	1	1	1	0	1	0	0	0	1	0	0	3	1	0	1	1	3	4	0	0	0	0	2	0					
		0.20%	0.18%	0.0%	0.43%	0.10%	0.0%	0.28%	0.18%	0.14%	0.39%	0.62%	0.37%	0.0%	0.25%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.41%	0.23%	0.0%	0.65%	0.26%	1.20%	1.11%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	0	4	4	4	2	1	0	1	1	0	1	0	0	2	1	0	0	0	3	2	1	0	0	0	0	1	0	0	0	1	0	1					
		0.19%	0.0%	0.37%	0.43%	0.42%	0.19%	0.09%	0.0%	0.14%	0.39%	0.0%	0.37%	0.0%	0.0%	0.55%	0.33%	0.0%	0.0%	0.0%	0.34%	0.27%	0.23%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.43%	0.0%	0.42%					
27	"10. ""Аграрная партия России"""	697	33	27	31	16	30	28	40	24	10	3	14	5	27	23	41	21	18	19	39	21	38	41	8	24	6	29	14	21	8	18	11	9					
