Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Обская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21380	1523	2109	2097	1527	1548	825	2446	2963	2157	2496	891	798									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20790	1500	2100	2000	1500	1500	800	2400	2900	2100	2400	800	790									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8946	642	767	707	578	589	329	1131	1482	907	1082	415	317									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	297	19	15	96	24	16	3	36	10	16	25	15	22									
6	Число погашенных избирательных бюллетеней	11547	839	1318	1197	898	895	468	1233	1408	1177	1293	370	451									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	297	19	15	96	24	16	3	36	10	16	25	15	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8931	642	762	707	578	589	329	1130	1481	900	1081	415	317									
9	Число недействительных избирательных бюллетеней	550	63	44	41	38	21	15	70	62	53	102	28	13									
10	Число действительных избирательных бюллетеней	8678	598	733	762	564	584	317	1096	1429	863	1004	402	326									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	465	35	45	45	35	35	25	45	60	45	45	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	89	3	6	3	3	10	9	8	21	6	13	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	103	2	1	7	5	8	4	42	11	7	10	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	376	32	39	42	32	25	16	37	39	39	32	22	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	1	1	0	0	0	0	17	2	5	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	204	5	8	15	12	12	6	28	38	47	23	2	8									
		2.21%	0.76%	1.03%	1.87%	1.99%	1.98%	1.81%	2.40%	2.55%	5.13%	2.08%	0.47%	2.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	340	19	28	27	20	7	14	54	53	41	42	19	16									
		3.68%	2.87%	3.60%	3.36%	3.32%	1.16%	4.22%	4.63%	3.55%	4.48%	3.80%	4.42%	4.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	148	7	7	20	7	14	1	24	25	17	13	7	6									
		1.60%	1.06%	0.90%	2.49%	1.16%	2.31%	0.30%	2.06%	1.68%	1.86%	1.18%	1.63%	1.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3468	288	347	333	233	214	141	384	577	271	382	170	128									
		37.58%	43.57%	44.66%	41.47%	38.70%	35.37%	42.47%	32.93%	38.70%	29.59%	34.54%	39.53%	37.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	89	6	3	2	10	9	2	13	23	7	12	1	1									
		0.96%	0.91%	0.39%	0.25%	1.66%	1.49%	0.60%	1.11%	1.54%	0.76%	1.08%	0.23%	0.29%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	3	1	2	1	0	1	5	7	1	1	2	1									
		0.27%	0.45%	0.13%	0.25%	0.17%	0.00%	0.30%	0.43%	0.47%	0.11%	0.09%	0.47%	0.29%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1860	166	162	150	112	105	62	189	312	178	265	101	58									
		20.16%	25.11%	20.85%	18.68%	18.60%	17.36%	18.67%	16.21%	20.93%	19.43%	23.96%	23.49%	17.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	65	2	5	3	4	3	2	11	14	7	7	5	2									
		0.70%	0.30%	0.64%	0.37%	0.66%	0.50%	0.60%	0.94%	0.94%	0.76%	0.63%	1.16%	0.59%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	70	5	5	3	5	7	3	11	9	11	8	0	3									
		0.76%	0.76%	0.64%	0.37%	0.83%	1.16%	0.90%	0.94%	0.60%	1.20%	0.72%	0.00%	0.88%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	3	1	5	1	0	0	2	3	2	3	3	0									
		0.25%	0.45%	0.13%	0.62%	0.17%	0.00%	0.00%	0.17%	0.20%	0.22%	0.27%	0.70%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	127	1	7	3	7	10	5	24	36	9	9	10	6									
		1.38%	0.15%	0.90%	0.37%	1.16%	1.65%	1.51%	2.06%	2.41%	0.98%	0.81%	2.33%	1.77%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1783	74	131	150	127	139	56	292	252	218	186	70	88									
		19.32%	11.20%	16.86%	18.68%	21.10%	22.98%	16.87%	25.04%	16.90%	23.80%	16.82%	16.28%	25.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	37	1	6	2	4	5	3	3	9	1	3	0	0									
		0.40%	0.15%	0.77%	0.25%	0.66%	0.83%	0.90%	0.26%	0.60%	0.11%	0.27%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	439	18	22	47	21	59	21	56	71	53	50	12	9									
		4.76%	2.72%	2.83%	5.85%	3.49%	9.75%	6.33%	4.80%	4.76%	5.79%	4.52%	2.79%	2.65%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
