Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Знаменская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4061	239	310	155	1679	222	289	128	293	376	200	170									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4300	380	315	230	1700	220	290	130	290	375	200	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2234	178	156	95	863	155	145	72	167	193	115	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	428	61	33	60	84	18	50	16	27	35	20	24									
6	Число погашенных избирательных бюллетеней	1638	141	126	75	753	47	95	42	96	147	65	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	428	61	33	60	84	18	50	16	27	35	20	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2234	178	156	95	863	155	145	72	167	193	115	95									
9	Число недействительных избирательных бюллетеней	64	2	8	0	37	1	3	1	5	0	5	2									
10	Число действительных избирательных бюллетеней	2598	237	181	155	910	172	192	87	189	228	130	117									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	75	5	5	6	28	5	1	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	68	3	4	6	28	5	0	5	5	4	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	21	0	0	3	4	0	1	2	5	1	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	7	2	1	0	0	0	1	0	0	1	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	0	1	2	19	1	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	13	2	1	1	6	0	2	0	0	0	1	0									
		0.49%	0.84%	0.53%	0.65%	0.63%	0.00%	1.03%	0.00%	0.00%	0.00%	0.74%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	114	7	6	2	56	8	7	8	8	5	1	6									
		4.28%	2.93%	3.17%	1.29%	5.91%	4.62%	3.59%	9.09%	4.12%	2.19%	0.74%	5.04%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	33	2	1	1	15	3	2	2	1	2	0	4									
		1.24%	0.84%	0.53%	0.65%	1.58%	1.73%	1.03%	2.27%	0.52%	0.88%	0.00%	3.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1412	138	107	108	400	97	109	56	113	141	66	77									
		53.04%	57.74%	56.61%	69.68%	42.24%	56.07%	55.90%	63.64%	58.25%	61.84%	48.89%	64.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	1	1	0	5	0	1	0	0	2	0	0									
		0.38%	0.42%	0.53%	0.00%	0.53%	0.00%	0.51%	0.00%	0.00%	0.88%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	1	0	2	1	0	1	0	0	0	1									
		0.23%	0.00%	0.53%	0.00%	0.21%	0.58%	0.00%	1.14%	0.00%	0.00%	0.00%	0.84%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	379	20	25	24	172	29	26	12	37	25	4	5									
		14.24%	8.37%	13.23%	15.48%	18.16%	16.76%	13.33%	13.64%	19.07%	10.96%	2.96%	4.20%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	1	0	0	5	0	0	0	1	0	0	0									
		0.26%	0.42%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	0	0	0	5	1	1	1	0	1	0	1									
		0.38%	0.00%	0.00%	0.00%	0.53%	0.58%	0.51%	1.14%	0.00%	0.44%	0.00%	0.84%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	1	0	1	0	0	0	1	0	0	0									
		0.11%	0.00%	0.53%	0.00%	0.11%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	0	2	1	4	0	2	0	0	1	0	0									
		0.38%	0.00%	1.06%	0.65%	0.42%	0.00%	1.03%	0.00%	0.00%	0.44%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	517	59	31	15	201	31	37	7	24	40	56	16									
		19.42%	24.69%	16.40%	9.68%	21.22%	17.92%	18.97%	7.95%	12.37%	17.54%	41.48%	13.45%									
