Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
"Наименование Избирательной комиссии:    Тольятти, Центральная"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755					
1	"Число избирателей, внесенных в списки избирателей"	122678	2126	2022	2460	2386	2119	2125	2146	2034	1856	2181	2328	2151	2374	2151	2068	1961	2034	2663	2296	2307	2104	2243	2163	2248	2378	2644	2178	2443	2486	2213	2266	2285	2326	2294	2260	2743	2864	2345	2485	2221	1802	2413	2545	2857	2903	2212	2923	2322	2564	2293	2486	2425	1229	226	343	158					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	97812	1662	1607	1962	1909	1691	1694	1720	1619	1480	1758	1866	1718	1900	1721	1664	1564	1642	2098	1818	1842	1676	1769	1752	1797	1911	2113	1743	1951	1971	1784	1801	1838	1846	1838	1802	2174	2303	1869	1967	1709	1450	1902	2012	2280	2301	1750	2315	1838	2023	1831	1987	1934	963	185	339	153					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	56279	1147	908	1084	1240	1053	1061	1143	1038	939	1159	1162	1179	1270	1118	1046	1085	1072	1101	1083	1095	1019	961	847	1120	1145	1114	1119	1184	1147	1097	1083	1144	955	1098	975	1117	1232	1204	1098	895	613	835	949	1196	1233	918	1153	655	932	800	1114	1135	660	154	246	149					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1703	35	51	26	37	48	29	46	33	29	17	13	23	19	11	15	15	22	9	20	36	48	71	47	62	68	25	28	40	25	32	27	21	24	32	17	24	45	26	33	109	19	24	21	17	24	42	54	53	36	20	9	9	33	4	0	0					
6	Число погашенных избирательных бюллетеней	39830	480	648	852	632	590	604	531	548	512	582	691	516	611	592	603	464	548	988	715	711	609	737	858	615	698	974	596	727	799	655	691	673	867	708	810	1033	1026	639	836	705	818	1043	1042	1067	1044	790	1108	1130	1055	1011	864	790	270	27	93	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1703	35	51	26	37	48	29	46	33	29	17	13	23	19	11	15	15	22	9	20	36	48	71	47	62	68	25	28	40	25	32	27	21	24	32	17	24	45	26	33	109	19	24	21	17	24	42	54	53	36	20	9	9	33	4	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56240	1147	908	1083	1240	1053	1059	1142	1037	938	1159	1161	1179	1270	1116	1046	1081	1072	1100	1083	1095	1019	961	846	1120	1145	1114	1118	1183	1147	1097	1081	1141	952	1098	975	1116	1232	1204	1098	894	613	833	943	1196	1233	918	1153	655	929	800	1113	1135	660	154	246	149					
9	Число недействительных избирательных бюллетеней	543	6	6	12	13	11	6	9	13	15	5	11	6	8	13	11	9	14	4	10	8	23	7	6	14	8	9	12	14	5	17	13	8	10	11	14	15	6	11	9	7	10	7	13	13	12	0	11	5	2	4	10	13	9	8	16	1					
10	Число действительных избирательных бюллетеней	57400	1176	953	1097	1264	1090	1082	1179	1057	952	1171	1163	1196	1281	1114	1050	1087	1080	1105	1093	1123	1044	1025	887	1168	1205	1130	1134	1209	1167	1112	1095	1154	966	1119	978	1125	1271	1219	1122	996	622	850	951	1200	1245	960	1196	703	963	816	1112	1131	684	150	230	148					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2080	30	30	40	40	40	40	40	40	30	40	40	40	40	40	40	30	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	30	40	40	40	40	40	40	40	40	40	40	40	30	10	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	916	21	25	24	15	14	11	23	12	13	19	21	15	21	19	13	9	17	17	10	25	10	8	14	22	21	21	20	18	23	20	15	17	10	16	12	14	21	17	19	13	18	11	11	11	31	15	26	11	14	27	23	25	13	3	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	624	20	15	12	14	20	12	8	4	8	13	4	19	10	9	7	14	7	6	8	13	8	22	4	14	20	8	8	11	11	11	9	6	9	6	15	17	8	11	19	10	8	10	10	5	8	11	28	7	6	7	3	5	15	28	10	13					
14	Число погашенных неиспользованных открепительных удостоверений	1164	9	5	16	25	26	29	17	28	17	21	19	25	19	21	27	21	23	23	30	15	30	32	26	18	19	19	20	22	17	20	25	23	30	24	28	26	19	23	21	27	12	29	29	29	9	25	14	29	26	13	17	15	17	7	8	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	2	0	0	1	1	0	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	1.Политическая партия «Аграрная партия России»	1569	39	27	34	53	40	31	35	22	33	24	32	49	31	37	27	26	33	23	31	22	30	30	31	30	41	30	26	36	28	28	28	33	32	33	29	40	40	25	26	28	18	22	20	21	26	29	31	25	21	13	25	18	19	3	4	1					
		2.71%	3.30%	2.82%	3.07%	4.15%	3.63%	2.85%	2.95%	2.06%	3.41%	2.04%	2.73%	4.08%	2.40%	3.28%	2.54%	2.37%	3.02%	2.07%	2.81%	1.95%	2.81%	2.91%	3.47%	2.54%	3.38%	2.63%	2.27%	2.94%	2.39%	2.48%	2.53%	2.84%	3.28%	2.92%	2.92%	3.51%	3.13%	2.03%	2.30%	2.79%	2.85%	2.57%	2.07%	1.73%	2.07%	3.02%	2.57%	3.53%	2.18%	1.59%	2.23%	1.57%	2.74%	1.90%	1.63%	0.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1395	50	26	43	25	23	34	28	25	26	36	34	31	50	35	33	40	31	23	30	35	32	22	13	25	32	28	27	17	16	21	28	20	29	29	17	17	14	23	29	16	4	21	18	16	46	13	20	6	25	15	26	25	42	1	2	2					
