Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Сосновоборская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1007	УИК №1008	УИК №1009	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13495	96	68	371	73	195	215	1615	1586	75	203	103	251	50	258	315	155	405	82	72	223	127	970	1063	1283	813	1132	329	165	568	57	160	336	81									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12595	95	65	350	70	200	210	1500	1500	75	200	100	200	50	250	300	150	380	80	70	200	120	800	900	1100	1000	1000	330	150	550	55	150	320	75									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10116	59	64	288	53	133	153	1326	1337	34	139	70	171	28	197	270	123	307	74	65	150	89	574	854	874	789	679	250	125	415	34	103	229	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	922	26	0	27	13	18	32	30	27	20	38	13	24	7	23	28	23	14	0	0	43	19	64	46	59	24	72	21	25	89	11	31	43	12									
6	Число погашенных избирательных бюллетеней	1557	10	1	35	4	49	25	144	136	21	23	17	5	15	30	2	4	59	6	5	7	12	162	0	167	187	249	59	0	46	10	16	48	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	922	26	0	27	13	18	32	30	27	20	38	13	24	7	23	28	23	14	0	0	43	19	64	46	59	24	72	21	25	89	11	31	43	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10116	59	64	288	53	133	153	1326	1337	34	139	70	171	28	197	270	123	307	74	65	150	89	574	854	874	789	679	250	125	415	34	103	229	60									
9	Число недействительных избирательных бюллетеней	78	1	0	0	0	0	0	0	0	0	1	0	0	0	11	4	0	34	0	1	4	0	0	3	10	0	2	2	2	3	0	0	0	0									
10	Число действительных избирательных бюллетеней	10960	84	64	315	66	151	185	1356	1364	54	176	83	195	35	209	294	146	287	74	64	189	108	638	897	923	813	749	269	148	501	45	134	272	72									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	174	2	2	5	2	4	2	5	5	2	2	2	5	2	5	11	5	5	2	2	5	2	8	28	12	9	9	4	2	15	2	2	4	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	97	2	0	5	0	2	0	2	2	1	0	0	3	0	1	11	5	2	1	0	1	0	6	8	12	7	8	1	2	15	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	6	1	2	3	0	0	0	0	1	1	1	1	1	0	2	3	4	1	1	3	1	4	1	0	1	12	1	1	1	0	1	1	5									
14	Число погашенных неиспользованных открепительных удостоверений	77	0	2	0	2	2	2	3	3	1	2	2	2	2	4	0	0	3	1	2	4	2	2	20	0	2	1	3	0	0	2	2	4	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	0	0	3	0	3	0	2	2	0	0	0	1	0	0	9	0	1	0	0	3	0	6	2	6	7	5	2	1	4	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	1	0	0	0	0	0	2	0	1	0	0	1	0	1	0	1	2	0	0	1	1	3	6	17	4	10	2	1	6	0	0	0	0									
