Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Иваново, Октябрьская"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №780	УИК №8148	УИК №8150	УИК №8151									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	71217	1578	1583	1692	1599	1828	1075	976	1317	1329	1240	1122	998	1257	1298	1220	975	970	1534	1057	989	1228	1177	1809	1275	2020	1930	1906	1410	1461	1435	1555	1518	1584	1295	1291	1326	1338	1176	1584	1669	2203	1624	1488	1485	1464	1474	1412	1333	1380	404	346	356	624									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79275	1500	1500	1500	1500	1300	1000	900	1000	1000	1000	1000	900	1000	1000	1000	900	900	1300	1000	900	1000	1000	1500	1000	1500	1500	1500	1300	1300	1300	1300	1300	1500	1000	1000	1100	1100	1000	1300	1500	1500	1300	1300	1300	1300	1300	1300	1100	1100	455	4120	4100	12000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22280	461	510	602	534	832	319	292	382	465	382	325	308	398	396	373	259	288	367	381	355	461	394	411	399	572	602	520	318	266	355	264	386	367	418	356	376	352	328	534	594	926	577	465	446	428	432	344	257	307	397	223	356	620									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	978	12	14	6	17	113	2	4	11	14	5	15	6	31	26	5	3	7	34	13	1	29	25	32	11	8	9	4	6	43	22	42	27	30	16	9	44	36	13	7	45	14	17	8	12	9	7	26	64	18	0	2	0	4									
6	Число погашенных избирательных бюллетеней	55906	1027	976	892	949	355	679	604	607	521	613	660	586	571	578	622	638	605	899	606	544	510	581	1057	590	920	889	976	976	991	923	994	887	1103	566	635	680	712	659	759	861	560	706	827	842	863	861	930	779	775	58	3784	3744	11376									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1089	12	14	6	17	113	2	4	11	14	5	15	6	31	26	5	3	7	34	13	1	29	25	32	11	8	9	4	6	43	22	42	27	30	16	9	44	36	13	7	45	14	17	8	12	9	7	26	64	18	0	113	0	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22264	461	510	602	532	832	319	292	382	465	382	325	302	398	396	373	259	288	367	381	355	461	392	411	399	571	602	519	318	266	355	264	386	367	418	356	376	352	328	534	594	926	577	462	446	428	432	344	257	307	397	222	356	620									
9	Число недействительных избирательных бюллетеней	435	5	12	12	1	23	5	1	8	5	4	8	8	5	6	10	4	3	5	7	10	12	3	17	18	13	9	13	6	7	12	5	3	8	6	4	3	5	3	10	12	39	11	5	10	10	6	7	3	7	14	4	2	6									
10	Число действительных избирательных бюллетеней	22918	468	512	596	548	922	316	295	385	474	383	332	300	424	416	368	258	292	396	387	346	478	414	426	392	566	602	510	318	302	365	301	410	389	428	361	417	383	338	531	627	901	583	465	448	427	433	363	318	318	383	331	354	618									
