Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Сернурская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в список"	17645	1205	1470	172	990	1674	1905	456	249	179	483	181	489	183	479	249	499	214	533	219	396	552	329	200	762	199	225	309	1034	323	140	471	224	415	237					
2	Число полученных избирательных бюллетеней	17770	1150	1350	180	1030	1600	1800	480	260	190	500	190	500	190	500	270	500	220	530	220	420	610	360	240	800	200	230	320	1000	350	150	500	250	430	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11196	784	844	139	589	1068	1202	269	140	144	262	129	180	122	342	202	317	177	267	158	261	302	222	126	490	120	159	209	682	232	90	357	188	267	156					
5	"Число избирательных бюллетеней, выданных вне помещения"	2386	89	63	6	135	45	47	113	79	25	117	36	206	13	84	23	99	20	166	42	96	162	43	61	86	49	43	51	100	60	31	48	30	76	42					
6	Число погашенных избирательных бюллетеней	4188	277	443	35	306	487	551	98	41	21	121	25	114	55	74	45	84	23	97	20	63	146	95	53	224	31	28	60	218	58	29	95	32	87	52					
7	Число избирательных бюллетеней в переносных ящиках	2386	89	63	6	135	45	47	113	79	25	117	36	206	13	84	23	99	20	166	42	96	162	43	61	86	49	43	51	100	60	31	48	30	76	42					
8	Число бюллетеней в стационарных ящиках для голосования	11196	784	844	139	589	1068	1202	269	140	144	262	129	180	122	342	202	317	177	267	158	261	302	222	126	490	120	159	209	682	232	90	357	188	267	156					
9	Число недействительных избирательных бюллетеней	83	10	11	2	0	7	5	2	0	0	0	0	0	0	0	4	3	0	5	1	0	1	4	1	3	0	0	0	11	0	0	4	1	6	2					
10	Число действительных избирательных бюллетеней	13499	863	896	143	724	1106	1244	380	219	169	379	165	386	135	426	221	413	197	428	199	357	463	261	186	573	169	202	260	771	292	121	401	217	337	196					
11	Число полученных открепительных  удостоверений	491	19	20	15	20	31	20	25	15	10	17	10	7	10	15	10	10	10	25	5	10	20	15	12	15	0	10	10	27	20	10	13	13	12	10					
12	Число выданных открепительных удостоверений	445	19	16	9	16	30	19	25	15	10	17	8	5	8	15	10	8	4	25	2	7	20	13	12	14	0	7	8	27	20	8	13	13	12	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	18	15	5	9	6	12	6	6	0	5	3	1	2	5	1	3	0	1	2	0	1	2	3	6	1	1	4	12	2	1	5	5	3	1					
14	Число неиспользованных открепительных удостоверений	46	0	4	6	4	1	1	0	0	0	0	2	2	2	0	0	2	6	0	3	3	0	2	0	1	0	3	2	0	0	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	272	28	22	2	21	32	36	4	4	0	2	3	10	6	7	1	7	1	5	1	5	14	4	7	7	3	0	3	12	3	1	7	2	9	3					
		2.00%	3.21%	2.43%	1.38%	2.90%	2.88%	2.88%	1.05%	1.83%	0.00%	0.53%	1.82%	2.59%	4.44%	1.64%	0.44%	1.68%	0.51%	1.15%	0.50%	1.40%	3.02%	1.51%	3.74%	1.22%	1.78%	0.00%	1.15%	1.53%	1.03%	0.83%	1.73%	0.92%	2.62%	1.52%					
19	. Малышкин Олег Александрович	429	29	30	5	24	27	42	13	8	9	15	11	11	10	10	13	11	7	8	9	9	14	4	10	18	1	2	3	23	13	9	14	10	5	2					
		3.16%	3.32%	3.31%	3.45%	3.31%	2.43%	3.36%	3.40%	3.65%	5.33%	3.96%	6.67%	2.85%	7.41%	2.35%	5.78%	2.64%	3.55%	1.85%	4.50%	2.52%	3.02%	1.51%	5.35%	3.12%	0.59%	0.99%	1.15%	2.94%	4.45%	7.44%	3.46%	4.59%	1.46%	1.01%					
20	. Миронов Сергей Михайлович	124	15	12	1	6	13	16	5	2	1	0	0	3	0	2	0	6	3	1	3	4	5	4	4	3	0	1	1	5	0	0	4	2	2	0					
		0.91%	1.72%	1.32%	0.69%	0.83%	1.17%	1.28%	1.31%	0.91%	0.59%	0.00%	0.00%	0.78%	0.00%	0.47%	0.00%	1.44%	1.52%	0.23%	1.50%	1.12%	1.08%	1.51%	2.14%	0.52%	0.00%	0.50%	0.38%	0.64%	0.00%	0.00%	0.99%	0.92%	0.58%	0.00%					
21	. Путин Владимир Владимирович	8491	526	601	118	451	690	784	260	163	111	236	119	225	83	272	151	243	103	314	144	207	262	187	100	334	131	170	208	526	147	78	238	129	124	56					
		62.52%	60.25%	66.26%	81.38%	62.29%	61.99%	62.77%	68.06%	74.43%	65.68%	62.27%	72.12%	58.29%	61.48%	63.85%	67.11%	58.41%	52.28%	72.52%	72.00%	57.98%	56.47%	70.57%	53.48%	57.99%	77.51%	84.16%	80.00%	67.26%	50.34%	64.46%	58.77%	59.17%	36.15%	28.28%					
22	. Хакамада Ирина Муцуовна	289	29	20	0	23	29	35	9	2	7	12	6	9	5	6	4	9	0	8	3	2	7	2	5	21	0	3	4	6	3	2	5	2	7	4					
		2.13%	3.32%	2.21%	0.00%	3.18%	2.61%	2.80%	2.36%	0.91%	4.14%	3.17%	3.64%	2.33%	3.70%	1.41%	1.78%	2.16%	0.00%	1.85%	1.50%	0.56%	1.51%	0.75%	2.67%	3.65%	0.00%	1.49%	1.54%	0.77%	1.03%	1.65%	1.23%	0.92%	2.04%	2.02%					
23	. Харитонов Николай Михайлович	3598	201	192	14	178	278	301	78	39	40	110	26	118	28	120	45	129	81	88	36	121	157	57	55	186	32	25	38	184	124	29	114	66	180	128					
		26.49%	23.02%	21.17%	9.66%	24.59%	24.98%	24.10%	20.42%	17.81%	23.67%	29.02%	15.76%	30.57%	20.74%	28.17%	20.00%	31.01%	41.12%	20.32%	18.00%	33.89%	33.84%	21.51%	29.41%	32.29%	18.93%	12.38%	14.62%	23.53%	42.47%	23.97%	28.15%	30.28%	52.48%	64.65%					
																																									
24	Против всех	296	35	19	3	21	37	30	11	1	1	4	0	10	3	9	7	8	2	4	3	9	4	3	5	4	2	1	3	15	2	2	19	6	10	3					
		2.18%	4.01%	2.09%	2.07%	2.90%	3.32%	2.40%	2.88%	0.46%	0.59%	1.06%	0.00%	2.59%	2.22%	2.11%	3.11%	1.92%	1.02%	0.92%	1.50%	2.52%	0.86%	1.13%	2.67%	0.69%	1.18%	0.50%	1.15%	1.92%	0.68%	1.65%	4.69%	2.75%	2.92%	1.52%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
