Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Березовская городская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173					
1	"Число избирателей, внесенных в списки"	46345	1496	1763	2933	2876	2799	71	1583	1548	1651	1081	1502	619	1340	1717	1081	771	796	446	1562	1451	1420	1655	2732	1250	1236	164	1662	182	162	111	1480	1264	305	1653	1034	158	613	178					
2	"Число бюллетеней, полученных участковыми комиссиями"	41836	1326	1594	2666	2564	2612	80	1437	1407	1498	986	1333	556	1211	1396	965	710	686	392	1391	1304	1270	1522	2565	1101	1114	166	1482	174	165	110	1395	1136	262	1484	927	157	522	170					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20168	600	820	1364	1356	1353	30	731	611	567	460	615	205	584	618	385	296	262	180	706	658	634	755	1161	601	414	132	749	82	95	68	708	518	100	869	416	105	254	106					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2112	40	14	21	67	91	41	38	42	67	44	30	30	36	104	39	24	55	23	26	34	20	24	109	92	100	0	97	29	25	8	125	207	65	22	230	0	68	25					
6	Число погашенных бюллетеней	19556	686	760	1281	1141	1168	9	668	754	864	482	688	321	591	674	541	390	369	189	659	612	616	743	1295	408	600	34	636	63	45	34	562	411	97	593	281	52	200	39					
7	Число бюллетеней в переносных ящиках для голосования	2112	40	14	21	67	91	41	38	42	67	44	30	30	36	104	39	24	55	23	26	34	20	24	109	92	100	0	97	29	25	8	125	207	65	22	230	0	68	25					
8	Число бюллетеней в стационарных ящиках для голосования	20165	600	820	1364	1356	1352	30	731	611	567	460	615	205	584	618	385	296	262	180	706	657	634	755	1161	601	414	132	749	82	95	68	708	518	100	869	416	105	254	105					
9	Число недействительных бюллетеней	375	18	16	23	24	21	4	12	7	20	12	11	6	7	19	3	5	4	2	11	10	9	14	16	19	1	0	18	2	0	0	10	10	7	17	9	0	5	3					
10	Число действительных бюллетеней	21902	622	818	1362	1399	1422	67	757	646	614	492	634	229	613	703	421	315	313	201	721	681	645	765	1254	674	513	132	828	109	120	76	823	715	158	874	637	105	317	127					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	499	15	15	20	20	20	0	15	15	15	15	15	12	15	15	12	12	12	12	15	15	15	15	20	15	15	5	15	5	5	5	15	15	7	20	20	5	12	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	200	5	11	14	8	13	0	6	6	4	10	0	9	2	6	5	4	0	0	5	6	6	3	11	11	1	0	13	0	0	0	4	13	0	17	6	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	191	4	7	3	4	8	4	5	6	5	0	5	2	5	10	8	4	6	1	2	1	3	4	5	6	4	0	9	10	0	3	8	9	6	5	12	0	13	4					
14	Число погашенных открепительных удостоверений	299	10	4	6	12	7	0	9	9	11	5	15	3	13	9	7	8	12	12	10	9	9	12	9	4	14	5	2	5	5	5	11	2	7	3	14	5	11	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	234	11	8	12	9	14	0	5	9	8	5	3	3	5	5	1	2	7	3	4	11	9	5	14	5	4	1	14	0	1	0	10	7	1	20	5	4	6	3					
		1.05%	1.71%	0.95%	0.86%	0.63%	0.97%	0.0%	0.65%	1.37%	1.26%	0.99%	0.46%	1.27%	0.80%	0.69%	0.23%	0.62%	2.20%	1.47%	0.54%	1.59%	1.37%	0.64%	1.10%	0.72%	0.77%	0.75%	1.65%	0.0%	0.83%	0.0%	1.20%	0.96%	0.60%	2.24%	0.77%	3.80%	1.86%	2.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1256	54	75	136	97	132	5	27	42	32	21	46	16	33	32	22	11	16	17	34	46	48	59	75	21	27	2	28	0	0	0	2	22	2	36	26	6	3	5					
		5.63%	8.43%	8.99%	9.81%	6.81%	9.14%	7.04%	3.51%	6.43%	5.04%	4.16%	7.13%	6.80%	5.32%	4.43%	5.18%	3.43%	5.04%	8.37%	4.64%	6.65%	7.33%	7.57%	5.90%	3.03%	5.25%	1.51%	3.30%	0.0%	0.0%	0.0%	0.24%	3.03%	1.21%	4.04%	4.02%	5.71%	0.93%	3.84%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1405	33	32	74	87	102	6	48	47	52	26	42	13	33	50	18	25	24	22	45	61	48	43	78	44	42	4	60	4	3	5	66	58	14	41	14	5	26	10					
		6.30%	5.15%	3.83%	5.34%	6.11%	7.06%	8.45%	6.24%	7.19%	8.20%	5.15%	6.51%	5.53%	5.32%	6.92%	4.24%	7.81%	7.57%	10.83%	6.14%	8.82%	7.33%	5.51%	6.14%	6.34%	8.17%	3.03%	7.09%	3.60%	2.5%	6.57%	7.92%	8.0%	8.48%	4.60%	2.16%	4.76%	8.07%	7.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1344	50	76	91	107	129	2	55	51	34	27	55	18	36	37	42	24	11	6	42	47	52	51	78	22	17	0	37	1	3	2	25	19	6	48	19	7	14	3					
		6.03%	7.81%	9.11%	6.57%	7.51%	8.93%	2.81%	7.15%	7.81%	5.36%	5.35%	8.52%	7.65%	5.80%	5.12%	9.90%	7.5%	3.47%	2.95%	5.73%	6.80%	7.95%	6.54%	6.14%	3.17%	3.30%	0.0%	4.37%	0.90%	2.5%	2.63%	3.00%	2.62%	3.63%	5.38%	2.94%	6.66%	4.34%	2.30%					
22	"5. ""За Русь Святую"""	115	2	3	4	13	12	1	4	1	4	5	1	0	0	4	1	3	0	2	1	6	3	2	5	2	6	0	10	0	1	0	8	1	2	3	1	1	1	2					
		0.51%	0.31%	0.35%	0.28%	0.91%	0.83%	1.40%	0.52%	0.15%	0.63%	0.99%	0.15%	0.0%	0.0%	0.55%	0.23%	0.93%	0.0%	0.98%	0.13%	0.86%	0.45%	0.25%	0.39%	0.28%	1.16%	0.0%	1.18%	0.0%	0.83%	0.0%	0.96%	0.13%	1.21%	0.33%	0.15%	0.95%	0.31%	1.53%					
23	"6. ""Объединенная Российская партия ""Русь"""	87	1	1	8	9	2	0	0	4	4	3	4	0	2	1	5	2	2	1	3	2	2	1	9	2	2	0	2	2	0	1	2	3	1	2	3	0	1	0					
		0.39%	0.15%	0.11%	0.57%	0.63%	0.13%	0.0%	0.0%	0.61%	0.63%	0.59%	0.62%	0.0%	0.32%	0.13%	1.17%	0.62%	0.63%	0.49%	0.40%	0.28%	0.30%	0.12%	0.70%	0.28%	0.38%	0.0%	0.23%	1.80%	0.0%	1.31%	0.24%	0.41%	0.60%	0.22%	0.46%	0.0%	0.31%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	193	2	7	16	14	8	0	9	7	3	4	7	2	8	13	10	3	6	2	5	7	8	5	8	3	1	3	6	1	0	1	3	5	0	7	1	3	1	4					
		0.86%	0.31%	0.83%	1.15%	0.98%	0.55%	0.0%	1.17%	1.07%	0.47%	0.79%	1.08%	0.85%	1.29%	1.80%	2.35%	0.93%	1.89%	0.98%	0.68%	1.01%	1.22%	0.64%	0.62%	0.43%	0.19%	2.27%	0.70%	0.90%	0.0%	1.31%	0.36%	0.68%	0.0%	0.78%	0.15%	2.85%	0.31%	3.07%					
25	"8. ""Народно-республиканская партия России"""	42	2	1	5	1	2	0	2	2	0	1	0	0	2	1	1	0	0	1	2	0	0	0	1	3	2	0	4	0	0	0	4	1	0	2	0	0	1	1					
		0.18%	0.31%	0.11%	0.36%	0.07%	0.13%	0.0%	0.26%	0.30%	0.0%	0.19%	0.0%	0.0%	0.32%	0.13%	0.23%	0.0%	0.0%	0.49%	0.27%	0.0%	0.0%	0.0%	0.07%	0.43%	0.38%	0.0%	0.47%	0.0%	0.0%	0.0%	0.48%	0.13%	0.0%	0.22%	0.0%	0.0%	0.31%	0.76%					
26	"9. ""Российская экологическая партия ""Зеленые"""	105	1	5	9	8	10	0	6	4	3	1	2	2	4	3	1	2	0	0	0	3	7	5	8	5	1	0	6	0	0	0	2	0	1	5	1	0	0	0					
		0.47%	0.15%	0.59%	0.64%	0.56%	0.69%	0.0%	0.78%	0.61%	0.47%	0.19%	0.31%	0.85%	0.64%	0.41%	0.23%	0.62%	0.0%	0.0%	0.0%	0.43%	1.07%	0.64%	0.62%	0.72%	0.19%	0.0%	0.70%	0.0%	0.0%	0.0%	0.24%	0.0%	0.60%	0.56%	0.15%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	490	12	18	31	23	26	2	17	21	13	22	15	6	14	21	15	5	6	4	16	15	10	14	15	21	6	1	25	3	3	5	24	7	3	19	10	3	12	7					
