Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Мензелинская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21807	340	292	233	400	105	401	53	347	236	390	264	162	228	202	659	189	646	148	105	306	352	88	270	396	83	358	235	280	129	247	169	234	176	232	286	188	955	664	672	803	679	774	957	1015	825	936	919	879	1034	671	595									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22349	345	296	231	405	108	404	53	347	236	405	266	165	230	205	663	191	649	149	106	311	355	90	272	398	84	359	237	280	129	250	169	235	176	236	293	194	992	693	697	831	698	810	984	1054	859	973	946	906	1063	695	626									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20404	340	284	231	383	99	387	53	342	230	370	264	150	203	175	582	171	624	144	105	299	346	88	221	342	69	334	214	261	129	237	164	230	163	227	280	180	909	637	578	769	642	692	894	942	786	911	707	787	1012	653	564									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1171	0	8	0	17	6	14	0	5	5	20	0	12	25	25	57	18	6	4	0	7	4	0	49	53	14	24	21	19	0	10	0	4	13	5	6	8	36	19	77	24	33	71	53	50	19	25	195	59	13	13	25									
6	Число погашенных избирательных бюллетеней	774	5	4	0	5	3	3	0	0	1	15	2	3	2	5	24	2	19	1	1	5	5	2	2	3	1	1	2	0	0	3	5	1	0	4	7	6	47	37	42	38	23	47	37	62	54	37	44	60	38	29	37									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1171	0	8	0	17	6	14	0	5	5	20	0	12	25	25	57	18	6	4	0	7	4	0	49	53	14	24	21	19	0	10	0	4	13	5	6	8	36	19	77	24	33	71	53	50	19	25	195	59	13	13	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20404	340	284	231	383	99	387	53	342	230	370	264	150	203	175	582	171	624	144	105	299	346	88	221	342	69	334	214	261	129	237	164	230	163	227	280	180	909	637	578	769	642	692	894	942	786	911	707	787	1012	653	564									
9	Число недействительных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0									
10	Число действительных избирательных бюллетеней	21571	340	292	231	400	105	401	53	347	235	390	264	162	228	200	639	189	630	148	105	306	350	88	270	395	83	358	235	280	129	247	164	234	176	232	286	188	945	656	655	793	675	763	947	990	805	936	900	846	1025	666	589									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	595	5	2	2	3	3	3	1	1	1	10	1	1	2	1	6	2	5	1	1	5	4	2	4	0	2	1	1	4	1	6	4	2	2	4	4	5	37	29	29	33	29	32	36	38	33	36	32	34	36	29	30									
