Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Порховская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635					
1	"Число избирателей, внесенных в список"	22407	1448	1837	1582	1669	1752	1690	724	727	514	400	251	1516	405	440	477	119	551	915	902	1219	636	243	278	285	247	186	218	202	458	131	385					
2	Число полученных избирательных бюллетеней	22410	1385	1853	1601	1692	1743	1683	720	669	509	527	251	1533	404	479	491	117	552	923	843	1213	638	237	278	265	239	185	215	201	448	129	387					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9974	651	942	844	936	876	769	164	310	152	222	90	681	216	209	274	102	188	282	275	401	236	87	84	76	60	88	114	147	275	92	131					
5	"Число избирательных бюллетеней, выданных вне помещения"	3699	112	45	13	35	51	47	385	214	226	178	112	63	44	131	66	0	207	224	301	224	144	89	129	150	129	53	34	23	95	13	162					
6	Число погашенных избирательных бюллетеней	8737	622	866	744	721	816	867	171	145	131	127	49	789	144	139	151	15	157	417	267	588	258	61	65	39	50	44	67	31	78	24	94					
7	Число избирательных бюллетеней в переносных ящиках	3699	112	45	13	35	51	47	385	214	226	178	112	63	44	131	66	0	207	224	301	224	144	89	129	150	129	53	34	23	95	13	162					
8	Число бюллетеней в стационарных ящиках для голосования	9973	651	942	844	935	876	769	164	310	152	222	90	681	216	209	274	102	188	282	275	401	236	87	84	76	60	88	114	147	275	92	131					
9	Число недействительных избирательных бюллетеней	84	3	8	5	6	5	9	5	7	1	2	1	5	2	0	3	0	0	2	6	1	4	0	1	0	0	0	1	1	2	3	1					
10	Число действительных избирательных бюллетеней	13588	760	979	852	964	922	807	544	517	377	398	201	739	258	340	337	102	395	504	570	624	376	176	212	226	189	141	147	169	368	102	292					
11	Число полученных открепительных  удостоверений	346	36	25	25	25	25	25	10	10	9	9	4	20	5	9	9	2	10	10	10	20	10	4	4	4	4	4	4	4	4	2	4					
12	Число выданных открепительных удостоверений	96	5	18	10	11	6	4	2	2	1	0	2	8	0	3	2	0	0	3	2	11	0	0	0	1	0	2	1	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	183	6	9	6	5	9	3	9	3	4	5	2	1	2	2	4	3	4	3	65	6	4	4	2	3	3	5	3	1	3	2	2					
14	Число неиспользованных открепительных удостоверений	250	31	7	15	14	19	21	8	8	8	9	2	12	5	6	7	2	10	7	8	9	10	4	4	3	4	2	3	4	4	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
