Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Большереченская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554					
1	"Число избирателей, внесенных в списки избирателей"	23522	1121	1089	1090	1229	789	656	429	1041	1345	847	120	1381	192	960	57	146	921	60	157	82	521	51	68	191	947	203	87	116	663	149	56	93	148	83	628	66	209	124	486	96	189	63	489	552	260	83	461	128	166	64	433	70	140	170	1131	237	189					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23213	1000	1000	1000	1000	800	650	420	1000	1100	800	120	1200	200	960	68	150	1010	80	170	100	530	60	80	200	1000	210	100	130	690	150	60	110	155	95	680	70	220	140	520	105	200	70	520	555	260	90	480	135	180	70	490	80	160	180	1160	250	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16943	681	625	660	726	478	443	261	637	789	539	120	859	158	781	48	134	580	56	145	77	439	51	63	158	746	173	73	96	519	130	53	76	125	83	428	56	160	117	412	91	161	63	416	354	199	80	402	106	150	59	379	70	140	169	996	194	159					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1769	64	59	63	66	48	24	22	97	63	16	0	205	11	88	9	12	128	4	12	5	46	0	3	8	73	10	14	20	48	0	0	0	10	0	108	4	14	0	35	5	26	0	48	96	30	1	42	15	10	5	37	0	0	0	22	26	17					
6	Число погашенных избирательных бюллетеней	4501	255	316	277	208	274	183	137	266	248	245	0	136	31	91	11	4	302	20	13	18	45	9	14	34	181	27	13	14	123	20	7	34	20	12	144	10	46	23	73	9	13	7	56	105	31	9	36	14	20	6	74	10	20	11	142	30	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1769	64	59	63	66	48	24	22	97	63	16	0	205	11	88	9	12	128	4	12	5	46	0	3	8	73	10	14	20	48	0	0	0	10	0	108	4	14	0	35	5	26	0	48	96	30	1	42	15	10	5	37	0	0	0	22	26	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16943	681	625	660	726	478	443	261	637	789	539	120	859	158	781	48	134	580	56	145	77	439	51	63	158	746	173	73	96	519	130	53	76	125	83	428	56	160	117	412	91	161	63	416	354	199	80	402	106	150	59	379	70	140	169	996	194	159					
9	Число недействительных избирательных бюллетеней	211	8	7	12	10	7	2	4	8	7	8	0	11	1	7	0	1	14	3	5	0	3	2	0	1	35	2	0	0	7	0	0	0	2	0	1	2	0	0	5	0	0	2	0	1	1	0	7	0	0	0	15	0	1	2	3	4	0					
10	Число действительных избирательных бюллетеней	18501	737	677	711	782	519	465	279	726	845	547	120	1053	168	862	57	145	694	57	152	82	482	49	66	165	784	181	87	116	560	130	53	76	133	83	535	58	174	117	442	96	187	61	464	449	228	81	437	121	160	64	401	70	139	167	1015	216	176					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	803	18	15	22	15	8	15	15	15	27	15	0	34	3	30	3	4	74	13	8	7	20	3	3	5	40	5	6	8	35	5	3	5	5	3	40	3	5	15	45	8	5	8	25	20	10	3	30	3	5	3	35	3	5	5	30	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	681	13	14	17	11	5	6	6	15	27	15	0	34	0	25	1	0	74	11	8	7	11	1	3	0	40	5	4	7	32	5	1	5	0	3	38	0	5	11	45	3	5	3	25	20	0	3	28	3	5	3	35	0	5	0	30	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	168	7	13	6	0	5	2	4	6	14	5	2	6	1	8	1	0	6	2	7	1	1	1	1	1	2	2	0	1	5	0	0	0	1	1	4	1	1	2	4	2	1	1	6	2	0	1	9	3	2	4	1	2	1	1	5	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	122	5	1	5	4	3	9	9	0	0	0	0	0	3	5	2	4	0	2	0	0	9	2	0	5	0	0	2	1	3	0	2	0	5	0	2	3	0	4	0	5	0	5	0	0	10	0	2	0	0	0	0	3	0	5	0	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	4	2	3	5	4	1	1	3	6	2	0	1	0	0	0	0	3	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	607	18	30	9	20	14	12	6	25	32	24	2	63	12	35	0	3	24	0	4	2	19	8	0	3	24	8	2	1	15	4	2	0	14	4	28	0	0	3	33	1	1	5	10	5	6	1	12	1	7	1	5	0	8	0	34	1	6					
		3.24%	2.42%	4.39%	1.24%	2.53%	2.66%	2.57%	2.12%	3.41%	3.76%	4.32%	1.67%	5.92%	7.10%	4.03%	0.00%	2.05%	3.39%	0.00%	2.55%	2.44%	3.92%	15.69%	0.00%	1.81%	2.93%	4.37%	2.30%	0.86%	2.65%	3.08%	3.77%	0.00%	10.37%	4.82%	5.22%	0.00%	0.00%	2.56%	7.38%	1.04%	0.53%	7.94%	2.16%	1.11%	2.62%	1.23%	2.70%	0.83%	4.38%	1.56%	1.20%	0.00%	5.71%	0.00%	3.34%	0.45%	3.41%					
19	2.Всероссийская политическая партия «Гражданская Сила»	79	7	5	3	4	2	3	0	5	5	2	1	4	2	4	0	0	5	0	1	0	0	0	0	1	0	0	0	4	4	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	0	0	3	1	0	0	1	0	0	0	3	0	2					
		0.42%	0.94%	0.73%	0.41%	0.51%	0.38%	0.64%	0.00%	0.68%	0.59%	0.36%	0.83%	0.38%	1.18%	0.46%	0.00%	0.00%	0.71%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	3.45%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.22%	0.00%	1.07%	0.00%	0.65%	0.00%	0.00%	0.00%	0.68%	0.83%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.29%	0.00%	1.14%					
20	3.Политическая партия «Демократическая партия России»	37	1	4	0	0	0	0	0	1	1	1	0	5	0	1	0	1	2	1	0	0	1	0	0	0	3	0	0	0	1	1	0	0	0	0	2	0	1	0	1	1	0	0	1	4	0	0	0	0	1	0	0	0	0	0	2	0	0					
		0.20%	0.13%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.12%	0.18%	0.00%	0.47%	0.00%	0.12%	0.00%	0.68%	0.28%	1.67%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.18%	0.77%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.57%	0.00%	0.22%	1.04%	0.00%	0.00%	0.22%	0.89%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2447	121	107	97	101	74	92	31	74	123	83	14	202	30	161	2	11	123	4	22	6	101	6	11	25	89	22	15	10	45	19	4	4	12	11	109	6	37	7	35	10	1	2	26	32	4	2	128	14	23	3	43	5	14	17	55	12	10					
		13.08%	16.24%	15.64%	13.42%	12.75%	14.07%	19.70%	10.95%	10.08%	14.44%	14.95%	11.67%	18.98%	17.75%	18.53%	3.51%	7.53%	17.37%	6.67%	14.01%	7.32%	20.82%	11.76%	16.67%	15.06%	10.87%	12.02%	17.24%	8.62%	7.94%	14.62%	7.55%	5.26%	8.89%	13.25%	20.34%	10.00%	21.26%	5.98%	7.83%	10.42%	0.53%	3.17%	5.60%	7.11%	1.75%	2.47%	28.83%	11.57%	14.38%	4.69%	10.34%	7.14%	10.00%	10.06%	5.40%	5.45%	5.68%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	112	5	14	4	7	3	3	0	12	4	2	0	12	0	1	1	0	8	0	0	0	2	0	0	0	5	0	0	1	6	0	0	0	0	0	2	1	0	0	3	0	0	0	2	1	1	0	0	0	0	3	2	0	0	1	1	3	2					
		0.60%	0.67%	2.05%	0.55%	0.88%	0.57%	0.64%	0.00%	1.63%	0.47%	0.36%	0.00%	1.13%	0.00%	0.12%	1.75%	0.00%	1.13%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.86%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	1.67%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.43%	0.22%	0.44%	0.00%	0.00%	0.00%	0.00%	4.69%	0.48%	0.00%	0.00%	0.59%	0.10%	1.36%	1.14%					
23	6.Политическая партия «Партия социальной справедливости»	27	2	1	0	3	1	0	0	1	3	1	0	0	3	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0					
		0.14%	0.27%	0.15%	0.00%	0.38%	0.19%	0.00%	0.00%	0.14%	0.35%	0.18%	0.00%	0.00%	1.78%	0.12%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.23%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1429	68	64	69	65	56	51	26	73	85	82	16	86	18	59	1	11	68	4	9	1	27	4	4	2	36	10	4	0	58	5	6	7	11	3	28	12	12	7	38	9	12	3	25	45	30	1	4	2	1	1	21	8	7	5	56	9	4					
