Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    Большереченская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561					
1	"Число избирателей, внесенных в список избирателей"	23566	1065	1095	1113	1283	776	673	1072	1365	1036	434	140	1036	66	119	71	384	586	182	83	1412	184	691	146	42	144	78	91	643	219	146	63	455	118	158	51	535	39	69	185	428	61	150	150	558	101	184	65	974	53	149	751	172	85	100	1125	228	184					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24396	1050	1050	1050	1300	800	690	1000	1400	1086	460	150	1050	80	130	78	550	600	275	85	1400	190	710	145	55	145	85	95	660	215	140	65	495	125	175	65	550	45	75	195	430	65	155	155	550	105	193	65	1000	55	150	980	178	100	123	1150	235	193					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14324	567	560	599	648	375	376	544	706	531	223	139	522	63	103	56	344	300	137	53	736	125	418	109	42	105	72	62	360	122	120	42	323	89	138	41	381	39	69	138	240	61	133	148	411	84	156	65	516	35	105	658	155	63	85	764	143	125					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1571	47	31	34	35	34	16	96	43	6	20	0	86	2	11	15	40	80	45	6	118	9	67	0	0	4	0	0	73	18	0	7	62	16	11	8	57	0	0	6	73	0	0	0	15	2	28	0	107	6	14	93	9	15	15	37	34	20					
6	Число погашенных избирательных бюллетеней	8501	436	459	417	617	391	298	360	651	549	217	11	442	15	16	7	166	220	93	26	546	56	225	36	13	36	13	33	227	75	20	16	110	20	26	16	112	6	6	51	117	4	22	7	124	19	9	0	377	14	31	229	14	22	23	349	58	48					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1571	47	31	34	35	34	16	96	43	6	20	0	86	2	11	15	40	80	45	6	118	9	67	0	0	4	0	0	73	18	0	7	62	16	11	8	57	0	0	6	73	0	0	0	15	2	28	0	107	6	14	93	9	15	15	37	34	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14324	567	560	599	648	375	376	544	706	531	223	139	522	63	103	56	344	300	137	53	736	125	418	109	42	105	72	62	360	122	120	42	323	89	138	41	381	39	69	138	240	61	133	148	411	84	156	65	516	35	105	658	155	63	85	764	143	125					
9	Число недействительных избирательных бюллетеней	205	9	12	7	12	4	5	14	3	10	2	2	16	0	0	0	1	3	6	0	12	1	6	3	0	0	0	0	4	4	1	0	6	1	1	0	4	0	0	0	4	0	0	0	11	0	0	6	10	0	1	13	3	0	0	4	3	1					
10	Число действительных избирательных бюллетеней	15690	605	579	626	671	405	387	626	746	527	241	137	592	65	114	71	383	377	176	59	842	133	479	106	42	109	72	62	429	136	119	49	379	104	148	49	434	39	69	144	309	61	133	148	415	86	184	59	613	41	118	738	161	78	100	797	174	144					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	647	30	12	9	17	21	13	26	19	20	12	0	30	11	11	5	20	18	5	3	25	5	25	5	2	3	2	3	32	3	3	1	35	12	15	13	15	2	3	2	10	2	3	2	30	3	3	3	34	2	2	25	5	3	5	21	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	469	27	6	7	16	21	11	26	17	10	12	0	14	11	11	5	14	9	4	1	6	0	22	5	0	3	2	0	26	0	3	0	35	5	15	11	15	2	0	2	6	0	1	0	2	0	1	0	32	0	0	25	0	1	0	21	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	156	7	9	3	3	3	5	9	5	5	3	3	8	1	5	1	2	1	0	2	2	0	7	1	0	0	1	3	3	4	3	2	8	1	1	3	0	1	0	0	4	1	1	1	2	1	1	1	6	1	1	7	1	0	2	9	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	178	3	6	2	1	0	2	0	2	10	0	0	16	0	0	0	6	9	1	2	19	5	3	0	2	0	0	3	6	3	0	1	0	7	0	2	0	0	3	0	4	2	2	2	28	3	2	3	2	2	2	0	5	2	5	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	4	7	2	6	3	1	6	5	7	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1280	66	52	69	79	49	41	47	83	48	25	12	60	0	7	0	38	33	16	2	83	8	46	17	2	16	6	4	25	8	3	3	14	2	5	1	23	0	2	9	15	3	3	10	27	2	11	0	43	0	10	47	19	2	3	57	7	17					
		8.05%	10.75%	8.80%	10.90%	11.57%	11.98%	10.46%	7.34%	11.08%	8.94%	10.29%	8.63%	9.87%	0.00%	6.14%	0.00%	9.90%	8.68%	8.79%	3.39%	9.72%	5.97%	9.48%	15.60%	4.76%	14.68%	8.33%	6.45%	5.77%	5.71%	2.50%	6.12%	3.64%	1.90%	3.36%	2.04%	5.25%	0.00%	2.90%	6.25%	4.79%	4.92%	2.26%	6.76%	6.34%	2.33%	5.98%	0.00%	6.90%	0.00%	8.40%	6.26%	11.59%	2.56%	3.00%	7.12%	3.95%	11.72%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1612	69	53	65	69	53	56	77	95	77	36	14	75	5	4	3	49	62	30	10	117	27	81	5	7	22	0	5	28	0	15	11	3	2	2	2	13	6	6	1	23	2	8	2	36	17	34	2	55	0	7	57	12	0	2	81	11	8					
		10.14%	11.24%	8.97%	10.27%	10.10%	12.96%	14.29%	12.03%	12.68%	14.34%	14.81%	10.07%	12.34%	7.69%	3.51%	4.23%	12.76%	16.32%	16.48%	16.95%	13.70%	20.15%	16.70%	4.59%	16.67%	20.18%	0.00%	8.06%	6.47%	0.00%	12.50%	22.45%	0.78%	1.90%	1.34%	4.08%	2.97%	15.38%	8.70%	0.69%	7.35%	3.28%	6.02%	1.35%	8.45%	19.77%	18.48%	3.08%	8.83%	0.00%	5.88%	7.59%	7.32%	0.00%	2.00%	10.11%	6.21%	5.52%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	103	6	6	2	2	2	5	4	7	4	0	0	8	0	2	0	3	5	2	0	3	0	2	1	0	2	0	0	3	0	1	1	2	1	0	1	6	0	0	0	2	1	1	3	0	0	0	0	3	0	0	2	0	2	1	4	2	1					
		0.65%	0.98%	1.02%	0.32%	0.29%	0.49%	1.28%	0.63%	0.93%	0.74%	0.00%	0.00%	1.32%	0.00%	1.75%	0.00%	0.78%	1.32%	1.10%	0.00%	0.35%	0.00%	0.41%	0.92%	0.00%	1.83%	0.00%	0.00%	0.69%	0.00%	0.83%	2.04%	0.52%	0.95%	0.00%	2.04%	1.37%	0.00%	0.00%	0.00%	0.64%	1.64%	0.75%	2.03%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.27%	0.00%	2.56%	1.00%	0.50%	1.13%	0.69%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3743	178	172	174	208	91	119	145	227	132	53	23	161	6	19	2	58	38	9	4	284	38	89	29	16	16	23	16	154	59	18	11	110	32	49	5	85	13	13	27	54	10	26	40	80	25	9	14	188	4	14	126	32	14	36	125	22	18					
		23.55%	28.99%	29.10%	27.49%	30.45%	22.25%	30.36%	22.66%	30.31%	24.58%	21.81%	16.55%	26.48%	9.23%	16.67%	2.82%	15.10%	10.00%	4.95%	6.78%	33.26%	28.36%	18.35%	26.61%	38.10%	14.68%	31.94%	25.81%	35.57%	42.14%	15.00%	22.45%	28.57%	30.48%	32.89%	10.20%	19.41%	33.33%	18.84%	18.75%	17.25%	16.39%	19.55%	27.03%	18.78%	29.07%	4.89%	21.54%	30.18%	9.76%	11.76%	16.78%	19.51%	17.95%	36.00%	15.61%	12.43%	12.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	164	5	18	4	15	6	5	6	13	8	6	1	7	0	1	0	2	2	1	0	12	0	8	3	0	1	0	0	6	0	0	0	2	4	0	1	1	2	0	0	2	0	0	3	0	0	2	0	3	0	1	3	2	0	0	5	3	0					
		1.03%	0.81%	3.05%	0.63%	2.20%	1.47%	1.28%	0.94%	1.74%	1.49%	2.47%	0.72%	1.15%	0.00%	0.88%	0.00%	0.52%	0.53%	0.55%	0.00%	1.41%	0.00%	1.65%	2.75%	0.00%	0.92%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	0.52%	3.81%	0.00%	2.04%	0.23%	5.13%	0.00%	0.00%	0.64%	0.00%	0.00%	2.03%	0.00%	0.00%	1.09%	0.00%	0.48%	0.00%	0.84%	0.40%	1.22%	0.00%	0.00%	0.62%	1.69%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8704	277	274	310	294	202	158	342	318	254	121	86	278	54	77	66	231	233	117	43	337	59	249	51	17	52	43	37	211	68	81	23	245	63	91	39	305	18	48	107	211	44	95	89	269	42	127	43	317	37	86	503	95	60	58	522	127	100					
