Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Северодвинская городская № 2																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №857	УИК №858									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	77142	2792	104	2299	2307	2442	2708	2283	2367	2198	2440	2500	2572	2876	2575	2662	1616	1201	2607	2717	2449	2582	2406	2783	2703	148	1970	2284	2175	2878	2505	2362	2310	1833	1659	462	367									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74764	2550	130	2300	2300	2450	2750	2200	2350	1900	2450	2500	2550	2700	2550	2650	1600	1200	2600	2650	2450	2600	2400	2700	2700	134	1950	1900	2200	1950	2500	2350	2300	1850	1600	450	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24816	1033	104	704	826	756	980	868	902	944	773	673	724	964	541	908	457	295	673	628	626	815	722	801	793	134	505	950	837	1363	694	713	684	577	558	137	154									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	358	21	0	14	9	8	5	2	0	3	79	10	2	7	5	7	1	3	5	7	1	8	12	3	5	0	0	4	9	54	9	14	9	3	1	38	0									
6	Число погашенных избирательных бюллетеней	49590	1496	26	1582	1465	1686	1765	1330	1448	953	1598	1817	1824	1729	2004	1735	1142	902	1922	2015	1823	1777	1666	1896	1902	0	1445	946	1354	533	1797	1623	1607	1270	1041	275	196									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	358	21	0	14	9	8	5	2	0	3	79	10	2	7	5	7	1	3	5	7	1	8	12	3	5	0	0	4	9	54	9	14	9	3	1	38	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24778	1028	104	703	824	754	980	867	902	944	772	671	723	962	541	907	457	293	673	628	626	814	721	798	793	134	504	948	835	1363	690	713	683	576	556	137	154									
9	Число недействительных избирательных бюллетеней	385	21	0	11	8	10	18	20	14	19	16	5	7	18	8	9	7	2	8	3	2	16	12	12	24	0	5	17	14	24	10	10	11	10	9	2	3									
10	Число действительных избирательных бюллетеней	24751	1028	104	706	825	752	967	849	888	928	835	676	718	951	538	905	451	294	670	632	625	806	721	789	774	134	499	935	830	1393	689	717	681	569	548	173	151									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	876	31	0	25	25	30	30	25	25	20	30	30	30	45	30	30	20	20	30	30	30	30	25	30	30	0	20	20	25	20	30	25	25	20	20	10	10									
